,城市,小区名,地址,住宅类型,均价
0,cd,中国铁建北湖国际城,东三环路1段石室中学斜对面,普通住宅,8000
1,cd,朗基御今缘,天府四街（剑南大道向西1000米）,普通住宅,12250
2,cd,世豪金河谷,光华大道三段涌泉镇191号,普通住宅,6789
3,cd,佳年华新生活,光华大道三段清泉北街江安路,普通住宅,5600
4,cd,龙光君悦华庭,蜀都新城中信大道顺河路口（中信未来城南侧）,普通住宅,4850
5,cd,仁美大源印象,天府四街134号,普通住宅,6600
6,cd,南湖逸家,剑南大道延线（南湖公园以西）,普通住宅,6200
7,cd,银泰中心华悦府,天府大道北段1199号（高新国际广场旁）,普通住宅,30000
8,cd,三利麓山城,人民南路南延线麓山大道（成都实验外国语旁）,普通住宅,6500
9,cd,时代锦绣,武侯大道文昌段与新机场路的交汇处（中天物流园旁）,普通住宅,7750
10,cd,海亮爱金沙,蜀鑫路与公园路交汇处 （华润金悦湾对面）,普通住宅,9650
11,cd,清凤时代城,剑南大道中段(成都七中旁),普通住宅,57500
12,cd,蓝光圣菲悦城,大件路与黄河中路二段交汇处（川大江安校区学生东园旁）,普通住宅,6000
13,cd,中洲中央城邦,东二环通桂路7号(沙河公园旁),普通住宅,13000
14,cd,融创四海逸家,南三环一段（树德外国语学校旁）,普通住宅,180
15,cd,美洲花园棕榈湾,南三环路南五段188号（蓝天立交桥旁边）,普通住宅,9000
16,cd,中德英伦世邦,会龙大道与红星路南延线交汇处365号（新川科技园对面）,普通住宅,10000
17,cd,莱普敦公寓,天府三街吉泰路588号,商住两用,15000
18,cd,阿玛尼艺术公寓,顺江路335号（解放军四五一医院旁）,普通住宅,37000
19,cd,雅居乐富春山居,麓山大道二段19号,普通住宅,9500
20,cd,合能珍宝金楠,金雁路与沙堰街交汇处（交大花园旁）,普通住宅,9500
21,cd,隆鑫印象东方,东三环凯德广场魅力城店向东500米,普通住宅,8800
22,cd,英祥财富领域,益州大道北三段362号（宜家、欧尚对面）,普通住宅,14500
23,cd,国一梦巢,光华大道光华南二路238号（树德中学旁）,普通住宅,11800
