,城市,小区名,地址,住宅类型,均价
0,cq,新鸥鹏教育城巴南,金竹工业园纵一线（金竹轻轨站旁）,普通住宅,4500
1,cq,中海紫御江山,北滨二路537号（江北嘴CBD重庆大剧院附近）,普通住宅,12500
2,cq,安泰城市理想,冉家坝SM城市广场（龙湖紫都城旁）,普通住宅,9000
3,cq,华宇金沙东岸,沙滨路8号（石门大桥旁）,普通住宅,8500
4,cq,建工依山郡,照母山板块金州大道西侧（重光立交旁）,普通住宅,9600
5,cq,泽瑞琥珀天成,茶园通江大道沿线（长生桥中学旁）,普通住宅,6800
6,cq,国奥村时光漫,北滨路国奥片区(原江北农场),普通住宅,7500
7,cq,升伟中环广场,虎头岩歇虎路11号（中百超市旁）,普通住宅,9400
8,cq,财信沙滨城市,沙滨路11号（肿瘤医院附近）,普通住宅,8600
9,cq,天盈首原,白鹤路45号（红绿灯下行200米）,普通住宅,11000
10,cq,蓝光御江台,跃进路(思贤园旁),普通住宅,6800
11,cq,融科钓鱼台,金桥路（原车家坪小学旁）,普通住宅,6200
12,cq,国际社区海悦府,腾龙大道（朝天门大桥南桥头）,普通住宅,8600
13,cq,国博城,悦来街道悦城路36号,别墅,240
14,cq,鸿笙苑宝贝的墅,南岸茶园新区天文大道水云路99号（南岸区府旁）,普通住宅,6850
15,cq,同景优活城,沙坪坝区西永国际商务区(轻轨1号线微电园站旁),普通住宅,6700
16,cq,协信公馆,胜利路132号(黄花园大桥南桥头),普通住宅,12000
17,cq,大雅云居山,金开大道（轻轨三号线鸳鸯轻轨站聚信美旁）,普通住宅,7900
18,cq,华润二十四城,谢家湾正街47号万象城旁(原建设厂厂址处),普通住宅,12500
19,cq,招商晶公馆,龙头寺轻轨3号线龙头寺站（1/4号出口旁）,普通住宅,9800
20,cq,绿地海外滩,鸿恩寺公园大门处（往北滨路下行800米处）,普通住宅,12000
21,cq,佳兆业滨江新城,建桥工业园A区,普通住宅,6400
22,cq,绿地城,轻轨2号线绿地城白居寺站旁,普通住宅,6400
23,cq,龙湖两江新宸,礼嘉礼仁街（礼嘉镇政府旁）,普通住宅,9000
24,cq,和泓江山国际,肖家湾公交车站旁（大坪医院往两路口方向的肖家湾车站）,普通住宅,11000
25,cq,中核鹅岭一品,鹅岭地铁站前行500米,普通住宅,8400
26,cq,里面,大礼堂(大溪沟轻轨站100米处),普通住宅,13000
27,cq,丽都锦上,渝南大道九公里（轻轨3号线九公里站旁）,普通住宅,6500
28,cq,中国铁建玖城壹号,陈家坪科城路（原热水瓶厂）,普通住宅,8200
29,cq,渝兴V客部落,地铁6号线光电园站旁（近重庆机电控股）,普通住宅,12500
30,cq,创远十里缇香,渝南大道103号（蓝光十里蓝山旁）,普通住宅,7400
31,cq,万科悦湾,宏帆路佰富高尔夫旁（双碑大桥桥头）,普通住宅,9000
32,cq,融创欧麓花园城依云郡,南岸区江南新城（南岸区府向南车行5分钟）,普通住宅,6100
33,cq,金科时代中心,照母山金州大道中段（金州大道和金山大道交汇处）,普通住宅,8300
34,cq,和记黄埔玥湖园,金州大道中段玥湖园1号（重光立交旁）,普通住宅,10000
35,cq,珊瑚水岸二期,南滨路28号(南滨国际旁),普通住宅,12000
36,cq,环球时代广场,李家沱正街301车站旁(301公交站旁),普通住宅,7200
37,cq,江与城,两江新区大竹林(国家电网大楼左侧),普通住宅,7388
38,cq,融科金开中心,北部新区鸳鸯金开大道1239号,商住两用,8500
39,cq,观云庄北苑,綦江横山镇松苑路29号,普通住宅,4980
40,cq,新鸥鹏教育城,江北嘴北滨二路（中央公园旁）,普通住宅,12500
41,cq,旭辉城,渝南大道轻轨3号线大山村站（区政府旁）,普通住宅,5700
42,cq,远洋香派,石桥铺石小路(高庙村地铁站旁),普通住宅,8100
43,cq,江屿朗廷,菜袁路168号(红楼宾馆往肖家湾方向前行50米支路口进入）,普通住宅,9000
44,cq,北大资源燕南,杨家坪西郊路（动物园附近）,普通住宅,6800
45,cq,华宇时代星都,石桥铺白马支路（原城建校）,普通住宅,9300
46,cq,九鼎御江山,长江公路大桥北桥头（篆山坪）,普通住宅,3800
47,cq,佳兆业广场,龙洲湾龙洲大道(巴文化公园对面),普通住宅,5300
48,cq,协信星都会,金山大道203号（重光立交旁）,普通住宅,8500
49,cq,北京城建龙樾湾,华福大道锦鸿路8号,别墅,160
50,cq,金茂国际生态新城,中央公园（公园西路与同茂大道交汇处）,普通住宅,9300
51,cq,渝开发格莱美城,西永赖家桥轻轨站旁,普通住宅,5500
52,cq,融科金色时代,渝南分流道中段（巴文化公园旁）,普通住宅,6500
53,cq,融科金湖湾,湖津路121号（鸳鸯立交桥旁）,普通住宅,8200
54,cq,武夷滨江,南岸区南滨路龙门浩周家湾9号（与慈云路交汇处）,普通住宅,8800
55,cq,和记黄埔御峰,烟雨路江南体育馆旁（原罗家坝段）,普通住宅,9100
56,cq,约克郡景悦,金州大道重光湖畔（照母山公园旁）,普通住宅,9700
57,cq,洋丰圣乔维斯,金州大道66号（蓝湖郡旁）,普通住宅,11000
58,cq,富力湾,江东湖公园旁（农业园区上湾路和食品城大道汇合处）,普通住宅,7000
59,cq,融汇半岛水晶公馆,巴滨路融汇半岛段,普通住宅,6500
60,cq,金科星辰,迎宾大道南段(新世界石材市场旁),普通住宅,7100
61,cq,方兴盘龙金茂悦,石坪桥盘龙正街中段(蟠龙小学旁),普通住宅,8200
62,cq,公园大道,重庆中央公园公园东路(重庆中央公园旁),普通住宅,12000
63,cq,俊峰香格里拉,石井坡216号(磁器口西门斜对面),普通住宅,12000
64,cq,联发瞰青,金开大道1666号（轻轨3号线翠云站旁）,普通住宅,6800
65,cq,雅居乐御宾府,平安轻轨站前行800米,普通住宅,7800
66,cq,首创光和城,西永商务中心(地铁1号线微电园站旁),普通住宅,6600
67,cq,富州新城D街区,富洲路10号(高九路与石小路交汇处),普通住宅,9000
68,cq,协信城立方,大学城东路9号(重庆科技学院前100米),普通住宅,5400
69,cq,融创欧麓花园城剑桥郡,南岸区江南新城（南岸区府向南车行5分钟）,普通住宅,6500
70,cq,国博城,悦来街道悦城路36号,普通住宅,8000
71,cq,华宇温莎小镇,轨道1号线双碑站旁（双碑夜市北侧）,普通住宅,7600
72,cq,铂蓝江岸公馆,建新东路商社电器旁（苏宁电器对面）,普通住宅,10500
73,cq,康桥融府,金开大道蓝湖大社区金山医院附近（重庆一中国际部旁）,普通住宅,8000
74,cq,国富沙磁巷,磁器口古镇旁（原重庆绢纺厂旁）,普通住宅,9500
75,cq,东海岸,大石坝街道下石门1号（石门街50号）,普通住宅,8600
76,cq,融汇半岛江上公馆,李家沱巴滨路融汇半岛段（融汇半岛旁）,普通住宅,8000
77,cq,葛洲坝微客公馆,大学城东路72号（电子校南门附近）,普通住宅,6300
78,cq,渝开发上城时代,鱼洞箭河路（轻轨3号线金竹站旁）,普通住宅,4900
79,cq,康田蔚蓝海,金州大道与肖家沟西支路交汇处（照母山森林公园北部附近）,普通住宅,9800
80,cq,商社时代,大坪经纬大道561号,普通住宅,9000
81,cq,上城奥悦,袁家岗长江二路奥体中心广场旁,普通住宅,8500
82,cq,金悦熙城,杨家坪石坪桥横街与盘龙正街交汇处（金悦熙城站旁）,普通住宅,7500
83,cq,华宇上院,金山大道（毗邻照母山植物公园）,普通住宅,11000
84,cq,奥园水云间,茶园广福大道延伸段（轻轨6号线长生桥站）,普通住宅,9000
85,cq,奥园越时代,茶园轻轨6号线刘家坪站（东西大道）,普通住宅,7200
86,cq,融创白象街,解放路与凯旋路交汇处（西部药材商城旁药材公会）,普通住宅,15000
87,cq,旭阳台北城,大学城中路重庆城市管理学院正对面,普通住宅,6500
88,cq,典雅花溪半岛,李家沱王家坝路（理工大学旁）,普通住宅,6300
89,cq,中渝香奈公馆,新溉大道99号（轻轨3号线郑家院子站旁）,普通住宅,10000
90,cq,富力城,大学城中路46号（重师大对面，地铁一号线大学城站旁）,普通住宅,5800
91,cq,南方玫瑰城,回兴街道锦华一路1号(南方翻译学院内),普通住宅,6400
92,cq,富邦金玖,石桥铺长新路机三院办公楼旁,普通住宅,7300
93,cq,贝蒙天地,大学城景阳路26号（重庆第三军医大旁）,普通住宅,6800
94,cq,奥园城市天地,茶园新区府旁(6/8号线轻轨站旁),普通住宅,7600
95,cq,天成郦湖国际社区,冬山路7号（在建轻轨5号线华成路前行700米）,普通住宅,5800
96,cq,协信春山台,金开大道金州大道交汇处(天来酒店旁),普通住宅,12000
97,cq,紫苑COSMO时代,石坪桥横街青龙村(永辉超市前行100米),普通住宅,7500
98,cq,中国摩,空港保税港（轨道3号线举人坝站旁）,普通住宅,6200
99,cq,瑞同优米,海尔路（洋河小学头塘校区旁）,普通住宅,9000
100,cq,光华安纳溪湖,茶园新区米兰路中段（茶花小镇旁）,普通住宅,6500
101,cq,华宇天宫花城,龙头寺北广场天瑞路（中央美地旁）,普通住宅,12000
102,cq,华宇星云汇星领地,杨梨路19号（杨公桥立交旁）,普通住宅,8400
103,cq,优跃城,鱼洞大江厂石子坪252号(护士学校旁),普通住宅,5000
104,cq,紫荆商业广场,黄泥塝紫荆路（洋河体育场对面）,普通住宅,10000
105,cq,越昕晖,李家沱融汇大道（融汇小学旁）,普通住宅,6700
106,cq,中交锦悦,龙洲湾渝南大道3号线学堂湾站旁,普通住宅,5900
107,cq,名湖度假风情,丰都县仙女湖镇硝厂沟村3组,普通住宅,4840
108,cq,芳草地雪岭仙山四期桑迪亚,武隆仙女山镇(距仙女山森林公园6公里),普通住宅,7500
109,cq,东原九城时光,劳动一村59号(万象城旁),普通住宅,11500
110,cq,龙湖拉特芳斯,西永国际商务区（轻轨1号线微电园站旁）,普通住宅,3599
111,cq,春风与湖,彩云湖湿地公园北侧（陈家坪立交旁）,普通住宅,8400
112,cq,中昂锦绣,江南新城轻轨2、3号鱼洞站旁（巴南体育中心对面）,普通住宅,4500
113,cq,华宇锦绣花城,华岩新城华福大道,普通住宅,6400
114,cq,康利尔风花树,龙洲大道10号（龙洲湾生态公园旁）,普通住宅,5000
115,cq,北大资源博雅,金州大道北侧（照母山公园旁）,普通住宅,7300
116,cq,华宇阳光尚座,石坪桥龙泉路18号(重庆公路运输汽车公司附近）,普通住宅,7600
117,cq,鲁能南渝星城,鱼洞人民广场正对面（鱼洞体育中心旁）,普通住宅,5600
118,cq,南滨特区,南岸区南滨路(珊瑚水岸旁),普通住宅,13000
119,cq,龙湖U城,大学城北路94号(大学城核心商圈中心四川美术学院西侧),普通住宅,6200
120,cq,泽科弹子石中心,弹子石（朝天门大桥旁）,普通住宅,9200
121,cq,复地山与城,黄桷垭福寿路2号（四公里广黔路上南山）,普通住宅,8600
122,cq,金科天宸,西永商务中心区（地铁1号线微电园站旁）,普通住宅,6600
123,cq,中铁山水时光,茶园新区丁香路11号（珊瑚中铁小学旁）,普通住宅,7600
124,cq,鲁能领秀城,茶园新区天文大道17号,普通住宅,6700
125,cq,瑞安翠湖天地,化龙桥永嘉路45号（企业天地旁）,普通住宅,12000
126,cq,鲁能星城十三街区,渝鲁大道777号(渝鲁大道与泰山大道交汇处),商住两用,5000
127,cq,方兴金茂珑悦,袁家岗158号(奥体中心对面）,普通住宅,7800
128,cq,盈田金开里,金开大道与金福路交汇处，力帆红星国际广场对面,普通住宅,7500
129,cq,融汇温泉城童话里,梨树湾天梨路口（融汇温泉旁）,普通住宅,8500
130,cq,金科中央御院,米兰大道320米处（雷家桥水库旁）,普通住宅,6800
131,cq,融创凡尔赛花园,照母山植物园旁（星光大道延长线旁）,普通住宅,6999
132,cq,融创凡尔赛领馆,星光大道延长线旁（照母山植物园旁）,普通住宅,8300
133,cq,汇祥林里3000,兰桂大道6号（新城广场斜对面）,普通住宅,8500
134,cq,恒美公园1号,北部新区湖津路100号（金山医院旁）,普通住宅,7300
135,cq,华宇龙湾,龙洲湾巴滨路（巴南新区府附近）,普通住宅,5400
136,cq,玮益上城华府,桂林街道江北新城(奋进大道与世界大道交汇处),普通住宅,3450
137,cq,中亿阳明山水,海尔路179号（江北区政府对面）,普通住宅,10000
138,cq,康田漫香林,西永微电园西科大道16号(寨山坪公园里),普通住宅,4788
139,cq,朵力迎宾大道,双山路187号(双山公园),普通住宅,7000
140,cq,万科西城,石坪桥盘龙正街中段(蟠龙学校旁),普通住宅,8100
141,cq,渝高香洲,科技大道76号(彩云湖公园旁),普通住宅,7800
142,cq,南方书苑湖畔,机场路回兴下道（南方翻译学院旁）,普通住宅,7400
143,cq,英利狮城花园,北部新区金石大道（三亚湾市场旁）,普通住宅,7200
144,cq,日月光解放碑1号R3,解放碑民权路88号（较场口转盘）,普通住宅,26000
145,cq,巴南府邸,鱼洞老街（老街公园旁）,普通住宅,5000
