,城市,小区名,地址,住宅类型,均价
0,cs,汇金城,雨花区韶山南路与环保大道交汇处东北角（省国税局旁）,普通住宅,5500
1,cs,天鸿中央大院,天心韶山南路铁道学院北竹塘西路180号（湘府国际酒店对面）,普通住宅,7000
2,cs,明昇壹城,劳动东路明昇壹城,普通住宅,8000
3,cs,五矿沁园金城,开福区福元西路与车站北路交汇处东南角,普通住宅,6700
4,cs,纳爱斯阳光丽城,银杉路与谷岳路交汇处西南角（金麓小区公交站北侧）,普通住宅,6400
5,cs,东友星座,雨花区劳动中路2号东友星座28楼（东塘友谊商城）,普通住宅,10900
6,cs,澳海澜庭,银星路999号,普通住宅,5000
7,cs,润和之悦,普瑞大道润和之悦,普通住宅,4200
8,cs,卓越浅水湾,岳麓区梅溪湖环湖路与近湖七路交汇处西北角（梅溪湖沙滩公园旁）,普通住宅,8500
9,cs,协信星澜汇,茶子山东路166号,普通住宅,7200
10,cs,珠江郦城,开福福元西路99号（地铁一号线开福区政府站旁）,普通住宅,8800
11,cs,时代倾城,金星北路208号,普通住宅,5800
12,cs,中建梅溪湖中心,岳麓区梅溪湖国际新城梅溪湖北岸中段（地铁2号线麓云路站）,普通住宅,10000
13,cs,英泰汇景豪庭,雨花区韶山南路湖南女子大学对面（玉楼东旁）,普通住宅,5480
14,cs,弘德西街好莱城,岳麓区梅溪湖枫林三路与长东路交汇处东南角（涉外经济学院旁边）,普通住宅,6700
15,cs,鑫远御文台,天心书香路与新韶西路交汇处西北角（新韶西路口站以东）,普通住宅,5700
16,cs,西湖星城公馆,望城区望城大道与家园路交汇处西南角（望城区公安局旁）,普通住宅,3800
17,cs,华菱嘉园二期,天心区生态新城湘府西路222号（省交通运输厅公交站附近）,普通住宅,6800
18,cs,龙熙温泉庄园,宁乡县灰汤镇将军路8号（东鹜山桃花谷景区西北边）,别墅,13000
19,cs,合能洋湖公馆三期,岳麓区中央大道与公交路交汇处东北角,普通住宅,5700
20,cs,玛丽的花园,望城金星北路与银星路交汇处东北角（好来坞购物广场南侧）,普通住宅,4380
21,cs,五矿沁园金城,开福区福元西路与车站北路交汇处东南角,别墅,4400
22,cs,润和又一城,望城金星大道和月亮岛路交汇处西南角（长高集团南面）,普通住宅,7500
23,cs,MOMA当代广场,开元路与黄兴大道交汇处MOMO当代广场,普通住宅,5000
24,cs,潇湘奥林匹克花园,岳麓西大道660号,普通住宅,8400
25,cs,钱隆首府,天剑路66号,普通住宅,4300
26,cs,洲岛长滩,普瑞大道洲岛长滩,普通住宅,6600
27,cs,旺德府恺悦国际,开福世界之窗对面（长沙市三一大道与汽配城路交汇处西南面）,普通住宅,8700
