,城市,小区名,地址,住宅类型,均价
0,dg,东港华府,沙田中心港口大道（镇标旁）,住宅,7800
1,dg,虎门国际公馆,虎门白沙（虎门镇标往厚街方向300米）,住宅,15000
2,dg,中惠悦峰,虎门赤岗一马路,住宅,16500
3,dg,卓越时代广场,东城世博广场北侧,住宅,30000
4,dg,君御旗峰豪园,莞城体育路23号,住宅,11500
5,dg,水榭兰亭,清溪清凤路劳动局旁,住宅,16000
6,dg,富盈广场,常平居委会市场路,住宅,15000
7,dg,江景华庭,石碣新城区光明路10号,住宅 商住,9300
8,dg,天麟时代广场,大朗美景中路与景泰路交汇处,住宅,20000
9,dg,花样年江山荟,黄江公常路（交警支队旁）,住宅 别墅,25000
10,dg,五福里,道滘新城市中心(桥东大街地税旁),住宅,8500
11,dg,中央财津,南城四环路与莞太路交汇处,住宅 商住,13000
12,dg,汉邦66广场,厚街珊瑚路与兴隆路交汇处（康乐南路旁）,住宅,12500
13,dg,恒大帝景,万江拔蛟窝社区莞穗大道南侧,住宅 商住,9000
14,dg,嘉宏锦城,企石东部快速入口旁,住宅 别墅,7800
15,dg,恒大御景,南城白马中心路与沿河路交汇处（天安数码城旁）,住宅,18000
16,dg,御江1号,横沥镇政府旁（文化广场东侧）,住宅,11000
17,dg,保利生态城,樟木头莞深高速田心出口宝山森林公园,住宅 别墅,17000
18,dg,富盈御荷,桥头桥光大道与中心路交汇处,住宅 别墅,8800
19,dg,中央豪庭,凤岗永盛大街旁（新黄河百货对面）,住宅,15000
20,dg,利丰时代,东坑井美村（东坑汽车站旁）,住宅,9000
21,dg,远大城市广场,大朗银朗路（莞樟路）与常朗路交汇处,住宅,16000
22,dg,香樟1号,樟木头西城路(天一城斜对面),住宅,11000
23,dg,天骄峰景,东城石井支路3号（峰景高尔夫对面）,住宅,16000
24,dg,天诚时代,望牛墩镇中路旁（望牛墩派出所对面）,住宅,8600
25,dg,宏远御庭山,东城黄旗山畔（峰景高尔夫东侧）,住宅 别墅,11000
26,dg,蓝湖半岛,桥头桥新大道26号,别墅,16000
27,dg,汉唐·蜜园,南城宏图大道160号,住宅 商住,12000
28,dg,锦绣山河四期,松山湖红棉大道3号,住宅 别墅,24000
29,dg,碧桂园智慧家,厚街莞太路（R2珊美站旁）,住宅 商住,13000
30,dg,美域公馆,常平振兴三街（农业银行对面）,住宅 商住,7000
31,dg,碧桂园豪庭,东坑东兴东路塔岗路段1号（东坑农业园正门）,住宅,9500
32,dg,湖景花园,沙田中心区沙田大道旁,住宅 别墅,16000
33,dg,石排国际公馆,石排石排大道和锦绣路交汇处,住宅,8500
34,dg,万科松湖中心,松山湖科技产业园区红棉路北侧,别墅,12000
35,dg,富怡名居,厚街三屯村（莞太路道滘路口处）,住宅,11000
36,dg,长虹百荟花园,樟木头西城路（天一城旁）,住宅 商住,8800
37,dg,紫荆1号,长安东门中路与莲峰路交汇处,住宅,30000
38,dg,风度盛荟,黄江富海大道与沿江路交汇处（旧黄江医院对面）,住宅 商住,13000
39,dg,碧湖东岸,常平松柏塘村,住宅,7000
40,dg,汇景世纪双子,厚街北环路与S256省道交汇处,住宅 商住,14000
41,dg,尚峰温莎堡,万江莞穗大道312号（万盛花园旁边）,住宅,10000
42,dg,新世纪星城美寓,东城学星路76号（五环路温塘管理区）,住宅 商住,8800
43,dg,松湖春天,大岭山建设路与南一路交汇处,住宅,11000
44,dg,翡翠松山湖,松山湖松湖花海景区,别墅,28888
45,dg,海逸豪庭,厚街水濂山南海逸高尔夫旁,别墅,20000
46,dg,居益凯景中央,中堂雅苑路居益花园,住宅,19000
47,dg,信鸿澜岸,万江汾溪路与环城西路交汇处,住宅 商住,11000
48,dg,龙泉圣达菲,虎门连升中路（龙泉国际酒店南侧）,住宅,16000
49,dg,横沥碧桂园,横沥新城中心育才路（水边路横沥中学旁）,住宅,18000
50,dg,莲湖山庄,长安莲花山麓（临107国道与虎岗高速交汇处）,别墅,30000
51,dg,誉景名居,常平袁山贝村(袁山贝环城路与常朗路美景大道交汇处),别墅,13000
52,dg,中央盛景,大朗长塘社区长盛南路10号（体育馆对面）,住宅,20000
53,dg,达鑫江滨新城,石碣东城中路 大王洲桥两侧,住宅 别墅,11000
54,dg,中熙香缇公馆,洪梅中心大道68号（洪梅车站对面）,住宅 别墅,17000
55,dg,保利锦里,南昆山国家森林公园旅游度假区（广河高速永汉出口处）,住宅 别墅 商住,7500
56,dg,米兰天空,樟木头柏地社区帝豪路东侧（镇政府旁）,住宅,11000
57,dg,金地·仟百汇,塘厦宏业北路与西湖中心交汇处,住宅,25000
58,dg,万科金色里程,虎门虎门大道263号（乐购旁）,住宅,10000
59,dg,丰泰观山碧水·凌峰,厚街横岗湖畔（邻近广深高速厚街出口）,住宅,13000
60,dg,龙泉幸福里花园,东坑东安路568号,住宅,7000
61,dg,富盈加州阳光,常平还珠路茂竹山畔（常平四小对面）,住宅 别墅,17000
62,dg,碧桂园森林城市,新加坡旁马来西亚依斯干达经济特区,住宅 别墅 商住,20000
63,dg,宇丰名苑,茶山横江村环城路,住宅 商住,7000
64,dg,益田大运城邦,凤岗官井头村龙平南路一号（深圳大运新城西侧）,住宅 别墅 商住,80000
65,dg,蓝山锦湾三期,凤岗雁田祥新东路38号,住宅 别墅,35000
66,dg,虎门万达广场,虎门连升北路与体育路交汇处,住宅,18000
67,dg,信鸿熙岸花园,麻涌太和村太步路（麻涌中学对面）,住宅,9500
68,dg,盈拓御江,石碣滨江东路（石碣中学东侧）,住宅,9200
69,dg,碧琴湾花园,道滘西部干道一道滘中心（绿福酒楼对面）,住宅 商住,9800
70,dg,花街18三期,东城堑头村育兴路72号,住宅,9200
71,dg,华南茶叶创意园菁英时代,道滘广深高速道滘出入口旁,住宅,7500
72,dg,君悦蓝庭,黄江金怡酒店正对面,住宅,9500
73,dg,海伦湾,石龙江南西路（华南大桥旁）,住宅 别墅,20000
74,dg,新鸿基·珑汇,石龙方正东路东南侧临江地段,住宅,10000
75,dg,江畔豪庭,中堂大桥沿江边滨江路(龙舟广场),别墅,8300
76,dg,旺南世贸中心,南城莞太路和三元路交汇处（宏远酒店对面）,住宅 商住,12000
77,dg,聚龙御龙湾,石龙新城中心区（裕兴路与新城路的交汇处）,住宅,12000
78,dg,富盈WO城,道滘南丫村（南阁中路与工业路交汇处）,住宅,8000
79,dg,保利未来城市,沙田稔洲村轮渡路,住宅 商住,20000
80,dg,嘉盈名苑,东坑东坑大道后段（中凯国际酒店旁）,住宅,5888
81,dg,北大资源御城,万江华南MALL旁,住宅,28000
82,dg,金达锦绣东方,东坑东兴路125号,住宅,6200
83,dg,大步海滨花园三期,麻涌大步村（麻涌大道与创兴三路交汇处）,住宅 别墅,8000
84,dg,幸福里,厚街厚涌路凤凰花园侧,住宅 商住,6300
85,dg,广基·自由星城,塘厦诸佛岭大道112号(塘厦中学旁),住宅,21000
86,dg,北大资源御湾,万江万江新华南MALL（城市候机楼旁）,别墅,37000
87,dg,怡丰翠云轩二期,寮步东升路中与寮城中路交汇处,住宅,13000
88,dg,金叶华府,博罗石湾镇四十米大道中岗叶屋段,住宅,6100
89,dg,万科城市广场,厚街厚街大道与教育路交汇处（厚街广场旁）,住宅,18000
90,dg,卓越蔚蓝山,塘厦梅观高速大坪出口处,住宅 别墅,23000
91,dg,佳兆业·碧海云天,沙田虎门港轮渡路口,住宅,14000
92,dg,碧水湾花园,麻涌大步（行政中心旁）,住宅 别墅,9500
93,dg,保利中惠中央公馆,清溪清上路与北环路交汇处（紧邻清溪镇政府）,住宅,17500
94,dg,丰泰观山碧水,厚街横岗湖畔（邻近广深高速厚街出口）,住宅 别墅,25000
95,dg,时代华庭,寮步良边村石大路与莞樟路交汇,住宅,12000
96,dg,松湖朗悦,大朗巷尾村（大朗汽车站附近）,住宅,14000
97,dg,盛和雅颂,横沥新四村北环路,住宅 别墅,10000
98,dg,万科城市广场,厚街厚街大道与教育路交汇处（厚街广场旁）,住宅,18000
99,dg,恒大绿洲,凤岗龙平西路与宏盈路交界处（金桂华府北侧）,住宅,21000
100,dg,春晖国际城,塘厦林村春晖路1号,住宅,17000
101,dg,G1蜂汇,南城袁屋边社区居委会宏二路1号,住宅 商住,13500
102,dg,佳兆业·碧海云天,沙田虎门港轮渡路口,住宅,14000
103,dg,佳兆业御墅,南城东莞植物园旁,住宅 别墅,26000
104,dg,汇龙湾,南城金丰路12号（江南第一城旁）,住宅,16000
105,dg,富盈公馆,中堂北王西路东侧（江南农批斜对面）,住宅 别墅,7500
106,dg,金地·琥悦,虎门连升北路与莞太路交汇处（广深高速虎门北出口）,住宅,16000
107,dg,星际湾,石龙西湖中路111号（原西湖酒店）,住宅,14000
108,dg,时代华庭,寮步良边村石大路与莞樟路交汇,住宅,12000
109,dg,格兰名筑,东城东城中路422号（东城中路与高田坊路交界处）,住宅,16500
110,dg,3号别墅,松山湖松湖烟雨景区内（万科生活广场对面）,别墅,39000
111,dg,中惠嶺秀,凤岗雁田片区镇田北路85号（凤深大道右侧）,住宅,22000
112,dg,宏远康城假日,寮步金富东路1号,住宅,11600
113,dg,新世纪君汇半岛,道滘东莞大道与港口大道交界,住宅 别墅,13000
114,dg,新世纪上河居,道滘南城村新世纪上河居（厚街水道边）,住宅,11000
115,dg,鼎峰源著,南城板岭路1号,住宅 别墅,21000
116,dg,礼顿·金御海湾,沙田齐沙渡轮路口,住宅,10000
117,dg,联冠广场,常平常平大道还珠沥段,住宅 商住,9500
118,dg,嘉宏万城,常平常平大道,住宅 商住,12000
119,dg,皇家翡翠湾,东坑东坑生态园旁（紧邻寒溪河）,住宅 别墅,10000
120,dg,金城都汇,虎门连升中路,住宅,14000
121,dg,哈啰小城二期,常平常黄路104号（朗贝加油站对面）,住宅,9300
122,dg,振业松湖雅苑,寮步松山湖大道石大立交旁,住宅 别墅,15000
123,dg,滨江豪园,沙田庄士路8号,住宅,10000
124,dg,信鸿蔚蓝海岸,沙田中心区沙田大道旁（沙田地税局旁）,住宅,14000
125,dg,米兰公馆,桥头桥新路与中兴路交汇处,住宅,7400
126,dg,金田花园花域,常平司马村（常谢路与东深大道交汇处）,住宅 别墅,8500
127,dg,丰泰黄旗观邸,东城黄旗山畔,住宅,12500
128,dg,富盈都市华府,常平常东路与新城大道交汇处,住宅,12000
129,dg,利丰中央公园,石排石崇大道水贝村段南侧石排中学旁,住宅 别墅,9500
130,dg,观岭高尔夫半山,塘厦梅观快速塘厦大坪出口80米处,住宅 别墅,32000
131,dg,新里城西城道,道滘东莞大道与港口大道交汇处,住宅,11000
132,dg,荟翠连城,横沥东部快速石排出口前行50米,住宅,9000
133,dg,光大江与城,高埗高埗大道旁,住宅 别墅,18000
