,城市,小区名,地址,住宅类型,均价
0,dl,中海凤凰熙岸,大连市甘井子区生态科技创新城牧城驿湖旁(前牧),普通住宅,8000
1,dl,保利天禧,中山区东港达沃斯会议中心东行3公里,普通住宅,16500
2,dl,金地檀溪,东快路与中华路交汇处东行两分钟,普通住宅,9500
3,dl,益丰乾城,大连甘井子区大连湾街道金前路,普通住宅,7000
4,dl,亿达春田里,甘井子区大连生态科技创新城,普通住宅,13000
5,dl,御府山海观,高新园区七贤路39号,普通住宅,12500
6,dl,第九频道,沙河口五一广场广电中心对面（民权街与东北路交汇处）,普通住宅,17500
7,dl,乾豪新界,开发区辽河中路与大地街交汇处,普通住宅,7100
8,dl,树源国滨馆,高新园区凌水湾海事大学对面，凌水湾总部基地内,普通住宅,18000
9,dl,未名山,高新园区凌水湾七贤东路万达广场南,普通住宅,17000
10,dl,国滨苑,长江东路与港隆路的交汇处,普通住宅,15800
11,dl,通用阳光丽景,金州友谊街道龙王庙南侧,普通住宅,4800
12,dl,东港林苑,中山区港湾广场长江东路,普通住宅,15500
13,dl,嘉创E人国际,甘井子区凌水镇庙岭村红凌路４号－５－７０２,普通住宅,11000
14,dl,大华锦绣华城叁号院,高新园区软件园路与红凌路交汇处（理工大学北）,普通住宅,17800
15,dl,华润考拉住区,华南地铁站中华西路方向西行1000米,普通住宅,9500
16,dl,欧尚广场,泉水新区汇泉路与龙华路交汇处,普通住宅,12500
17,dl,运达诺维溪谷,大连市甘井子区辛寨子兴博街10号,普通住宅,8500
18,dl,海逸诺丁山,沿高新园区黄浦路直行转火炬路，直行至广贤街交汇处直行百米左转到达项目,普通住宅,9000
19,dl,红星海世界观,开发区小孤山滨海路北,普通住宅,7200
20,dl,中航华府,甘井子区革镇堡街道后革村,普通住宅,9300
21,dl,亿达云集,中山区解放路西，石葵路南,普通住宅,22000
22,dl,金地艺境,甘井子湿地公园北侧,普通住宅,8000
23,dl,城市印象,大连市甘井子区虹港路与西部大通道交汇处,商住两用,11000
24,dl,万达海公馆,高新园区万达广场南行400米,别墅,1100
25,dl,万国宫馆三期,益海园,普通住宅,8600
26,dl,中国铁建 青秀蓝湾,甘井子钻石港湾北岸生活区东方路南侧1.15公里.,普通住宅,10500
27,dl,美辰香醒,甘井子华东路东侧（三道沟车辆管理所原址）,普通住宅,10500
28,dl,未来城,明珠路与牧川路的交汇处，牧川北园1号,普通住宅,8250
29,dl,青国青城,开发区双D港大地街金湾商城北行100米,普通住宅,7000
30,dl,大湖山语,凌水路与新红凌路交汇处南侧 凌水小学西南角约300米处,普通住宅,11500
31,dl,大连天地悦龙居,大连市高新园区黄泥川金川南路（西行500米） ,普通住宅,7600
32,dl,万科樱花园,高新园区龙王塘樱花公园旁,普通住宅,7800
33,dl,易和岭秀滨城,大连市甘井子区辛寨子街道虹城路503-6号,普通住宅,8500
34,dl,宏都熙景,大连市甘井子区华南23中北侧,普通住宅,12500
35,dl,岚山著作,开发区湾里街道高安里67号（5路车高城花园站前行100米,普通住宅,6600
36,dl,美树日记,沙河口区圣林南园21号,普通住宅,14000
37,dl,昊宇山海湾,大连市高新园区七贤岭向北300米,普通住宅,12500
38,dl,海天富地,开发区金马路港西小区车站旁,普通住宅,8000
39,dl,碧水轩亭,红旗街道柳树村辽师新校区南行200米,普通住宅,8800
40,dl,万棵树,大连市沙河口区765号,普通住宅,12000
41,dl,国泰港汇中心,中山区友好广场,普通住宅,19800
42,dl,丹田,开发区双D港辽宁中医药大学东侧,普通住宅,6500
43,dl,金州福佳新天地,光明街道北山路1418号（新区五一路与北山路交汇处）,普通住宅,7700
44,dl,华润置地广场三期,甘井子区中华广场山东路与中华西路交汇处,普通住宅,12500
45,dl,保利天禧,中山区东港达沃斯会议中心东行3公里,别墅,1000
46,dl,左岸阳光,金州五一路鸿玮澜山轻轨站西行200米,普通住宅,6300
47,dl,星光域,中山区长江东路华乐广场东行500米,普通住宅,22000
48,dl,新青年印象,金州五一路与国防路交汇处（金山宾馆对面）,普通住宅,5800
49,dl,万科新里城,高新园区龙王塘樱花公园旁,普通住宅,7600
50,dl,三鼎春天,甘井子区张前路和明珠路交叉口，张前路以东,普通住宅,14000
51,dl,亿达普罗旺斯,大连市高新园区小平岛西行2公里,普通住宅,12500
52,dl,香周首府,西岗香周路120号，香周路如家快捷酒店东行0.21公里,普通住宅,12000
53,dl,亿达软景中心,沙河口软件园路与数码路交汇处,普通住宅,13500
54,dl,中航国际广场,大连市中山路与白山路交汇处西南角，沙河口区政府南侧,普通住宅,17000
55,dl,龙湖滟澜山,大连旅顺中路和前黄线交汇处，王家店水库上岛咖啡西行800米左右,别墅,260
56,dl,大华锦绣华城四期,高新园区软件园路与红凌路交汇处（理工大学北）,普通住宅,13500
57,dl,万科金域华府,甘井子区政府北乐都汇东行200米,普通住宅,13300
58,dl,学仕名府,高新园区王家村凌水小学南侧,普通住宅,12500
59,dl,金海蓝湾,金州新区金渤海岸（104路公交车金海国际花园站下车即是）,普通住宅,5900
60,dl,福佳新城,甘井子振兴路两侧，南邻大连湾、西邻前盐、北临前关湿地公园,普通住宅,7500
61,dl,中冶蓝城,甘井子虹城路660号（辛寨子街道701终点站西行400米）,普通住宅,9500
62,dl,泽林苑,开发区哈尔滨路炮台山公园东侧,普通住宅,7300
63,dl,大华锦绣华城二期,高新园区软件园路与红凌路交汇处（理工大学北）,普通住宅,14100
64,dl,屹辰优生活,甘井子区姚家路姚工街西南侧,普通住宅,8500
65,dl,缇香漫城,甘井子区虹港路与张前路交汇处,普通住宅,13500
66,dl,金海国际花园,金州区金渤海岸旅游度假区,普通住宅,5300
67,dl,岭湾峰尚二期,大连经济技术开发区铁山西路,普通住宅,6500
68,dl,金地檀境,大连市甘井子区前关湿地公园北侧（大连北站东行3公里）,普通住宅,8500
69,dl,城宁家园,大连开发区淮河中路12-1号（淮河中路与城宁街交汇处）,普通住宅,6500
70,dl,福佳机场前院,大连市甘井子区虹港路53号,普通住宅,12700
71,dl,西山湖语,红旗街道张家村,普通住宅,10800
72,dl,福荣园,大连市高新园区希贤街与爱贤街交汇处,普通住宅,11000
73,dl,泰达慧谷,大连市甘井子区营城子街道金龙寺国家森林公园对面,普通住宅,6650
74,dl,远洋荣域,甘井子区华南商圈山东路东侧（23中北侧）,普通住宅,11000
75,dl,悦丽海湾,河口湾黄浦路与小平岛路交汇处东南角240米,普通住宅,12500
76,dl,大华锦绣华城三期,高新园区软件园路与红凌路交汇处（理工大学北）,普通住宅,12700
77,dl,招商兰溪谷,大连市高新园区七贤路与七贤中路交汇处,普通住宅,14000
78,dl,中体奥林匹克花园,大连甘区柳树街（原大连西郊度假村）,普通住宅,5800
79,dl,万达海公馆,高新园区万达广场南行400米,普通住宅,23000
80,dl,银帆国际,大连市开发区黄海西路4号金马路轻轨站南向，步行5分钟,普通住宅,8500
81,dl,山河御景,开发区铁山中路与湾里街交汇处,普通住宅,6700
82,dl,金玛听海领寓,旅顺开发区轻轨站、58中学东侧，辽宁外经贸学院南侧,商住两用,3600
83,dl,万科蓝山,甘井子区周水子街道华北路东、东纬路南“万科蓝山“项目,普通住宅,16500
84,dl,圣托里尼,大连市高新区广贤路与高能街交汇处,普通住宅,12000
85,dl,中海御湖熙谷,辽宁师范大学西山校区南侧,普通住宅,8900
86,dl,国民院子,大连市甘井子区政府新址北侧，张前路以东,别墅,320
87,dl,星海凯泰铭座,沙河口星海金融商务区核心（期货大厦西北侧）,商住两用,23000
88,dl,桑尼小镇,甘井子华南广场西行1100米中华西路,普通住宅,9500
89,dl,中环城市广场,辽河西路与东北四街的交汇处,普通住宅,7200
90,dl,清都记忆,开发区金马路100号,普通住宅,7500
91,dl,亿达春田晴湾,甘井子融田北园,普通住宅,10800
92,dl,龙湖水晶郦湾,大连市中山区港湾广场东——大连国际会议中心东行3公里,普通住宅,26000
93,dl,万成御园,甘井子新开街，十一高中北门,普通住宅,9000
94,dl,星天悦,中山区东港商务区华乐街,普通住宅,12000
95,dl,连海金源,甘井子区西郊森林公园金柳路71号（金柳路中段）,普通住宅,8800
96,dl,华润海中国六期,大连市开发区滨海新区九洞高尔夫球场西侧,普通住宅,6500
97,dl,新希望乐城,大连金州新区金泉路969号,普通住宅,6500
98,dl,红星海世界观,开发区小孤山滨海路北,别墅,170
99,dl,青泥8号,中山解放路8号,商住两用,14500
