,城市,小区名,地址,住宅类型,均价
0,fs,中信山语湖·悦湖,南海和顺中信大道,住宅 商住,10000
1,fs,龙成国际,龙江龙江镇325国道与文华路交汇处,住宅 商住,6300
2,fs,恒大御景湾,南海广州市白云区金沙洲大桥沿江北段,住宅,20000
3,fs,汇博国际广场,禅城南庄大道、隆庆大道及紫洞路交汇处,商住,8000
4,fs,沿海馨庭,禅城华新路与港口路交汇处南侧,住宅,11000
5,fs,顺德南湖花园,均安佛山市顺德区均安镇百安北路23号,住宅,4200
6,fs,季园和府,禅城影荫三街5号（季华园地铁D出口旁直入200米）,住宅,13000
7,fs,锦翠佳园,龙江龙山大道原路一号,住宅 别墅,7000
8,fs,腾大时代广场领寓,南海南海区狮山镇狮城路11号腾大时代广场（水晶湾旁）,住宅 商住,7000
9,fs,白天鹅花园·御江,南海佛山南海区大沥镇黄岐海北大道（黄岐大桥西侧）,住宅,16000
10,fs,风度广场,南海罗村街道罗湖区（靠近地下隧道广场）,住宅,8500
11,fs,钜隆风度花园,乐从乐从镇南区乐从大道钜隆商业城南侧直入200米,住宅,8200
12,fs,荣基嘉园,南海九江镇大正路北23号,住宅,4900
13,fs,美誉紫薇花园,禅城工农路21号,住宅 商住,6000
14,fs,中信金山湾,南海区里水镇和顺沿江北路,住宅,9000
15,fs,星辰花苑,南海区乐安联星大道,住宅,7000
16,fs,保捷广场,南海九江沙头镇沙龙路交警中队,住宅 商住,5100
17,fs,恒大帝景,顺德大良街道东乐路与云阳路交汇处,住宅,14500
18,fs,南海星汇云锦,南海佛山南海大道与南桂东路交界处（地铁桂城站）,住宅 商住,17000
19,fs,国际华美达广场,龙江顺德区龙江镇龙洲西路160号,住宅,12000
20,fs,顺宝花园,杏坛杏坛杏龙路（文化广场侧）,住宅,4548
21,fs,凯业名都,南海小塘永安路41号,住宅,5700
22,fs,凯蓝名都,顺德容桂文海中路3号 (容桂客运站斜对面),住宅,6000
23,fs,祈福南湾半岛,南海仙湖度假区内（佛山市南海丹灶镇桂丹路）,住宅 别墅,6000
24,fs,鼎湖森邻,鼎湖新城48区鼎湖山牌坊南行100米,住宅,4280
25,fs,佛山时代年华,禅城港口路与华新路交界（西北角）,住宅,11000
26,fs,保利中环广场,顺德大良新城区，祥和路以东、彩虹路以南,住宅 商住,11000
27,fs,万科沁园,伦教伦教世纪路以北，伦常北路以西（顺德水道附近）,住宅,8000
28,fs,乐从雅居乐花园,顺德乐从镇南区东8路,住宅,6900
29,fs,万通·国际,禅城汾江南路49、51号,住宅 商住,11000
30,fs,乐然水畔,大良大良街道南区37-2号地块,住宅,6800
31,fs,置业广场,大良佛山市乐从镇镇政府附近,住宅,12000
32,fs,君怡金海岸,杏坛杏坛镇二环路与杏龙路交汇处,住宅,6800
33,fs,领德国际,容桂顺德容桂文华路与文明路交汇处（文塔公园旁）,住宅,11000
34,fs,捷和广场,三水西南街道南丰大道23号,住宅,8000
35,fs,龙江保利上城,龙江保利上城位于佛山市顺德区龙江镇东华路23号,住宅,7600
36,fs,顺德丽的花园,北滘北滘南源西路北侧（南方电器厂1号地块）,住宅,6300
37,fs,凯蓝名都楼盘,容桂容桂街海尾居委会文海中路（容桂新客运站对面）,住宅,6200
38,fs,柏涛湾,均安均安镇百安北路与德安路交界处,住宅,5100
39,fs,中源明珠,高要南兴四路12号,住宅 别墅,4500
40,fs,马来西亚碧桂园森林城市,马来西亚柔佛州伊斯干达特区C旗舰区,住宅,19000
41,fs,尚筑公馆,南海狮山镇小塘福源路4号(狮山红星路与四环路交界小塘车站对面),住宅 商住,5700
42,fs,金沙半岛,南海里水大道南上沙路,住宅,13000
43,fs,招商·依云国际,顺德佛山新城·汾江南路与裕和路交界（太子食府旁）,住宅 商住,9000
44,fs,太平洋国际,顺德赤花村白陈路太平洋国际花园,住宅,9300
45,fs,保利天玺,禅城绿景二路11号（亚艺公园西侧）,住宅 商住,11000
46,fs,美的西海岸,高明西江新城荷富大道东,住宅,5500
47,fs,依云公馆,南海大正新城大正路,住宅,5800
48,fs,蓝天河畔名轩,乐从乐从镇乐从社区居民委员会乐从大道东A100号,住宅,9200
49,fs,丽雅嘉园,南海桂城佛平路南侧(桂城29街区),住宅,10500
50,fs,世博嘉园,禅城黎明一路23号(广佛地铁魁奇路站旁),住宅,10000
51,fs,云山峰境花园,南海丹灶镇科教路12号（丹灶镇政府附近）,住宅,5500
52,fs,上岛水岸,均安顺德均安华安路2号,住宅,4800
53,fs,时代倾城,南海桂丹路与北湖一路交汇处,住宅,9000
