,城市,小区名,地址,住宅类型,均价
0,gz,万科欧泊,番禺兴南大道368号,住宅,80000
1,gz,方圆·泉溪月岛,从化流溪河半岛（距广东温泉宾馆约3分钟车程）,别墅,13000
2,gz,佳润云凯雅寓,白云广州大道北同和地铁站北行400米,住宅 商住,20000
3,gz,御江苑,越秀南堤二马路36-40号（天字码头斜对面）,住宅,49000
4,gz,凤乐雅轩,海珠革新路凤安街,住宅,30000
5,gz,信业尚誉,番禺亚运大道198号,住宅,14000
6,gz,豪利幸福里,花都狮岭镇狮岭大道美湖路3号（洪秀全水库西侧）,住宅,6900
7,gz,翡翠城,从化城鳌大道西路998号翡翠一街,住宅,4800
8,gz,金海御苑,番禺石岗南路9号(金海岸花园西侧、石岗南路东侧),住宅,13000
9,gz,嘉都汇,花都迎宾大道187号（合和新城对面）,住宅,13000
10,gz,隆泰逸品君庭,白云区走马岗路28号,住宅,30000
11,gz,珠光流溪御景,从化神岗文峰塔公园内流溪河畔（105国道旁）,住宅 别墅,8000
12,gz,和记黄埔逸翠庄园,增城增城大道292号,住宅 别墅,15000
13,gz,卓粤·卓雅名苑,花都建设北路229号（威曼斯酒店直入200米）,住宅,10000
14,gz,顺丰翠园,白云区石井兆丰路168号,住宅,17000
15,gz,天马河公馆,花都新街大道望亭路15号,住宅 别墅,9500
16,gz,万科峯境,白云白云大道南399号,住宅,33500
17,gz,江山国际,海珠新港东路48号（万盛围站B出口，会展中心往东1000米）,住宅,47000
18,gz,顺欣花园,增城新塘镇广园东荔新出口300米处,住宅,9600
19,gz,琶洲壹號,海珠新港东路2348号（万胜围地铁站沿新港东路往东300米）,别墅,50000
20,gz,保利天汇,清远清城区沿江中路1号（凤城大桥北侧）,住宅,5000
21,gz,中国铁建荔湾国际城,荔湾龙溪中路中铁建水岸花园悦澜二街#1#2,住宅,24000
22,gz,祈福活力花园2期,番禺番禺区市广路与金山大道交汇处,住宅,20000
23,gz,荔林春晓,从化高技术产业园工业大道7号,住宅,7000
24,gz,南沙金湾,南沙进港大道华汇国际广场旁,住宅,12000
25,gz,南沙湾·东苑,南沙港前大道华师附小旁,住宅,14000
26,gz,翠荷轩,荔湾区东漖南路90—110号,住宅,23000
27,gz,帝景山庄,天河奥体路合生帝景山庄（奥体中心北侧）,别墅,55000
28,gz,恒大银湖城,清远广清高速古钱岭出口旁,住宅,6500
29,gz,水韵翔庭,黄埔开发区锦绣路16-26号,住宅,13000
30,gz,荔富湖畔,增城增城市朱村街朱村大道东88号,住宅 别墅,8400
31,gz,中海花湾壹号,荔湾鹤洞路（地铁西朗站A出口）,住宅 商住,32000
32,gz,金湖翡翠山,白云区沙太北路938号,别墅,50000
33,gz,广东动漫城,从化元洲岗村广从北路北侧,住宅 商住,5000
34,gz,西福蓝湾,增城朱村街凤岗村内,住宅,9000
35,gz,祈福辉煌台·南岸,花都新华镇云山大道农新路1号,住宅,10000
36,gz,东港花园,黄埔黄埔东路文船路363号（广深公路以北文冲村文船路以西）,住宅,15000
37,gz,雅居乐小院流溪,从化街口街105国道沙贝段,住宅,12000
38,gz,壹品E·Park,黄埔科学城伴河路192号（植树公园旁）,住宅 商住,14000
39,gz,保利南沙大都汇,南沙金隆路与上隆岭路交界处,住宅,14500
40,gz,南沙涉外公馆,南沙进港大道579号,住宅 商住,14000
41,gz,荣御府,白云南湖同和路828号（南湖乐园对面）,住宅,23000
42,gz,狮城国际,花都狮岭大道东8号,住宅,7000
43,gz,东馨美居,花都新华街建设北路松园里,住宅,8000
44,gz,万科金色梦想,黄埔开创大道与开源大道交汇处,住宅,14000
45,gz,利峰城,花都金狮大道南侧,住宅,5500
46,gz,水电广场,增城广深大道西1号,住宅,10500
47,gz,东华·星域,海珠江南大道中79号（地铁市二宫站A出口处）,住宅,32000
48,gz,君立M+World,白云同和路318号(同和地铁站D出口南则约800米),住宅 商住,23000
49,gz,狮峰公馆,花都新华街九谭村,住宅,8500
50,gz,南沙珠江湾,南沙环市大道漾滨路,住宅,11000
51,gz,云星·钱隆公馆,从化从城大道风云岭森林公园对面,住宅,10000
52,gz,景新豪苑,增城丰华东路与汇景北路交界处,住宅,10000
53,gz,名雅苑（永卓楼）,花都花山镇花山路40号,住宅,7300
54,gz,敏捷伊顿公馆,番禺市广路（祈福食街旁，招商金山谷对面）,住宅,12000
55,gz,恒大金碧天下,清远清新清连高速旁（龙颈出口）,住宅 别墅,4800
56,gz,绿地·8克拉,花都区建设北路178号(建设北路与紫薇路交汇处）,住宅,10000
57,gz,越秀·御珑苑,番禺小谷围岛大学城中八路22号,住宅,32000
58,gz,尚轩103,番禺中五路与中三横路交界,住宅,23000
59,gz,兴业海逸半岛花园,从化环市东路（即水利学院南侧、流溪河畔）,住宅 别墅,8500
60,gz,保利大都汇,番禺汉溪大道与新光快速交汇处,住宅,24000
61,gz,中惠国际金融中心,南沙进港大道与凤凰大道交界（地铁4号线蕉门站A出口）,住宅 商住,23000
62,gz,西关海,荔湾南岸路23号（青年公园旁）,住宅,35000
63,gz,峻林,天河区林和村地段林和东路,住宅,50000
64,gz,侨鑫汇悦台,天河马场路与临江大道交界处（南国花园南面）,住宅,100000
65,gz,奶茶咖啡二期,从化沿江南路68号,住宅,9500
66,gz,珠光御景壹號,荔湾黄沙大道广铁南站,住宅,45000
67,gz,玖珑湖,花都九龙湖森林公园（九龙湖国际小区）,住宅 别墅,22000
