,城市,小区名,地址,住宅类型,均价
0,hk,阳光·丁香园,海口市长滨4路13号,住宅,8300
1,hk,海岸赛拉维,海口市滨海大道长流起步区（国际会展中心对面）,住宅,7888
2,hk,伊泰·天骄,海口市长滨5路12号,住宅,7500
3,hk,恒大海口湾,海口市海棠路3号,住宅,12000
4,hk,碧湖豪庭,海口市红城湖路南侧,住宅,9500
5,hk,爱尚海蓝,海口市海濂路海联制药厂北侧,住宅,7000
6,hk,宝庆花园二期,海口市凤翔西路8号,住宅,6900
7,hk,西海瑞园,海口市滨海大道与粤海大道交汇处（滨海西路南侧）,住宅 别墅,8300
8,hk,观澜湖·观墅,海口市观澜湖大道1号（观澜湖北区）,别墅,50000
9,hk,花漾年,海口市博巷路60号，亚洲豪苑北区东侧博南巷内进200米,住宅,8500
10,hk,海秀天成,海口市海秀中路120号,住宅,8500
11,hk,君悦府,海口市永万路东侧,住宅,13000
12,hk,海秀花园,海口市金福路德裕高尔夫旁边,住宅,7700
13,hk,昌建·逸海国际广场,海口市西海岸市政府西侧100米,住宅,18000
14,hk,海南天鹅湾,海口市白驹大道南侧（琼州大桥南侧600米）,住宅 别墅,13000
15,hk,八顺大厦,海口市龙昆南路高登西街,住宅 商住,8800
16,hk,望海国际广场,海口市海秀东路6号望海国际广场,住宅,11000
17,hk,海岛国际名城,海口市金福路11号（南海大道和金鼎大道的交界处）,住宅,9000
18,hk,星华佳园,海口市西沙路15号（民航公寓正对面）,住宅,8800
19,hk,万花坊·金城雅舍,海口市海榆中线2.5公里东侧海南省化工厂(老车管所隔壁),住宅,6800
20,hk,花满溪,海口市海瑞后路,住宅,8500
21,hk,海域阳光二期,海口市滨海大道与长海大道交汇处（海口西海岸新国际会展中心南）,住宅,13000
22,hk,锦地翰城,海口市白水塘路11号（景山学校以北）,住宅,8300
23,hk,翡翠水城,海口市滨江西路南段海瑞大桥以南300米,住宅 别墅,6800
24,hk,紫园,海口市长怡路27号（观海台内进800米）,住宅,13000
25,hk,菩提树,海口市创业路7号(原永万西路),住宅,9800
26,hk,双龙苑,海口市金坡路22号,住宅,10000
27,hk,香榭花园,海口市椰海大道57号（中山南路与椰海大道交界处）,住宅 商住,7500
28,hk,时代城,海口市西海岸长滨路,住宅,5800
29,hk,海航万绿园1号,海口市海口市民声东路1号（万绿园旁，民声东路与玉兰路交汇处）,住宅,19000
