,城市,小区名,地址,住宅类型,均价
0,hui,明丰东江府,博罗园洲镇寮仔工业区（南临东江）,住宅,3700
1,hui,凯悦春天,大亚湾石化大道科技路（创新科技园旁）,住宅,11000
2,hui,景富时代,惠城三环南路13号（新天虹对面）,住宅,8000
3,hui,龙宸·梧桐郡府,仲恺仲恺大道与和畅西三路交汇处（平南路口旁）,住宅,8500
4,hui,君跃荃新时代花园,大亚湾中兴北路196号,住宅,12000
5,hui,金泰瑞和园,博罗惠博沿江路与博罗商业东街交汇处（博罗体育馆斜对面）,住宅,4500
6,hui,乔弘·模范生,惠城水口镇龙湖大道中段育才路2号（紧邻水口中心小学）,住宅,5600
7,hui,珠江·四季悦城,大亚湾龙海二路,住宅,9000
8,hui,中通水岸,惠东平山镇黄排河南（城记酒店前行50米）,住宅 别墅,4800
9,hui,罗浮万象,博罗湖镇富裕大道,住宅,3000
10,hui,星岸城,惠城惠博沿江路999号（东江沿岸）,住宅,4900
11,hui,鼎峰国汇山,惠城江北25号小区（中信大桥旁）,住宅 别墅,18000
12,hui,龙城一品,大亚湾西区塘尾村,住宅 别墅,13000
13,hui,半岛1号,惠阳淡水镇东华大道半岛1号（体育会展中心旁）,住宅 别墅,12000
14,hui,合生愉景湾,惠城龙和东路一号(广惠高速蓬陵出口旁),别墅 商住,5500
15,hui,凯南莱弗城,大亚湾西区龙海二路与龙山三路交汇处,住宅,12000
16,hui,升利·悦湖会,惠城环湖三路与惠沙堤二路交汇处,住宅 别墅,12500
17,hui,日昇昌天誉,惠城文华一路31号（市第一人民医院附近）,住宅 商住,15000
18,hui,龙光·水悦龙湾,惠城长湖东路与长湖南路交汇处,住宅,16000
19,hui,泰宇·城市中央,惠城金龙大道与乌石二路交汇处（金泽物流园对面）,住宅,7200
20,hui,泰兴国际,惠阳开城大道中（移动大厅旁）,住宅,9000
21,hui,新湖丽园,惠城人民南四路18号（水口供电所后面）,住宅,5500
22,hui,合正东部湾,惠东稔山镇亚婆角旅游度假区(临惠深沿海高速新村出口),住宅 别墅,12000
23,hui,心境山水郡,惠阳淡水惠澳大道旁（淡水河东岸），惠阳经济开发区南部,别墅,10000
24,hui,惠州富力湾,惠东东部巽寮湾区的稔山镇范和湾跨海大桥旁,住宅 别墅,9000
25,hui,宝安·山水龙城,惠城水口大道19号（蓝波湾旁）,住宅 别墅,7000
26,hui,太阳湾,大亚湾龙海二路36号（大亚湾龙海二路与大亚湾大道交汇处）,住宅 别墅 商住,12000
27,hui,中航·维拉庄园,惠东平山街道陈塘（环城路旁）,别墅,6200
28,hui,御水豪庭,惠城河南岸环湖一路29号,住宅 商住,13000
29,hui,阳光新苑,惠城水口人民南四路17号（新湖小学旁）,住宅,6000
30,hui,海宸世家,惠东巽寮湾国家4A级滨海度假区喜来登酒店旁,住宅 商住,16000
31,hui,泰豪·南山翡翠,惠城下马庄路2号,住宅,8500
32,hui,富盈公馆,惠城三环东路鹿江沥南岸（美丽洲旁）,住宅,6500
33,hui,惠州远望数码城,博罗飞龙大道888号（广惠高速罗阳出口左转500米处）,住宅,18000
34,hui,依云小镇,博罗惠博沿江大道东江岸（半山1号旁）,住宅,5400
35,hui,保利锦里,龙门广东南昆山国家森林公园旅游度假区（广河高速永汉出口处）,住宅 别墅,7500
36,hui,鸿江·尚城世家,惠阳金惠大道区政府旁,住宅,15000
37,hui,海锦御林苑二期,仲恺惠樟公路南路26号（沥林镇政府斜对面）,住宅,4500
38,hui,德明·合立方国际公寓,惠城演达大道41号（金山湖体育馆斜对面）,住宅 商住,7200
39,hui,鹏达·丽水湾,惠城滨江西一路（合生大桥旁）,住宅,6900
40,hui,锦河湾,大亚湾龙山三路68号,住宅,12000
41,hui,丽景湾上,惠城旭日二路9号,住宅,25000
42,hui,惠阳振业城,惠阳惠南大道北侧惠阳振业城,住宅 别墅,14000
43,hui,雅佳苑,惠城小金口街道金石七路23号（小金口街道办斜对面）,住宅,5600
44,hui,中信凯旋城,惠城金山大道（奥林匹克中心对面）,住宅 别墅,8000
45,hui,夏日南庭二期,大亚湾西区龙海三路与龙山六路交汇处（7天酒店旁）,住宅,12000
46,hui,尚城·好萊屋,惠城麦地路（国宾酒店对面）,住宅,8500
47,hui,星河湾花园三期,惠阳淡水大埔星河东路名苑星河湾花园,住宅 商住,10000
48,hui,德威摩卡小镇,惠城江北三环北路18号（江北41号小区）,住宅,6800
49,hui,海伦堡·海伦湾,惠城东平新开河桥东侧,住宅 别墅,12000
50,hui,南山公馆三期上院,惠城鹅岭南路45号（龙八啤酒厂旁边）,住宅,8000
51,hui,方直星耀国际,惠城金山大道与三环南路交汇处,住宅,8500
52,hui,中央国墅园,惠阳淡水土湖金惠大道（天虹西500米）,住宅 商住,10000
53,hui,海伦堡·爱ME城市,大亚湾教育路旁（澳头第一小学旁）,住宅,9000
54,hui,鑫月城,仲恺高新技术开发区,住宅,6500
55,hui,金融街巽寮湾,惠东巽寮湾中区天后宫商业街旁,住宅 商住,8300
56,hui,清泉城市广场,惠阳淡水金惠大道与土湖街交汇处,住宅,13000
57,hui,英之皇·中心城,惠阳东华大道天虹商场北侧,住宅,15000
58,hui,诺楠·悠山美地花园,仲恺陈潼大道侨冠中路168号(派出所对面),住宅 别墅,13000
59,hui,国鹏·润德学府,仲恺高新区仲恺大道与和畅六路交汇处,住宅,6800
60,hui,宏益花城,惠城河南岸12号小区,住宅,8800
61,hui,福泰·嘉和园,惠阳新圩镇约场（博深高速约场出口）,住宅,7800
62,hui,大新城,惠城东部新城中心区三环路旁（皇冠假日酒店对面）,住宅,6000
63,hui,锦地繁花,大亚湾石化大道西333号 ，即爱琴海对面,住宅,14000
64,hui,中萃1829,大亚湾新澳大道中段左侧（新澳大道十二街11号）,住宅,8900
65,hui,弘泰·映月城,惠城东兴大道101号,住宅,6500
66,hui,泡泡海,大亚湾霞光一路1号（黄金海岸旅游度假区）,住宅 商住,15000
67,hui,龙达·九珑山,惠城小金口金罗路（205国道旁）,住宅,5180
68,hui,玉台华庭,惠城水口大道与惠州大道交汇处（蓝波湾北进500米）,住宅,6300
69,hui,佳兆业1号,惠城古塘坳（南线客运站旁）,住宅,8400
70,hui,华兴·金盛丽景,惠城江东一号路(第四人民医院前进约500米处）,住宅,7500
71,hui,惠东国际新城,惠东泰园商住区广汕路与环城南路交汇处（新汽车站对面）,住宅 别墅,5280
72,hui,竣业鹏城里,惠阳淡水镇金惠大道西（琼苑国际大酒店旁）,住宅,15000
73,hui,TCL康城四季,仲恺高新区和畅4路,住宅,9500
74,hui,雅博世纪广场,惠阳开城大道南163号（惠阳国税局附近）,住宅 商住,16000
75,hui,润城·双璧湾,惠城惠博大道466号 惠州求实职业技术学校往西500米,住宅 别墅,7000
76,hui,万城名座花园,惠阳白云坑金惠大道与兴发路交汇处,住宅,16000
77,hui,华日·城市理想,仲恺和畅二路与惠风3路交汇处（航天科技园斜对面）,住宅,8500
78,hui,天益城,仲恺仲恺大道金湖一路（莞惠轻轨陈江站）,住宅,40000
79,hui,金叶华府,博罗石湾镇四十米大道中岗叶屋段,住宅,6100
80,hui,富力南昆山温泉养生谷,龙门永汉镇（广河高速永汉出口处）,住宅 别墅,7500
81,hui,富森·公园壹号,惠东卫民路（南湖公园南门旁）,住宅,6000
82,hui,秋谷林海,大亚湾西区龙山六路与新荷大道交汇处（比亚迪南门对面）,住宅,12000
83,hui,富力现代广场,博罗惠博沿江大道与惠州大道交界（博罗体育中心对面）,住宅 商住,4480
84,hui,鼎浩城,惠城马安镇群乐路8号（马安镇政府旁）,住宅,5700
85,hui,卡莎公寓,惠城鹅岭北路丰湖二街5号（黄塘电脑城内）,住宅 商住,6500
86,hui,丽日君颐家园,惠城云山东路32号,住宅,14000
87,hui,富丽嘉园,仲恺惠环镇惠风二路(东邻马过渡河),住宅,8000
