,城市,小区名,地址,住宅类型,均价
0,hz,富力十号一期,文一西路高教路交叉口,普通住宅,21000
1,hz,西溪君庐,文二西路与荆常大道交叉口向南1000米,普通住宅,20000
2,hz,百家乐西园,文二西路与荆常大道交叉口百家乐西园,普通住宅,20000
3,hz,合景叠彩园,未来科技城溪望路阿里巴巴淘宝城南面,普通住宅,17500
4,hz,方正御星,杭行路与祥富路交叉口，万达广场旁,普通住宅,19000
5,hz,众安白马山庄,留和路浙江科技学院西北侧,普通住宅,10888
6,hz,富力十号院,文二西路高教路交叉口,普通住宅,26000
7,hz,九龙仓君玺,东新路文晖路口,普通住宅,50000
8,hz,滨江西溪之星,文二路转荆长路南向数百米,普通住宅,26000
9,hz,融创河滨之城,花蒋路、余杭塘路向西到底，西溪银泰城西侧800米处,普通住宅,29000
10,hz,金隅田员外,广济路和依山路交叉口,普通住宅,17000
11,hz,新城峯璟,文二西路与常二路交叉口,普通住宅,20000
12,hz,华元美林公馆,文二西路和荆长路交叉口华元美林公馆,普通住宅,13900
13,hz,中大银泰城,东新路与石祥路交汇处,商住两用,18500
14,hz,金地广场,古墩路与金渡北路交叉口西北角加油站旁,商住两用,13000
15,hz,西溪八方城,余杭文一西路荆长路以东200米,商住两用,14000
16,hz,汉嘉申花郡,丰庆路与石祥路交叉口东北方,普通住宅,25000
17,hz,钱江御府,秋涛路与候潮路交叉口东北角,普通住宅,42000
18,hz,黄龙金茂悦,益乐路和余杭塘路交叉口,普通住宅,36000
19,hz,翡翠城,西溪湿地以西约2公里（高教路、五常大道交汇处）,普通住宅,28000
20,hz,九龙仓碧玺,杭印路6号小河路杭印路交汇处,普通住宅,45000
21,hz,广宇锦绣桃源,沈半路桃源街与翠锦路交汇处,普通住宅,17500
22,hz,金地申花里,莫干山路与石祥路交叉口西北侧,普通住宅,21000
23,hz,中国铁建国际城,石祥路239号,普通住宅,25000
24,hz,金隅学府,钱江路与侯潮路交口西南角,普通住宅,45000
25,hz,大家运河之星,丽水北路与郁世门路交叉口,普通住宅,12000
26,hz,东方福邸,益乐路与萍水路交叉口,普通住宅,27000
27,hz,融创大家侯潮府,候潮路与钱江路交叉口东北面,普通住宅,55000
28,hz,越秀星汇悦城,古墩路与吴王路交叉口,普通住宅,12000
29,hz,龙湖唐宁ONE,古翠路与高技街交叉口,普通住宅,43000
30,hz,西溪永乐城,文一西路与景兴路交叉口,普通住宅,12700
31,hz,景瑞申花壹号院,申花路丰潭路交叉口,普通住宅,27000
32,hz,协安蓝郡,古墩路与金渡北路交界处,普通住宅,16500
33,hz,大华西溪风情澄品,常二路与文一西路交叉口南面833号,普通住宅,19000
34,hz,西溪海小海,上和路西溪海小海,普通住宅,15000
35,hz,理想西溪金座,荆长路758号（文一西路与荆长路交叉口以北200米）,普通住宅,11000
36,hz,复地黄龙和山,西溪路与杨梅山路交叉口,商住两用,17000
37,hz,华元西溪欢乐城,五常大道和睦路口,商住两用,9000
38,hz,东方御府,凤起东路与御道路交叉口东南,普通住宅,29000
39,hz,协安紫郡,董家路（竹桥路）与三墩港河交界处,普通住宅,19000
40,hz,融信杭州公馆,学院路与文一路交叉口（原杭师大旧址）,普通住宅,47000
41,hz,融信蓝孔雀,石祥路与莫干山路交叉口,普通住宅,26000
42,hz,天阳尚景国际二期,萍水路与永固路交叉口,普通住宅,27000
43,hz,滨江西溪明珠,天目山路百家园路口,别墅,780
44,hz,迪凯运河印象,上塘路高架勾运路出口东100米,商住两用,13000
45,hz,宝嘉誉峰,拱墅石祥路与东吴路交界处（万达广场往东50米）,普通住宅,24000
46,hz,耀翔悦尚,祥园路与总管路交叉口,普通住宅,15000
47,hz,德信早安,中泰乡中泰路与商留北路交界处,普通住宅,6800
48,hz,中国铁建国际城,石祥路239号,商住两用,21000
49,hz,地铁绿城杨柳郡,九和路516号,普通住宅,25000
50,hz,绿都御景蓝湾,绕城南线义桥出口处1000米,普通住宅,9000
51,hz,滨江万家名城,通运路与东吴路交汇处,普通住宅,16000
52,hz,德信浙旅东宸,天城路与环站东路交叉口,普通住宅,25000
53,hz,融科东南海,建设四路香樟路口,普通住宅,10000
54,hz,东新府,沈家路52号（东新园小区北门）,普通住宅,23000
55,hz,石榴派,东西大道与新104国道交汇处,普通住宅,10000
56,hz,越秀星汇尚城,通运路与东吴路交叉口,普通住宅,14500
57,hz,万和玺园,颜三路再行路口万和玺园,普通住宅,24000
58,hz,顺发江南丽锦,东临市心北路，南至扬帆路，北靠顺发和美家,普通住宅,18000
59,hz,新华园,湖墅南路186号,普通住宅,47000
60,hz,九浪山花园,河上镇祥河桥村胜达集团对面,普通住宅,4300
61,hz,滨江东方海岸,时代大道与湘湖路交界,普通住宅,14000
62,hz,佳源名城,崇贤镇，南临洋湾路，东至崇超路，西临运河支流,普通住宅,9500
63,hz,中栋国际,风情大道与建设一路交叉口,普通住宅,13000
64,hz,银杏汇,闻涛路与东信大道交叉口向西600米杭州钱塘湾艺术馆,普通住宅,38000
65,hz,浙旅德信西宸,萍水街与方家中路交叉口,普通住宅,31000
66,hz,经建绅世郡,南苑街道藕花洲大街西段35号,普通住宅,6700
67,hz,融科瑷骊山,之江国家旅游度假区象山路西,普通住宅,22000
68,hz,东方一号,建设一路与宁东路交叉口,普通住宅,27000
69,hz,复地上城,文一西路以南，东西大道以东,普通住宅,11000
70,hz,宋都东郡国际,德胜快速路、沿江大道交汇处，浙江财经学院正北面,普通住宅,11000
71,hz,宋都阳光国际,通盛路1号,普通住宅,18000
72,hz,中天之江诚品,之江国家旅游度假区320国道与创意路（原望江山路）交叉口,普通住宅,400
73,hz,理想银泰城,世纪大道与迎宾路交叉口,普通住宅,12000
74,hz,众安理想湾,临平大道与星河路交叉口,普通住宅,6000
75,hz,远洋万和四季,环站东路与花园兜街交汇处东北侧,普通住宅,25000
76,hz,东晖龙悦湾,余杭临平街道五洲路与小白线交叉路口 （超山风景区旁）,普通住宅,5200
77,hz,东海水景城,临平世纪大道与西安路交叉口东海水景城,普通住宅,10000
78,hz,越秀星汇城,青山湖科技城大园路123号,普通住宅,6200
79,hz,佳兆业西溪璞园,余杭天目山西路和联胜路口向南约100米（杭州西溪印象城西南面）,普通住宅,14000
80,hz,润和橙家,文海北路379号,普通住宅,6200
81,hz,西溪泊岸,余杭区余杭区文一西路(荆常大道口),普通住宅,13000
82,hz,广厦天都城天澜,余杭 临丁路与欢乐大道交叉口,普通住宅,7000
83,hz,合景叠彩园,未来科技城溪望路阿里巴巴淘宝城南面,别墅,400
84,hz,通和波士顿公寓,星桥街道星都大道与东港路交叉口,别墅,750
85,hz,杭州碧桂园,水云街158号,别墅,546
86,hz,歌山品悦府,西兴街道古塘路32号（河畔花园对面）,别墅,14000
87,hz,欧美金融城,文一西路和水城北路交汇处,商住两用,13500
88,hz,泰美国际大厦,经济技术开发区金沙大道与幸福路交叉口,商住两用,29800
89,hz,海智创业茂,海创路,商住两用,9300
90,hz,南钻广场,通惠中路南钻广场,商住两用,11000
91,hz,杭州港龙城,明月桥路与鸿泰路交叉路口,商住两用,16000
92,hz,置鼎明珠1号,蕙兰雅路与明珠路交叉口,商住两用,9000
93,hz,绿城桃源小镇,闲林西路西溪山庄,普通住宅,12040
94,hz,绿城玉园,临平叠华街（水景公园北侧）,普通住宅,16500
95,hz,绿城蓝庭西区,振兴西路52号,普通住宅,8000
96,hz,锦润公寓,机场路以西，新风路以北,普通住宅,23000
97,hz,铂金名筑,南环路与长河路交叉口,普通住宅,19000
98,hz,景瑞御华府,新城世纪大道与汀兰路交汇处景瑞御华府,普通住宅,9000
99,hz,昆仑华府,东至张家坝港，南至新104国道防护林，西至下门坝港，北至康良路,普通住宅,12000
100,hz,昆仑公馆,长板巷99号,普通住宅,45000
101,hz,中旅城仕公馆,同协路和杭玻街交界处西北角200米,普通住宅,14500
102,hz,钱塘大观,闻涛路与六和路交汇处以西,普通住宅,19000
103,hz,华润新鸿基之江九里,之江国家旅游度假区之江路与碧波路交叉口,普通住宅,22000
104,hz,耀达金鼎华庭,勾庄农副产品物流中心北,普通住宅,7200
105,hz,莱茵旺角七号,东湖北路81号,普通住宅,7900
106,hz,宋都香悦郡,沈半路与永祥街交叉口,普通住宅,18000
107,hz,万科草庄,机场路和同协路交汇处西侧,普通住宅,22000
108,hz,新城金镶玉,蓝孔雀综合体花园岗路与纺织路交汇处,普通住宅,25000
109,hz,中天官河锦庭,滨康路阡陌路口,普通住宅,23000
110,hz,绿城西溪融庄,荆常大道与文二西路交叉口南侧300米,普通住宅,20000
111,hz,万和国际,市心北路与广场路交汇处，庆春路过江隧道出口以南,普通住宅,19000
112,hz,盛泰名都中心,五号大街盛泰名都中心,普通住宅,11000
113,hz,恒基旭辉府,崇杭路与丽水北路交叉口,普通住宅,11000
114,hz,嘉凯城杭州中凯城市之光,滨文路与时代大道交叉口,普通住宅,19000
115,hz,融科瑷颐湾,杭行路与祥园北路交汇处（万达广场北面）,普通住宅,17500
116,hz,龙湖旭辉春江悦茗,风情大道和月明路交叉口,普通住宅,23000
117,hz,赞成杭家,洋湾路与崇文街交叉口（秋石高架石塘路口下，800米左转）,普通住宅,9100
118,hz,绿城运河宸园,登云路小河路口,普通住宅,36000
119,hz,凯文杭庄,经济开发区映荷路与荷禹路交界处,普通住宅,6700
120,hz,金地德圣中心,金城路与金鸡路交汇处,普通住宅,20000
121,hz,赞成赞城,博园路与棕榈路交叉口,普通住宅,8800
122,hz,天阳晴朗,广发路与笕丁路交叉口,普通住宅,12500
123,hz,华瑞晴庐,建设二路与育才路交叉口往东100米,普通住宅,16000
124,hz,嘉凯城名城博园,农副物流园区博园路与棕榈路交汇处,普通住宅,8000
125,hz,中国铁建江南国际城,金城路与风情大道交汇处往北300米,普通住宅,23000
126,hz,天城府,新风路与石桥路交叉路口,普通住宅,24000
127,hz,联合畔上居,广济路和虎山路交叉口,普通住宅,16500
