,城市,小区名,地址,住宅类型,均价
0,jn,高新绿城玉蘭花园,旅游路与舜华南路交汇处往南200米,普通住宅,13000
1,jn,鲁能领秀公馆,领秀城贵和购物中心南行2000米路东（电力科学研究院南邻）,普通住宅,9500
2,jn,万科金色悦城,无影山北路万科金色悦城,普通住宅,7600
3,jn,绿地新里香榭丽公馆,济齐路绿地新里香榭丽公馆,普通住宅,7200
4,jn,中建锦绣城,齐鲁大道中建锦绣城,普通住宅,7300
5,jn,中建国熙台,山大路与解放路交汇处向西100米,普通住宅,18500
6,jn,恒大帝景,文化东路63号,普通住宅,24000
7,jn,北大时代,小清河北路与水屯路交汇处,普通住宅,7500
8,jn,百步亭中国MALL,望岳路1777号,普通住宅,9500
9,jn,海亮院里,凤鸣路海亮院里,普通住宅,8000
10,jn,梦世界润园,经十西路235号,普通住宅,7500
11,jn,河泰优山美郡,世纪大道河泰优山美郡,普通住宅,6800
12,jn,恒大奥东新都,经十路与凤山路交叉口向北800米路西,普通住宅,8900
13,jn,帝华鸿府,唐冶立交桥北100米路东（唐冶中路与敬德街路口）,普通住宅,5300
14,jn,国华东方美郡,旅游路28666号,普通住宅,2000
15,jn,中海华山珑城,将军路黄台大酒店北900米（将军集团对面）,普通住宅,6600
16,jn,绿地海珀天沅,郎茂山路与二环南路交汇处北行700米,普通住宅,14000
17,jn,大尧风华盛景,腊山河西路大尧风华盛景,普通住宅,7000
18,jn,鲁商凤凰城,经十路鲁商凤凰城,普通住宅,6500
19,jn,鲁邦奥林逸城,体育南路延长线以南、凤凰路以西200米路北侧,普通住宅,9000
20,jn,九英里颢苑,经十东路511号,普通住宅,18500
21,jn,路劲东城,二环东路济南一中北100米路西,普通住宅,9200
22,jn,和平大院,七里山西路20号,普通住宅,9800
23,jn,黄金山水郡,旅游路黄金山水郡,普通住宅,15500
24,jn,金湖国际,富阳路与银河路交汇处路北,普通住宅,4500
25,jn,华鑫现代城,济北正安中路223号,普通住宅,4500
26,jn,银都花园,富阳街与银河路交汇处,普通住宅,4500
27,jn,鑫隆帝景城,长青路与商中路交汇处(人民公园南侧50米),普通住宅,3600
28,jn,兰亭鉴筑花园,丁字山路兰亭鉴筑花园,普通住宅,10100
29,jn,财富壹号,经十路财富壹号,普通住宅,8800
30,jn,桃源美庭苑,仲宫镇凤凰岭村桃源美庭苑,别墅,11000
31,jn,和信SOHO,明湖西路1000号,商住两用,8500
