,城市,小区名,地址,住宅类型,均价
0,jx,尚东名邸,秀洲新区环城北路与城东路交界,住宅,5180
1,jx,奥园黄金海岸,经济开发区塘汇街道城东路与永政路交叉口,住宅,4980
2,jx,龙湫湾,当湖街东方路118号檀郡会所,住宅,6500
3,jx,龙盛蓝郡,当湖街东湖新区小港路168号,住宅,7200
4,jx,宝格丽公馆,凤鸣街西临高中园区,住宅,6950
5,jx,旭辉·朗香郡,秀洲新区秀园路德尔路路口（好一家家居购物广场北）,住宅,6800
6,jx,新湖香格里拉三期,梧桐街桐乡市世纪大道与逾桥路交叉口,住宅,8500
7,jx,海盐碧桂园,海盐新客运中心西侧,住宅,6000
8,jx,御江南,乌镇桐乡市乌镇镇植材路口（汽车站对面）,住宅,5500
9,jx,合悦江南,河山镇高桥大道桐乡高铁站正对面,住宅 别墅 商住,15000
10,jx,绿城乌镇雅园,乌镇白马墩村（原华庄生态园）,住宅 别墅 商住,15000
11,jx,逸林岛墅,秀洲新区聚贤路688号,住宅 别墅,25000
12,jx,中房西郊庄园,凤鸣街桐乡市体育西路1309号,住宅,6500
13,jx,江南一品,凤鸣街桐乡市校场路以南，梧丰路东侧,住宅,8500
14,jx,中央公馆,梧桐街桐乡庆丰中路（时代广场肯德基正对面）,住宅,8500
15,jx,翠湖逸墅,屠甸镇山门街中路,住宅,8000
16,jx,承安·南湖壹品,乌镇文贤路近普民路(妇幼保院往南到文贤路左转，过普民路),住宅,7800
17,jx,阳光花城东区,濮院镇嘉兴市桐乡市濮院镇宏苑路与凯旋路交叉口,住宅,6500
18,jx,中润嘉兴中心,运河新区文昌路北近中环西路,商住,8000
19,jx,碧水雅苑平层大宅,梧桐街嘉兴市桐乡市庆丰北路299号,住宅,8000
20,jx,华庭丽晶,凤鸣街桐乡市体育西路900号,住宅,6500
21,jx,罗马都市,南湖新区双溪路与望湖路交叉口（凌公塘公园北侧）,住宅 别墅,9300
22,jx,兆盛金色华庭,钟埭街大桥路158号,住宅,7500
23,jx,信达香格里,秀洲新区北临中山西路，南至育英路，秀园路以西，枫林路以东,住宅,7000
24,jx,大树英格澜,乍浦镇纺工路与石泾路交叉口,住宅,6600
25,jx,米兰风景,秀洲新区常秀街与洪波路交汇处（嘉兴市高级中学东侧）,住宅,7000
26,jx,紫元·尚园,经济开发区广穹路与城南路交叉口,住宅,7100
27,jx,东方盛悦,梧桐街桐乡市世纪大道东侧、环城北路北侧，世纪大道环城北路交叉口,住宅,7800
28,jx,紫檀苑,梧桐街振东新区圆明路338号,住宅,8200
29,jx,巨匠·金色名门,梧桐街桐乡市庆丰北路与逾桥路口西18米,住宅,7000
30,jx,大通·悦府,梧桐街世纪大道与校场路交汇处,住宅,8500
31,jx,桃源东湾,经济开发区凤桥镇凤篁路桃源小洲,住宅 别墅,5400
32,jx,裕隆府,秀洲新区东至秀园路、南至象贤路、西至信达路、北至洪贤路,住宅,5380
33,jx,耀江幸福嘉园,当湖街平湖市平湖当湖西路与平湖大道交汇处,住宅,5600
34,jx,欣盛华庭,崇福镇桐乡市崇福镇锦绣路与民丰路西北侧,住宅,9000
