,城市,小区名,地址,住宅类型,均价
0,lin,润地玉苑,兰山区临西十二路与银雀山路交汇处东北角,住宅,4100
1,lin,格瑞斯小镇,河东区滨河东路与金五路桥交汇处东北角,住宅,4600
2,lin,伊丽莎白花漾,经济开发区滨河东路与金九路桥交汇处南行1000米路口左转,住宅,4000
3,lin,东城万象,经济开发区沂河路与滨河东路交汇处东100米路北,住宅,3200
4,lin,齐尚悦澜山,罗庄区通达路与清河北路交汇处南100米路东,住宅,5200
5,lin,青啤早安时区,罗庄区沂河路与滨河西路交汇南1000米路西,住宅,4100
6,lin,凤舞明珠,河东区凤凰大街与东兴路交汇处以东200米路南,住宅,4300
7,lin,港湾新里程,经济开发区沂河东路与沃尔沃路交汇处东50米路南,住宅,3600
8,lin,台湾城涑河国际,兰山区通达路与涑河南街交汇西200米路南（青杨桥南）,住宅,8000
9,lin,锦绣御珑湾,兰山区中丘路与清河北路交界处（滨河板块）,住宅,6500
10,lin,颐兴园,河东区孝友路与桃源街交汇处东北角,住宅,5200
11,lin,大院北区,兰山区沂蒙路和银雀山路交汇东南（桃源大世界南）,住宅,6000
12,lin,中科印象,经济开发区海关路与长安路交汇处东南角,住宅,3800
13,lin,翡翠城,兰山区解放路与开源路(临西三路)交汇处西200米路南（中医院斜对过）,住宅,5600
14,lin,怡海国际新城,河东区解放东路与东兴路交汇处西北角,住宅,4200
15,lin,香港城小米公寓,兰山区蒙山大道与涑河南街交汇处,住宅,5000
16,lin,深莞城,罗庄区沂河路与沂州路交汇处向东100米路北,住宅,4500
17,lin,金达华府,北城新区白沙埠镇张南路与北外环交汇处北800米路西,住宅,3000
18,lin,宏宸欧缘,经济开发区临工路与昆明路交汇处南500米路东,住宅,3000
19,lin,德居一品,北城新区府前巷1号市政府正前五洲湖南艺术中心两侧,住宅,6800
20,lin,后园馨园,兰山区滨河路与育才路交汇处,住宅,5800
21,lin,华腾城市主场,罗庄区沂河路与蒙山大道交汇处西北角（临沂长途汽车南站对面）,住宅 商住,5500
22,lin,君悦兰亭,河东区东兴路与金雀山路交汇处以南300米路西,住宅,4300
23,lin,荣昌绿园,北城新区武汉路与孝河路西北角西行30米,住宅,4950
24,lin,皇山华府,经济开发区滨河东路中段皇山华府售楼处,住宅,3900
25,lin,金阳逸品,兰山区金雀山路与临西五路交汇西北,住宅,5700
26,lin,大成龙泽国际,罗庄区高新区新华路与科技大道交汇处西南角,住宅,4000
27,lin,皇山城,河东区滨河东路与皇山路交汇处东北角,住宅 别墅,4300
28,lin,金泰华府,兰山区金一路至金三路之间沂州路以东,住宅,6800
29,lin,华强领秀城,兰山区解放路与琅琊王路交汇东南处,住宅,12000
30,lin,林庄御园,兰山区蒙山大道与涑河北街交汇处东北角,住宅,5400
31,lin,名仕雅苑,经济开发区长安路与温州路交汇处西南角,住宅,3300
32,lin,浮来春公馆,北城新区北京路与沭河路交汇处南50米路东,住宅,5900
33,lin,滨江·中央华府,罗庄区中丘路与清河南路（金七路）交汇处西北角,住宅,5000
34,lin,五洲华府,北城新区府前街与智圣巷交汇处西南,住宅 别墅,7000
35,lin,书香门第,兰山区工业大道与双岭路交汇处北行500米路东,住宅,6500
36,lin,鲁商中心,北城新区广州路与汶河路交汇处西北角,商住,10000
37,lin,江泉国际,罗庄区湖北路与罗四路交汇南50米路东,住宅,4300
38,lin,嘉益香槟城,罗庄区金七路与祝丘路交汇处东100米路北,住宅 别墅,6600
39,lin,滨河观邸,兰山区滨河大道小埠东橡胶坝西,住宅,5700
40,lin,润蒙香樟园,兰山区西外环（临西十三路）与银雀山路交汇处东南角,住宅,3200
41,lin,环球丹桂园,北城新区北京路与府前路交汇处西南角,住宅,6800
42,lin,展恒怡和国际广场,罗庄区沂河路与沂州路交汇处西北角,住宅,4800
43,lin,华瑞新天地,苍山县兰陵路与育才路交汇处,住宅,8000
44,lin,翔宇三江领秀,河东区滨河东路与安居街交汇处西北角（解放路桥向北500米路东）,住宅,4500
45,lin,环球阳光城,河东区滨河东路与中昇大街交汇处,住宅,6300
46,lin,东正·颐锦园,经济开发区香港路与长安路交汇处西北角,住宅,3700
47,lin,凤凰水城,北城新区成都路与汶河路交汇处东北约50米,住宅,5800
48,lin,金域华府,北城新区南京路与温凉河路交汇处东北角,住宅,4500
49,lin,纽约上城,兰山区通达路与北园路交汇处西500米路北,住宅,5400
50,lin,万城绿洲广场,罗庄区罗四路77号（沂河路与通达南路交汇处南200米路西）,住宅,3980
51,lin,丽晶国际,兰山区解放路东段，邻近滨河大道,住宅,5000
52,lin,天基黄金水岸,兰山区滨河西路与银雀山路交汇处（人民公园北）,住宅,9500
53,lin,永恒华府,兰山区滨河西路与解放路交汇处西北角,住宅 商住,6100
54,lin,莱茵国际,经济开发区沂河东路与李公河路交汇南200米路西,住宅,2960
55,lin,旭洋城市风景,兰山区通达路与红旗路交汇处东南,住宅,6700
56,lin,东方壹品克拉国际广场,苍山县兰陵路与文峰路交汇处,住宅,3300
57,lin,中国铁建东来尚城,河东区滨河大道与金雀山路交汇处南行600米,住宅,5500
58,lin,河东岸,沂水县红城路7号,住宅,3800
59,lin,海润尚东国际,沂水县健康东路与东一环交汇处（原钢材市场）,住宅,3500
60,lin,正直花园,河东区人民大街与孝友路交汇处西南角,住宅,5100
61,lin,蓝钻庄园,北城新区沂蒙路与南京路（青年路）交汇处西南,住宅,5100
62,lin,冠亚星城,经济开发区滨河东路与沂河路交汇处东南,住宅,4000
63,lin,钓鱼一号院,罗庄区滨河大道与沂河路交汇处南1000米西侧,住宅,4200
64,lin,丰泽缇香府,罗庄区通达南路与双月园北路交汇东100米,住宅,4400
65,lin,澜泊湾生态城,经济开发区程梅线与华夏路交汇处北2公里（南邻临沂市动植物园）,住宅,5400
66,lin,贵和锦上,河东区东兴路与安居街交汇处东南角,住宅,5400
67,lin,福布斯湾,经济开发区滨河东路与临工路交汇东侧路北,别墅,8500
68,lin,宝德新领域,北城新区府左路与算圣路交汇处东南角,住宅,6200
69,lin,新筑璞园,北城新区兰陵路1号（世界雕塑公园西门对过）,住宅,7500
70,lin,沂蒙商城,蒙阴县西外环与新城西路交汇,住宅,3200
71,lin,金玉山阳光金泰,兰山区沂州路与清河北路交汇处西南,住宅,4300
72,lin,香缇郡,河东区滨河东路与桃源街交汇处东北角,住宅,4000
73,lin,盛世花城,河东区皇山路与顺和路交汇处东北角,住宅,4000
74,lin,藏龙居,兰山区通达路与后十街交汇处西200米路北,住宅,5800
75,lin,福泰御河湾,经济开发区沃尔沃路与长安路交汇西南角,住宅,3500
76,lin,柳溪美庐,北城新区南京路与柳青河东路交汇处东北角,别墅,6300
77,lin,东华都市阳光,经济开发区长安路与香港路交汇处西南角,住宅 商住,3800
78,lin,迪尚御园,经济开发区沃尔沃路与临工路交汇北行100米路东,住宅 商住,3400
79,lin,欧韵峰尚,北城新区沂蒙路与上海路交汇处东北角朗润大厦B座东侧,住宅,5500
80,lin,后园馨园彼岸,兰山区滨河路与育才路交汇,住宅 商住,5500
81,lin,卓新天悦城,经济开发区香港路与华夏路交汇往南200米,住宅,3200
82,lin,沂河·美域,罗庄区沂河路与滨河西路交汇南1000米路西,住宅,4550
83,lin,魅力之城,经济开发区沃尔沃路与沂河东路交汇处东北角,住宅,3500
84,lin,银河龙门花园,经济开发区滨河东路与临工路交汇处南侧,住宅,3500
85,lin,房源高第街,兰山区蒙山大道与成才路交汇处路西,住宅,5600
86,lin,鼎峰英伦花园,北城新区柳青河与书圣路交汇处东北角,别墅,15000
87,lin,御山河,经济开发区滨河东路皇山公园南侧,住宅 别墅,4500
88,lin,豪森丽都,兰山区通达路与砚池街交汇处东北角,住宅,6500
89,lin,元丰家园,经济开发区沂河路与香港路交汇处东400米路南（百易家装饰城对面）,住宅,3800
90,lin,东方帝景,郯城县沂河路与黑龙潭路交汇新县府南邻,住宅,4100
91,lin,天元国际,兰山区金雀山路与滨河大道交汇路西南角,住宅,6500
92,lin,中晟世纪城,罗庄区火炬路与双月园路交汇处西南角,住宅,2550
93,lin,怡景天鹅堡,罗庄区科技大道与湖北路交汇处西南角,住宅,3800
94,lin,荣盛锦绣外滩,河东区滨河东路与凤仪街交汇处东北角和东南角,住宅,4300
95,lin,久隆奥斯卡,兰山区红旗路与新华路交汇人民广场北邻,住宅,8000
96,lin,龙盛幸福里,兰山区临西八路与九路之间宏大路与水安路交汇,住宅,4800
97,lin,城市主人,北城新区马陵山路与北京路的交汇处东北角,住宅,6400
98,lin,瀧璟,北城新区临西五路高架与卧虎山路交汇西200米路北（祊河北岸）,住宅,4700
99,lin,金玉祥和,北城新区大青山路与天津路交汇处西北角,住宅,4600
100,lin,美多国际大厦,兰山区琅琊王路(临西七路)与前十街交汇处西北角,住宅,5300
101,lin,滨河阳光,北城新区兰陵路与孝圣路的交汇处东南角（新市政中心南侧三河口片区）,住宅,5800
102,lin,伊丽莎白东岸,经济开发区滨河大道和皇山路交汇处东南侧,住宅 别墅,4600
103,lin,盛德城市广场,经济开发区沂河东路与温州路交汇处西南角，东邻鲁信国际会展中心,住宅 商住,3700
104,lin,金泰华城,兰山区临西八路与涑河北街交汇处西北角,住宅,5000
105,lin,永尚润城,兰山区临西六路与涑河南街交汇处东南角,住宅,4500
106,lin,荣盛华府,兰山区滨河大道与临西六路交汇处向西100米,住宅,6000
107,lin,汇通天下,兰山区蒙山大道和北园路交汇处东北角,别墅,5500
108,lin,浙景国际玫瑰园,经济开发区沂河东路与沃尔沃路交汇处西北角,住宅,3500
109,lin,新港龙庭,兰山区祝丘路与金源路交汇处向北100米,住宅,6000
110,lin,沂龙湾龙园,北城新区北京路与春江路交汇南行100米路西,别墅,12000
111,lin,清华苑,经济开发区临工路与沃尔沃路交汇处西南角（新一中对面）,住宅,3400
112,lin,颐景恒泰,兰山区陶然路（原金雀山五路）与祝丘路交汇处南200米路西,住宅,5400
113,lin,十二星城,北城新区成都路和北京路交汇西北角,住宅,4800
114,lin,金麟嘉园,罗庄区湖北路与火炬路交汇东南角,住宅,3700
115,lin,皇山花园,经济开发区皇山路与四平路交汇处西南角,住宅,4000
116,lin,鸿德澜汀郡,北城新区北京路与秀水路交汇处东北角,住宅,4600
117,lin,贵和美景华庭,罗庄区通达南路（罗四路）与金九路交汇处南500米路东,住宅,4350
118,lin,城建锦绣城,兰山区陶然路与中丘路交汇处南200米路西,住宅,5600
119,lin,永富御景城,罗庄区俄黄路与双月园路交汇处西南角,住宅,3400
120,lin,涑河国际城,兰山区涑河北街与临西六路（王庄路）交汇处路北，东西两侧,住宅,5200
121,lin,慧谷五期·星岸,河东区滨河东路与人民大街交汇处向东100米路北,住宅 别墅,4900
122,lin,威特天元广场,兰山区金雀山路与滨河大道交汇处西北,住宅,8500
123,lin,金猴北城名居,北城新区沂蒙路与天津路交汇处东南角。,住宅,5800
124,lin,东方新天地,兰山区沂蒙路与红旗路交汇人民广场东,住宅,14000
125,lin,北园佳园,兰山区沂蒙路与北园路交汇西150米路北,住宅,6000
126,lin,爱琴海,北城新区成都路与济南路的交汇处西北角。,住宅,6600
127,lin,皇山别墅,经济开发区滨河东路与长安路交汇处路东300米,别墅,5500
128,lin,宝丽阳光国际,罗庄区科技大道与双月湖路交汇处西南角（高新区政府大楼北侧）,住宅,3800
129,lin,恒弘城,兰山区双岭路与古城路交汇西南处,住宅,4200
130,lin,沁园庭,经济开发区临沂市经济开发区朝阳路19号,住宅,3800
131,lin,东方御景,郯城县北环路与滨河路交汇处(新政务中心东100米),住宅,3600
132,lin,汀香郡,北城新区成都路与黄白河路西北角,住宅,6200
133,lin,日月城,经济开发区沂河路191号(滨河东路与沂河东路交汇处东北角),住宅,4100
134,lin,银星华府,郯城县富民路16号（新美澳学校对过）。,住宅,3500
135,lin,和润香堤,北城新区堤下路与成都路的交汇处西北角,别墅,5200
136,lin,观蘭国际,苍山县五叉路口南100米路西（宝庆购物广场南面）,住宅,3300
137,lin,荣盛花语馨苑,北城新区马陵山路(原通达路)与武汉路(原三和七街)交汇西南约100米,住宅,8000
138,lin,爱伦坡,北城新区通达路中段与沂蒙七路交汇处向西50米,别墅,11000
139,lin,华苑中天,兰山区北园路与东岳庙街交汇处西南角,住宅,5600
140,lin,伊丽莎白公元,经济开发区滨河大道和长安路交汇处往北200米路东,住宅,4200
141,lin,开元美郡,罗庄区双月湖路与罗六路交汇往北60米路西,住宅,3800
142,lin,龙门豪庭,费县和平路与自由路交汇处,住宅,7500
143,lin,金域国际,罗庄区湖西路（罗七路）与双月园路交汇处东南角,住宅,4100
144,lin,龙凤花园,北城新区北京路与大青山路交汇处东北角,住宅,5300
145,lin,荣盛会展花语,兰山区蒙山大道与育才路交汇处东南角,住宅,5500
146,lin,万泰铂金湾,北城新区济南路与文峰路交汇处沂龙湾西600米,住宅,5700
147,lin,沂河锦城,经济开发区南外环（刘道口桥）与滨河东路交汇处路东,住宅,4500
148,lin,智圣（国际）温泉城,沂南县朝阳路与北外环交汇处东北角,住宅,3700
149,lin,华前城市广场,兰山区通达路与桃园路交汇处西南角,住宅,6300
150,lin,高尔夫庄园,兰山区工业大道和滨河大道西300米,住宅,6300
151,lin,诚德盛世原著,北城新区武汉路与苍山路交汇处（人民医院东临）东北角,住宅,4800
152,lin,豪森名邸,北城新区广州路与成都路的交汇处东北角,住宅,5200
153,lin,龙河湾,兰山区祝丘路与清河北路交汇处东北,住宅,5600
154,lin,天天公园里,兰山区陶然路和商城路交汇处路南,住宅,5200
155,lin,湛园,兰山区聚才八路与滨河大道交汇处西北角,住宅,5500
156,lin,豪森国际广场,河东区人民大街与东兴路交汇处以东200米,住宅,4350
157,lin,意林国际公园,北城新区蒙山北路与祊河路交汇处东北角,住宅,5100
158,lin,沂河一英里,河东区东兴路和巩村路交汇西北角,住宅,4300
159,lin,新东关,兰山区沂州路与解放路交汇处东北角,住宅,6600
160,lin,银丰雅园,北城新区沂蒙路与武汉路交汇处东行100米路北,住宅 商住,5500
161,lin,金泰舒格蘭,北城新区南京路与沭河路交汇西南角,住宅,5400
162,lin,金信融城,北城新区沂蒙路与成都路交汇处西北角,住宅,5200
163,lin,上东国际公馆,河东区滨河东路与凤凰大街交汇处东北角,住宅,3518
164,lin,淮海御景湾,兰山区滨河大道与临西八路交汇处以西700米,住宅 别墅,4500
