,城市,小区名,地址,住宅类型,均价
0,nj,滟紫台,江宁区将军大道韩府路18号,普通住宅,29000
1,nj,涟城,建邺区怡康街与西城路交汇处,普通住宅,26000
2,nj,鲁能公馆,建邺螺塘街与规划道路交汇处,普通住宅,35000
3,nj,首创立方,建邺地铁二号线天迈广场油坊桥站,商住两用,21000
4,nj,中南锦苑,雨花软件大道与国有空地交汇,普通住宅,29500
5,nj,五矿崇文金城,"建邺区河西南部高庙路以北,吴侯街158号",普通住宅,35000
6,nj,骋望云邸,玄武区鹤鸣路68号,普通住宅,23000
7,nj,菲呢克斯,秦淮区公园路159号（龙蟠中路与常府路交汇处）,普通住宅,32000
8,nj,金奥费尔蒙公寓,建邺江东中路333号,普通住宅,55000
9,nj,雅居乐滨江国际,浦口区江浦街道天浦路99号,普通住宅,23200
10,nj,东方万汇城,江浦街道浦口大道路28号,商住两用,12500
11,nj,爱涛尚书云邸,江宁区东山街道文靖路599号,普通住宅,25000
12,nj,金都汇广场,大桥北路西侧33号（弘阳广场正对面） [,普通住宅,9600
13,nj,升龙汇金中心,建邺区江山大街以南，江东南路与恒河路间,商住两用,26000
14,nj,紫荆国际公寓,紫荆花路与卡子门大街路口，宜家家居斜对面，紧邻仁恒翠竹园,商住两用,20000
15,nj,世茂招商语山,金马路与石狮路交汇处,普通住宅,28000
16,nj,金浦御龙湾,和燕路390号（临近晓庄加气站、对面即大地伊丽雅特湾）,普通住宅,26000
17,nj,金浦翡翠谷,凤台南路与沪蓉高速交汇处（地铁小行站南300米）,普通住宅,26000
18,nj,涵碧楼,建邺汉中门大街与扬子江大道交汇处,商住两用,38000
19,nj,绿地缤纷广场,中央北路与幕府东路交汇处,商住两用,15500
20,nj,招商1872,栖霞区迈皋桥街道经五路,普通住宅,24500
21,nj,长发都市诸公,雨花南路5号（共青团路与雨花南路交汇处，雨花台南大门西侧）,普通住宅,45000
22,nj,玄武湖金茂广场御景华府,鼓楼区中央路201号,普通住宅,50000
23,nj,雨润国际广场,建邺区江东中路235号，梦都大街与江东中路交汇处南侧,普通住宅,29000
24,nj,大发融悦,玄武区双拜岗路,普通住宅,28000
25,nj,南京碧桂园,牛首大道庆兴路8号,普通住宅,15300
