,城市,小区名,地址,住宅类型,均价
0,nt,海安雨润广场,市中心中坝中路与曙光路交汇处（人民医院正南）,住宅,6600
1,nt,欧尚中心城,掘港镇通海路9号,住宅,5800
2,nt,五洲御锦城,崇川区钟秀中路北、北濠桥路东（北城大桥东南侧）,住宅,12000
3,nt,森松花园,如皋港区经二路东侧公安局北侧,住宅,3200
4,nt,昌和时代,掘港镇人民路跟南市路交汇处,住宅,6600
5,nt,景诚中央公园,如皋仁寿路与通扬路交汇处,住宅,4300
6,nt,丰润嘉园,丰利镇丰利镇文园路1号（新丰利小学对面）,住宅,3580
7,nt,苏建学府雅居,崇川区崇川路8号,住宅,18000
8,nt,金石蓝郡,城西区海安县长江西路30号,住宅,5500
9,nt,德诚翰景园,崇川区太平路西侧（万通城与文华名邸之间）,住宅,6200
10,nt,金黄海,临江镇海门滨海新区上海路东、发展大道南侧、南京路西侧,住宅 商住,7100
11,nt,东大街如意佳园,市中心海安高级中学东侧,住宅,5500
12,nt,金色城邦,通州区金通路666号,住宅,6500
13,nt,海门中南世纪锦城,海门街道张謇大道西南海路南,住宅 别墅 商住,14000
14,nt,雨润·星雨华府,掘港镇珠江路9号,住宅,5500
15,nt,鑫湖国贸中心,开发区能达CBD长虹路6号（携程呼叫中心北侧、复兴路口）,住宅,3080
16,nt,地纬东洲半岛,滨江街道长江路39号靠近北海路,住宅 别墅,7100
17,nt,金科城,开发区苏通科技产业园沿江路与苏通路交汇处,住宅 别墅,5500
18,nt,华新一品·御元,城南区海安县中坝南路109号,住宅,6100
19,nt,吉宝·澜岸铭郡,开发区上海路10号,别墅,13000
20,nt,五洲幸福湾,通州区锡通科技产业园336省道与银杏路交汇处,住宅,3300
21,nt,晨朗·东方花园,城东区黄海大道2号(通榆路口),住宅,5800
22,nt,如皋中南世纪城,如皋惠政路与万寿路交汇处,住宅,5400
23,nt,藏珑,崇川区青年中路29号（中国银行正对面100米）,住宅,25000
24,nt,金水湾花园,开发区山水一路与丽江路交界处（瑞慈医院南500米）,住宅 别墅,10000
25,nt,如皋雨润广场,如皋海阳路与惠政路交汇处（新市政府对面）,住宅,6000
26,nt,海湾壹号,滨江街道港新区发展大道1号,住宅 别墅,4500
27,nt,御墅园,如皋益寿南路186号（苏中国际家具城对面）,别墅,6000
28,nt,中邦上海城,启东人民路、滨江大道交界处（路政大队对面）,住宅,7700
29,nt,苏建花园城,崇川区人民东路508号（天虹花园东侧约200米）,住宅,13000
30,nt,龙信广场,滨江街道长江路与南海路交接处（实验学校南侧）,住宅,11500
31,nt,帝冠城山隐,崇川区南通市城山路88号,别墅,30000
32,nt,怡景湾国际花园,黄海大道西86号,别墅,5500
33,nt,御景园,海门街道滨江街道东江路88号（证大游乐场向南100米）,别墅,6500
34,nt,名都豪庭,通州区中国家纺城华欣路志浩村路口,住宅,5500
35,nt,汇富广场,崇川区人民西路42号（市一中西200米）,住宅,8000
36,nt,盛荟,崇川区青年中路69号（华通大酒店正对面100米）,住宅,13500
37,nt,金和家园,通州区金桥路北侧，世纪大道东侧（粤海丽辉大酒店斜对面）,住宅,5000
38,nt,海洲水韵天城,市中心人民西路92号（三里闸河东),住宅,5500
39,nt,证大国际城,滨江街道滨江新城通江路与大达路交汇处,住宅 别墅,5200
40,nt,未来海岸,如皋港经济开发区丽泽路89号（豪天花苑西侧约500米）,住宅,3950
41,nt,海门科技创业园,滨江街道南海路瑞江路口,商住,9500
42,nt,中国东部全球家具采购中心,经济技术开发区东部大道88号,商住,6000
43,nt,顺发御园,开发区常青路6号,别墅,13000
44,nt,民生·银河湾,掘港镇青园北路8号,住宅,5900
45,nt,上海花园,如皋城北街道中山西路999号,住宅,3300
46,nt,檀墅领馆,崇川区姚港路20号（原华强公司及周边）,住宅,15000
47,nt,金通家园,通州区金通公路288号（老通掘公路与杏园路交界处）,住宅 别墅,6500
48,nt,证大清华园,海门街道港大达路2777号（证大国际城东100米）,住宅,5200
49,nt,京扬数码广场,崇川区人民东路699号,商住,12000
50,nt,水韵名居,掘港镇武夷山路2号,住宅,5400
51,nt,南通碧桂园,开发区新开北路与诚兴路交接处（星湖101北3km）,住宅 别墅,6500
52,nt,海悦国际,海门街道人民西路海兴路路口,住宅 商住,7500
53,nt,江中世纪城,如皋万寿路66号紧邻如皋中学,住宅,6500
54,nt,7星首府,城东区黄海大道、东湖路交界口,住宅,5500
55,nt,锦湖绿苑,长沙镇洋口港开发区管委会西侧,住宅,3700
56,nt,浅水湾·名门世家,掘港镇珠江路（县人民法院东侧）,住宅,6200
57,nt,港汇国际领寓,掘港镇港汇路,住宅,3980
58,nt,昌和·水岸花城,掘港镇珠江路与朝阳路口,住宅,5200
59,nt,海逸国际,长沙镇洋口港开发区管委会南侧,住宅 别墅,3900
60,nt,德禾·御景首府,掘港镇泰山路西侧、金沙江路南侧（泰山路55号）,住宅 别墅,4888
61,nt,崇川星光域项目,崇川区通吕运河北静海大桥（1.75号桥）东,住宅,13500
62,nt,南通运杰龙馨园,崇川区人民路与园林路的交汇处,住宅,11500
63,nt,金茂国际,如皋中山西路1号（建设银行东侧2楼）,住宅,6000
64,nt,友谊嘉御龙庭,港闸区永怡路与友谊路交汇处（北城中学西约200米）,住宅,8000
65,nt,凯顺瑞城,城南区永安南路与东海大道交汇处,住宅 别墅,4000
