,城市,小区名,地址,住宅类型,均价
0,qd,金日唐郡,崇阳路152号,普通住宅,8000
1,qd,青岛印象湾,文昌路697号,普通住宅,7600
2,qd,中联依山伴城,株洲路96号,普通住宅,12000
3,qd,金色港湾,长江东路167号,普通住宅,9000
4,qd,金秋泰和郡,玉虹路16号,别墅,381
5,qd,绿岛印象欣苑,太行山一支路6号,普通住宅,8300
6,qd,鲁德海德堡,松岭路66号,普通住宅,25750
7,qd,北京城建龙樾湾,九水路南、习水路北、合川路东,普通住宅,11000
8,qd,康大山语海,唐岛湾朝阳路211号,普通住宅,11000
9,qd,华地仟佰墅,白沙河与黑龙江中路交汇处东500米,别墅,150
10,qd,温莎郡,瑞海北路19号,普通住宅,12000
11,qd,泰成玲珑郡,台柳路306号、310号,普通住宅,12000
12,qd,新城香溢紫郡,金水路与汉川路交汇处,普通住宅,10000
13,qd,盛世华章,珠江路1017号,普通住宅,11000
14,qd,康大风和丽景,长江西路与江山南路交汇处,普通住宅,9500
15,qd,颐海蓝湾,连江路939号（长江东路与连江路交汇处）,普通住宅,9500
16,qd,大溪谷,高山路1997号（小珠山大溪谷景区内）,别墅,300
17,qd,鑫江水青花园,王沙路60号,普通住宅,6500
18,qd,华融蓝海洋望海,海岸路2号（六十六中原铁中对面）,普通住宅,12000
19,qd,滨海1号,瑞昌路201号,普通住宅,10800
20,qd,中海蓝庭,海岸路22号乙,普通住宅,12500
21,qd,中泰信上景,金华路33号,普通住宅,12000
22,qd,米罗湾,惠水路518号,普通住宅,10000
23,qd,福瀛天麓湖,长江东路439号,普通住宅,14000
24,qd,鑫江水青花都,王沙路2号(黑龙江中路与王沙路交汇处),普通住宅,6900
25,qd,启迪协信青岛科技城,舞阳路7号,普通住宅,10000
26,qd,海尔海逸公馆,辽阳东路77号,普通住宅,22000
27,qd,晓港名城领海,小港一路24号,普通住宅,15000
28,qd,海尔悦湖兰庭,香江路735号,普通住宅,7700
29,qd,鑫江水青木华四期,仙山东路28-2号,普通住宅,8000
30,qd,蔚蓝创新天地,荟城路506号,普通住宅,6500
31,qd,正商红枫谷,南昌路48号,普通住宅,12500
32,qd,德馨筑家,台柳路468号（台柳路与开平路交叉口西北）,普通住宅,11600
33,qd,山海苑,墨香路168号,普通住宅,8500
34,qd,海棠墅,漳江支路107号,普通住宅,8000
35,qd,大都汇公元,九江路22号,普通住宅,11000
36,qd,中海临安府,杭州路28号,普通住宅,12500
37,qd,蓝泰海乐府,瑞海北路7号,普通住宅,11000
38,qd,保利海上罗兰,滨海大道1399号,普通住宅,8000
39,qd,保利香雪山,文昌路637号,普通住宅,8700
40,qd,逸景湾,东港路6号,普通住宅,10700
41,qd,海尔鼎世华府（C区）,青山路706号,普通住宅,11000
42,qd,银盛泰泰馨苑,文阳路600号,普通住宅,8200
43,qd,建邦听海,东岳东路4166号,普通住宅,8500
44,qd,金溪麓园,金水路117号,普通住宅,14750
45,qd,奥润馨海国际城,泰山东路88号（滨海大道北侧、海水浴场斜对面）,普通住宅,8500
46,qd,金河丽城,人民路527乙（人民路与灵山路交汇处东侧）,普通住宅,7500
47,qd,瀚林园,宁海路67号,普通住宅,8000
48,qd,盛世美邦,辽阳西路219号,普通住宅,15000
49,qd,深港城,嘉陵江路与江山路交汇处（嘉陵江路以南，江山路以东）,普通住宅,8600
50,qd,鑫源向上,台柳路206号,普通住宅,13700
51,qd,星河湾,白沙河星河湾生态商务岛,普通住宅,16000
52,qd,青岛印象山,劲松三路22号,普通住宅,20500
53,qd,晶城,五台山路668号,普通住宅,9000
54,qd,青岛碧桂园,宏通路9号,普通住宅,5600
55,qd,越秀星汇蓝湾,晋中路79号（沧安路与安顺路交汇处）,普通住宅,10000
56,qd,新都心苑,重庆南路249号,普通住宅,11000
57,qd,龙湖锦璘原著,王沙路36号,别墅,10500
58,qd,天安数码城檀府,春阳路88号,普通住宅,23500
59,qd,万豪风景,长城路123号,普通住宅,8700
60,qd,万科玫瑰里,阜城路400号,别墅,400
61,qd,青特赫山,荟城路667号(白云山公园南侧),别墅,8100
62,qd,银河书香郡,长江路与衡山路交汇处（日照银行东北侧）,普通住宅,9500
63,qd,东方华庭,月亮湾畔海滨大道与海港路交汇处,普通住宅,5600
64,qd,万德德盛苑,珠山南路11号,普通住宅,6500
65,qd,明珠苑,泰山路777号,普通住宅,398
66,qd,100福国际山庄,铁骑山路10号,别墅,160
67,qd,世茂意墅湾,华贯路577号,别墅,900
68,qd,千禧国际村二期,铁骑山路78号,别墅,160
69,qd,鲁商泰晤士小镇,百福路167号,普通住宅,6000
70,qd,青特花溪地,双元路12-1号,普通住宅,6000
71,qd,保利香槟国际,瑞海北路17号,普通住宅,11000
72,qd,金石永安府,永安路21号,普通住宅,6500
73,qd,万海惜福时光,王沙路995号,普通住宅,6600
74,qd,龙湖悠山郡,青威路689号,普通住宅,8000
75,qd,世茂公园美地,华贯路603-666号,普通住宅,7000
76,qd,红状元小区,长江东路217号,普通住宅,13800
77,qd,和达璟城,宾川路88号,普通住宅,9500
78,qd,时代城翡翠公元,黑龙江中路568号,普通住宅,10000
79,qd,银盛泰德郡,铁骑山路19号,别墅,180
80,qd,科达天意华苑,泰山东路3888号,别墅,9800
81,qd,海尔博悦兰庭,东川路8号,普通住宅,5000
82,qd,银盛泰书香泮城,西康路1号（人民路珠山小学正门对面）,普通住宅,11600
83,qd,山河城三期,惠水路618号,普通住宅,6600
84,qd,帝邦卓郡,龙潭山路88号,普通住宅,7500
85,qd,中欧国际城,华东路77号,普通住宅,8200
86,qd,居之乐之,长城南路88号,普通住宅,16000
87,qd,昆泉天籁村,灵山卫朝阳南路68号,普通住宅,7500
88,qd,卓越皇后道,金水路与宾川路交汇处,普通住宅,9500
89,qd,九洲佳园,青云山路950号,普通住宅,8800
90,qd,港城华府,泊里镇贡口路455号,普通住宅,4900
91,qd,海富海,青云山路222号（青云山路与漓江西路交汇处）,普通住宅,10000
92,qd,衡山舒苑,衡山路317号（衡山路与东江路交汇处）,普通住宅,9000
93,qd,金日正阳公馆,和阳路156号,普通住宅,10000
94,qd,我家阳光1号,大珠山中路1889号,普通住宅,5800
95,qd,江山丽城,江山南路350号,普通住宅,8500
96,qd,优山美墅,天水路2号,别墅,198
97,qd,天一锦城,凤凰山路1767号（泰山路与青岛路交汇处北100米）,普通住宅,6500
98,qd,绿城理想之城诚园西区,延川路116号,普通住宅,12000
99,qd,青岛印象畔,同安路以北、劲松五路以东,普通住宅,23000
100,qd,中交阳光屿岸,银河路326号,普通住宅,6300
101,qd,K2海棠湾,海王路1699号（维客购物中心南侧）,别墅,15000
102,qd,鸿泰锦园,开平路28号,普通住宅,11000
103,qd,中南世纪城,重庆中路903号,普通住宅,8800
104,qd,佳兆业水岸新都,王沙路358号,普通住宅,6500
105,qd,华通唐岛七星,太行山路8号,普通住宅,12000
106,qd,青实樱花郡,同安路57号,普通住宅,18000
107,qd,远洋公馆,燕儿岛路23号,普通住宅,33000
108,qd,中城嘉汇,青田路19号,普通住宅,25000
109,qd,青特赫山,荟城路667号(白云山公园南侧),普通住宅,7000
110,qd,世茂诺沙湾,海西东十三路1号,普通住宅,11000
111,qd,金域府邸,金华路56号、60号,普通住宅,12000
112,qd,海信依云小镇,崂山路25号,别墅,11500
113,qd,绿城郁金香岸,金川路1号,普通住宅,160
114,qd,青岛碧桂园,宏通路9号,别墅,6300
115,qd,水岸人家,广盛路87号,普通住宅,7600
116,qd,云龙港湾,滨海大道与阅武路交汇处,普通住宅,11000
117,qd,高投高新嘉园,竹园路66号,普通住宅,4500
118,qd,帝邦帝城,海西东路225号,普通住宅,7500
119,qd,御景尚都二期,正阳路77号,普通住宅,9000
120,qd,海滨御苑,黄河中路107-1(黄河中路与奋进路交汇处),普通住宅,6300
121,qd,康大鑫都汇府,学院路277号,普通住宅,9000
122,qd,泽润世家公馆,太行山路6号（滨海大道和太行山路交汇处）,普通住宅,12400
123,qd,金隅和府,镇江路12号（延吉路与镇江路交会处）,普通住宅,22000
124,qd,保利林语镜,嘉陵江东路和大涧山路交叉口东侧,普通住宅,12000
125,qd,秀水山庄,重庆南路25号甲,普通住宅,13000
126,qd,龍城御苑,漓江西路989号,普通住宅,11000
127,qd,胜通海岸,瑞海北路37号,普通住宅,12000
128,qd,海信天悦,东海东路5号,普通住宅,45000
129,qd,鑫源三个院子,铁骑山路165号,普通住宅,5300
130,qd,银盛泰德郡,铁骑山路19号,普通住宅,5500
131,qd,隆海海之韵,海滨十路377号（滨海大道和海滨十路交汇处以西）,普通住宅,8000
132,qd,星河嘉园,黄河中路277号,普通住宅,6300
133,qd,中广宜景湾,绍兴路78号,普通住宅,18000
134,qd,映月公馆,九水路189号,普通住宅,14000
135,qd,正商蓝海港湾,双元路20-3号,普通住宅,4700
136,qd,千禧银杏苑,峨眉山路1388号,普通住宅,7600
137,qd,山水嘉园,黑龙江中路22号,普通住宅,8000
138,qd,秀兰禧悦都,瑞安路20号,普通住宅,11000
139,qd,中铁华胥美邦,湘潭路9号（黑龙江路与湘潭路交汇处）,普通住宅,7000
140,qd,世家御园,龙海路777号,别墅,143
141,qd,天一畔城,泰山路719号,普通住宅,5200
142,qd,青岛印象金沙滩,嘉陵江东路1号,普通住宅,16000
143,qd,福根美林,兴阳路16号,普通住宅,7400
144,qd,龙泽书苑,九水东路605号,普通住宅,12000
