,城市,小区名,地址,住宅类型,均价
0,sh,金融街静安中心,万航渡路736号,普通住宅,110000
1,sh,静安府,平陆路999号（近汶水路）,普通住宅,70000
2,sh,国浩长风汇都,泸定路568号（近同普路）,普通住宅,87500
3,sh,万科翡翠名都,古北路1700弄,普通住宅,59000
4,sh,绿洲康城亲水湾,康桥路1388号,普通住宅,13000
5,sh,棕榈滩海景城,海湾旅游区金汇塘东路1799弄(近海草路),普通住宅,34000
6,sh,嘉宝梦之缘景庭,云屏路1051号（宝塔路与云屏路交汇口）,普通住宅,16000
7,sh,嘉隆国际广场,汇源路288弄,商住两用,28000
8,sh,万科安亭新镇,安勇路20弄,普通住宅,85000
9,sh,宝山卓越时代广场,共和新路呼兰西路的西南角,商住两用,41000
10,sh,朗诗未来街区,北行路555弄（浦星公路大叶公路口向西至金碧路）,普通住宅,80000
11,sh,中福浦江汇,海潮路133弄,普通住宅,37000
12,sh,象屿上海年华,陈春路明华路口,普通住宅,33500
13,sh,恒大御景湾,阿克苏南路与合作南路交汇处,普通住宅,28500
14,sh,路劲上海派,荣轩路60弄,普通住宅,33000
15,sh,金辉天鹅湾,南桥运河北路高洲路交汇处,普通住宅,53
16,sh,水都南岸一期MOMA别墅,朱家角镇康园路399弄270号（近朱枫公路）,商住两用,33000
17,sh,国贸天悦佘山,沉塔路勋业路交汇处,普通住宅,40000
18,sh,东方豪园,马陆镇宝安公路3518弄,普通住宅,21000
19,sh,首创旭辉城,首创旭辉城（公寓）,普通住宅,120000
20,sh,海珀黄浦,南车站路169弄（南车站路与国货路交汇处）,普通住宅,85000
21,sh,绿洲雅宾利花园三期,中兴路699弄,普通住宅,32000
22,sh,同济东时区,施新路施湾三路,普通住宅,18000
23,sh,浦江意优,恒南路1111弄（近江月路）,商住两用,30000
24,sh,瑞凯丽庭,嘉戬公路339号,普通住宅,20000
25,sh,紫竹半岛,东川路333弄,普通住宅,18500
26,sh,泰禾红御,恒高路83弄（近高境路）,普通住宅,70000
27,sh,骏丰玲珑坊,康丰路33号,普通住宅,36000
28,sh,上坤旭辉墅（别墅）,新农河路500弄,别墅,480
29,sh,大名城名郡,安亭镇秦安路3号,普通住宅,25000
30,sh,中建锦绣天地,徐泾镇蟠中东路1899号,普通住宅,32000
31,sh,汤臣臻园,南桥新城望园南路2391号1楼（近泽丰路）,普通住宅,30000
32,sh,天和前滩时代,万顺路2968弄,普通住宅,27000
33,sh,恒大佘山首府,勋业东路300弄,普通住宅,28000
34,sh,星湖柒号（商住）,浩翔路155号,商住两用,23000
35,sh,绿洲古猗新苑（二期）,南翔沪宜公路325号,普通住宅,30000
36,sh,中粮南桥半岛,贤政路333弄(近解放东路),普通住宅,95000
37,sh,日月光中心伯爵居,瑞金二路411号（近泰康路）,商住两用,23000
38,sh,香溢花城,石泉东路180号(近光新路),商住两用,55000
39,sh,旭辉安贝尔花园,车墩镇影振路299弄,普通住宅,28000
40,sh,浦发罗兰翡丽,唐龙路华东路路口,普通住宅,34000
41,sh,珠江国际中心悦公馆,沪青平公路2787号,商住两用,37500
42,sh,安高东方御府,阿克苏南路与崇文路交叉口（11号线马陆站往东100米）,普通住宅,17000
43,sh,吉宝季景铭郡,南翔镇古猗园南路355弄,普通住宅,31000
44,sh,富绅时代公馆,漕盈路盈港路路口,普通住宅,62000
45,sh,城开珑庭,兴南路396号,普通住宅,95000
46,sh,尚浦名邸,江湾城路88弄30号（闸殷路与殷高东路交汇处）,普通住宅,116000
47,sh,翡丽甲第,长阳路666号,普通住宅,50000
48,sh,淡水湾花园（二期）,马当路572号（近徐家汇路）,普通住宅,19000
49,sh,虹桥正荣府,联民路100弄,普通住宅,1045
50,sh,通用国际,南翔镇槎溪路865号,商住两用,30000
51,sh,贝尚湾溪谷墅,沪亭北路338弄,别墅,20000
52,sh,英庭名墅,徐泾镇诸光路228弄,别墅,1300
53,sh,日月光伯爵公馆,平城路1101号,商住两用,23000
54,sh,虹桥融景别墅,沪青平公路1638号（近谢卫路）,别墅,1300
55,sh,金臣汇,金光路801弄金臣别墅会所内,普通住宅,54000
56,sh,海上湾,朱家角镇绿舟路228号,别墅,750
57,sh,星纪元,高科东路500弄,商住两用,40000
58,sh,华发四季,军民公路勤政路路口,普通住宅,62000
59,sh,中粮天悦壹号,曲阜路966弄（近西藏北路路口）,普通住宅,120000
60,sh,尚海湾豪庭（二期）,凯滨路18弄4号,普通住宅,130000
61,sh,东郊紫园,申江路7171弄1号,别墅,1800
62,sh,嘉天汇御苑,新闸路1999弄,普通住宅,130000
63,sh,大宁金茂府,彭江路399弄（近平型关路）,普通住宅,95000
64,sh,中建大公馆,江湾城路899号（近国秀路）,别墅,15000
65,sh,西上海御庭（商住）,曹安公路4908弄,商住两用,1600
66,sh,御涛园,茜昆路518弄,别墅,21000
67,sh,天和尚上海,大叶公路6288弄,普通住宅,25000
68,sh,融创外滩188,东余杭路333号,普通住宅,29000
69,sh,智慧城,花桥镇花安路483号,商住两用,12500
70,sh,御上海青橙,谷阳北路2533号（梅家浜路交汇处）,商住两用,23000
71,sh,万达茂公馆,淀山湖大道851号,普通住宅,22500
72,sh,水都南岸（商住）,朱家角镇康园路399弄,商住两用,15500
73,sh,中鹰黑森林,真华路399号,普通住宅,90000
74,sh,上海捷克住宅小区别墅,徐泾联民路88弄（近叶联路）,别墅,880
75,sh,金臣别墅,金光路801弄金臣别墅会所内,别墅,5500
76,sh,夏都融庭,高泾路1068弄,别墅,2700
77,sh,新虹桥首府别墅,九杜路939号（近涞坊路）,别墅,1300
78,sh,市北祥腾麓源,永隆路980弄,别墅,210
79,sh,安墁西郊,徐南路678弄,别墅,2800
80,sh,湖畔天下（别墅）,南翔芳仁路68号（近瑞林路）,别墅,105000
81,sh,宛平88公寓,宛平南路88号,普通住宅,45000
82,sh,梵克雅堡（商住）,佳京路465号,商住两用,110000
83,sh,合生广富汇（别墅）,银泽路3188弄,别墅,16000
84,sh,南京西路公馆,南京西路2068号（近镇宁路）,普通住宅,32000
85,sh,佳源名人公馆,兰博路3069号（近邮电路）,普通住宅,60000
86,sh,乐非天地,杨高北路528号,商住两用,30000
87,sh,融创外滩188（商住）,东余杭路333号,商住两用,70000
88,sh,中信君廷,宛平南路1188号,普通住宅,95000
89,sh,华府天地睿园,斜土东路68号,普通住宅,150000
90,sh,凯德茂名公馆,茂名南路9弄(近长乐路),普通住宅,170000
91,sh,华丽家族汇景天地,"瞿溪路968弄,中山南一路737弄",商住两用,48000
92,sh,华润外滩九里,中山南路460号,普通住宅,120000
93,sh,绿地璀璨天城,富国路355弄（近华宁路）,普通住宅,33000
94,sh,同润菲诗艾伦,泗泾镇古楼路1198号,普通住宅,21000
95,sh,汇锦城,沪南公路7199弄,普通住宅,16000
96,sh,蓝湖湾,永隆沙通江路,普通住宅,7500
97,sh,淮海名邸,安顺路58弄,普通住宅,130000
98,sh,绿岛江湾城,大连路1629号（近四平路口）,普通住宅,88000
99,sh,盘古天地,区云屏路1188号,普通住宅,58000
100,sh,荣乐水岸,荣乐西路106弄（近玉树北路）,普通住宅,45000
101,sh,建邦16区二期,天宝路488号,普通住宅,600
102,sh,佳兆业城市广场,顺宁路501弄,普通住宅,20000
103,sh,中铁逸都,华青路与公园东路交叉口（华青路往北）,普通住宅,35000
104,sh,常发香城湾,国际商务城绿地大道1333号,普通住宅,12500
105,sh,东方鸿璟,航亭环路399弄,普通住宅,30000
106,sh,乐活天地四维尔时代广场,北青公路10092号,商住两用,13000
107,sh,新城香溢都荟（商住）,回城南路930弄,商住两用,14000
108,sh,绿城兰园,平阳河路555弄,普通住宅,37000
109,sh,名都古北,古北路1700弄,普通住宅,90000
110,sh,保利One56,浦明路868弄,商住两用,135000
111,sh,首创禧悦,淀山湖大道丁家港路路口（万达茂西侧）,普通住宅,25500
112,sh,华侨城苏河湾（住宅）,山西北路88弄,普通住宅,190000
113,sh,西郊半岛名苑,华新镇新府中路1331弄,普通住宅,23000
114,sh,仁恒东郊花园,唐龙路1399号,普通住宅,65000
115,sh,虹桥宝龙城,新府中路1560号,普通住宅,17000
116,sh,建发玖珑湾,泗宝路横港公路交叉口,普通住宅,39000
117,sh,凤凰景苑,景谷中路58弄（近石屏路）,普通住宅,45000
118,sh,同润蓝美俊庭,大团镇南芦公路989弄,普通住宅,19000
119,sh,恒大帝景,文翔路、茸兴路交叉口东南侧,普通住宅,29000
120,sh,米兰诺贵都,古楼路1899弄,普通住宅,23000
121,sh,同润金色橘苑,万祥镇祥凯路祥盛路口,普通住宅,16000
122,sh,鑫塔水尚,沪青平公路5000弄8号楼,普通住宅,28000
123,sh,锦洋华园,嘉行公路3217号,普通住宅,11600
124,sh,绿舟星城,新开河路760号,普通住宅,55000
125,sh,闻喜华庭,闻喜路曲沃路66弄,普通住宅,50000
126,sh,建华铂中环（商住）,康桥路1029弄,商住两用,70000
127,sh,万科翡翠公园,中科路百业路路口,普通住宅,63000
128,sh,摩卡小城,九亭涞寅路958号,普通住宅,65000
129,sh,荣信虹桥世嘉,虹梅路2163号,普通住宅,41000
130,sh,金地自在城（二期）,泗陈公路1888弄,普通住宅,3000
131,sh,拙政别墅,姑苏百家巷99号,别墅,700
132,sh,景瑞法兰云廷,沪南公路9181弄164号(近南六公路),别墅,700
133,sh,凯迪赫菲庄园,嘉松中路6633号,别墅,886
134,sh,臻水岸（别墅）,业辉路199弄,别墅,1600
135,sh,香水湾,沪青平公路2558弄（近奥特莱斯广场）,别墅,45000
136,sh,滨江晶典二期,榆林路839号,普通住宅,21000
137,sh,信达蓝庭,潘新路255弄(近潘泾路),普通住宅,19500
138,sh,海伦堡爱ME城市,武威路与众仁路交汇处,商住两用,490
139,sh,金地佘山天境（别墅）,赵巷嘉松中路6888弄（近业锦路）,别墅,900
140,sh,悦达南郊华都,望园路2509弄,商住两用,16000
141,sh,高尚领域,礼泉路689弄,商住两用,16000
142,sh,摩登蜂巢,崧建路688弄,商住两用,1290
143,sh,明中龙祥家园（别墅）,明中路699弄19号别墅近场西路,别墅,900
144,sh,佘山一品,佘山镇桃源路518弄(近桃源路),别墅,19000
145,sh,领航uptown,沪南公路5398弄,普通住宅,24500
146,sh,龙湖新壹城,谷阳北路梅家浜路路口,商住两用,30000
147,sh,百禄商业广场,周邓公路与康新公路交汇处,商住两用,750
148,sh,绿地海域观园,双单路1031号,别墅,1200
149,sh,绿地海珀佘山,九江公路159弄（千新公路交叉口）,别墅,340
150,sh,徐汇公园道壹号,宾阳路18弄,普通住宅,2260
151,sh,大豪山林别墅,"徐泾西路188弄,盈港东路2588弄",别墅,13000
152,sh,莱英悦都,绿苑路488号,商住两用,2000
153,sh,大华锦绣华城,成山路2008号,别墅,2200
154,sh,佳源梦想广场,金海公路99弄28号,普通住宅,62000
155,sh,尚光徐汇中心,宜山路415号（宜山路凯旋路）,商住两用,600
156,sh,悦天地,川沙路562号,商住两用,12000
157,sh,景源名墅（别墅）,钜庭路333弄,别墅,3350
158,sh,金地都会艺境,陈春路与明兴路路口,别墅,55000
159,sh,悦立方商业广场,海芙路186弄（海芙路龙翔路口）,商住两用,20000
160,sh,铂悦滨江（别墅）,张杨路崮山路口,别墅,2000
161,sh,正荣国领（别墅）,抚远路1211号,别墅,500
162,sh,翠湖天地隽荟都,济南路260弄,普通住宅,140000
163,sh,汇贤阁别墅,涞坊路725号,别墅,4800
164,sh,中海悦府别墅,陆家圈路269弄,别墅,630
165,sh,圣堡别墅,联民路99弄,别墅,1940
166,sh,世茂纳米魔幻城晶品公馆,辰花路5088弄,商住两用,24000
167,sh,合景万景峰,金海公路航南公路交叉口,商住两用,17000
168,sh,融信铂湾（别墅）,置鼎路889弄,别墅,550
169,sh,阳光城愉景湾（别墅）,川沙路5999号,别墅,630
170,sh,新弘墅园,月台路625号（明中路月台路路口）,别墅,450
171,sh,御品园林,徐南路1188弄,别墅,1600
172,sh,帕缇欧香苑,外青松公路6666弄,普通住宅,37000
173,sh,复地御西郊,金浜路188弄,普通住宅,85000
174,sh,红星国际广场（商住）,联航路1818弄,商住两用,33000
175,sh,信义嘉庭,叶城路新成路路口以东100米,普通住宅,110000
176,sh,万城银座,槎溪路222弄,商住两用,25000
177,sh,华山夏都苑,幸福路211弄3号,普通住宅,115000
178,sh,古北萃庭公寓,安亭镇彤闻路77弄（近墨玉北路前炬路口）,普通住宅,390
179,sh,绿庭悦公馆,新松江路555弄,普通住宅,31000
180,sh,佳源上海小城,四团镇港佳路299号,普通住宅,16000
181,sh,当代万国府MOMA,沧源路与德宏路交界,普通住宅,50000
182,sh,南山雨果,徐泾镇叶联路601弄,普通住宅,42500
183,sh,浦东颐景园,拱极路梅花路路口,普通住宅,34000
184,sh,东方冠郡,沪南公路7518号,别墅,800
185,sh,湖畔天下,南翔镇瑞林路1280弄,普通住宅,30000
186,sh,金地天地云墅,苏家浜路388弄、428弄（电台路与苏家浜路交汇处）,普通住宅,46000
187,sh,锦秋花园,锦秋路699弄十七区,普通住宅,80000
188,sh,大华朗香花园,祁真路160弄（近祁连山路）,普通住宅,62000
189,sh,华纺和成未来派,夏宁路818弄联东U谷52楼,普通住宅,9000
190,sh,好世凤翔苑,南翔金通路1737弄（近槎溪路）,普通住宅,95000
191,sh,印象生活广场,年家浜东路29号,商住两用,25000
192,sh,魔方社区,胜辛路2899号,商住两用,9000
193,sh,光华糖果公元,国际商务城赛格电子市场东,商住两用,15000
194,sh,阳光葡提公馆,马陆镇宝乐路58弄,商住两用,20000
195,sh,璟储新和湾,沪太路8399弄,普通住宅,11000
196,sh,绿地欧拉,安亭镇昌吉东路站2号口正对面,商住两用,120000
197,sh,红星紫郡,松卫南路龙翔路交汇处,普通住宅,17000
198,sh,复兴珑御,西藏南路699号（靠近盐城路）,普通住宅,24500
199,sh,恒海国际花园,旭宝路99号,别墅,400
200,sh,正荣御首府,龙轩路1998弄,普通住宅,13000
201,sh,正荣璟园,枫泾镇泾波路与枫湾路交叉口,普通住宅,13000
202,sh,泰禾红桥,沪青平公路青湖东路交界处汇金路规划四路）,普通住宅,29000
203,sh,凤凰花苑,渔乐路500弄,普通住宅,18000
204,sh,海上纳缇,卫零北路881号（近龙皓路）,别墅,142
205,sh,中铁北城时代,友谊路2429号,普通住宅,23000
206,sh,保利天鹅语,白银路580号,普通住宅,22000
207,sh,河畔艺墅（别墅）,恒荣路388弄,别墅,630
208,sh,中洲珑悦,"观海路999弄, 观海路951号",普通住宅,17000
209,sh,万业紫辰苑,江杨北路1568弄（近湄浦路）,普通住宅,33500
210,sh,虹桥1号,北翟路2010弄,普通住宅,30000
211,sh,华贸东滩花园,陈家镇揽海路1号/卢湾-自忠路388号,别墅,300
212,sh,八埭头公寓,杨树浦路633号,普通住宅,70000
213,sh,万科金域华府,南桥万顺路清朗路路口往南50米,普通住宅,70000
214,sh,长宁88金廷,长宁支路125弄,普通住宅,83000
