,城市,小区名,地址,住宅类型,均价
0,sjz,九珑湾,槐北路与东二环交口东行200米路北,普通住宅,7800
1,sjz,阳光里,西三庄街与警安路交叉口西行200米路南,普通住宅,7500
2,sjz,乐嘉名苑,友谊大街振岗路交口西行100米路南,普通住宅,11000
3,sjz,新兴花语原乡,新华路与昌盛大街交叉口西行800米路北(果岭湾对面),普通住宅,5300
4,sjz,安联生态城,石兆街与石丰路交汇处东南角,普通住宅,7000
5,sjz,鹿城一号,海山大街与会馆路交汇处东北角（老珠江啤酒厂原址）,普通住宅,6000
6,sjz,北部时光,胜利大街与石津灌渠交口西头南侧,普通住宅,6400
7,sjz,海棠湾,友谊南大街和新石北路交口西行100米路北,普通住宅,15000
8,sjz,北郡帕提欧,中华北大街与赵陵路交汇处西北角,普通住宅,7500
9,sjz,尚河明珠,友谊大街与北二环交汇处北行1000米路东(太保路9号),普通住宅,6500
10,sjz,高远都市怡景,胜利北大街与铁院北路交汇处西行700米路北,普通住宅,7000
11,sjz,汉嘉海语城,新城大道与天山大街交汇处东南角,普通住宅,4250
12,sjz,华宁春天,中华大街以东，和平路以北，九中街以西，市庄路以南,普通住宅,25000
13,sjz,观澜公馆,中华北大街与聚新路交汇处东南角(中储市场正南),普通住宅,9600
14,sjz,溪园,石清路与杜北大街交汇处西北角(杜北大街8号),普通住宅,5300
15,sjz,海龙湾,红旗南大街与学院路交汇处西行200米路南,普通住宅,7300
16,sjz,智高常春藤,308国道与裕泰路交汇处东南角(石家庄二中南校区南邻),普通住宅,5350
17,sjz,华丽家族,平安南大街与东平路交汇处西行100米路北,普通住宅,14000
18,sjz,京海铭筑,建华南大街与方兴路交汇处西南角,普通住宅,7200
19,sjz,天洲铂悦,北二环东路与十里铺西街交汇处北行500米路西,普通住宅,9000
20,sjz,厚德福城,北斗路与翠屏大街交汇处南北两侧,普通住宅,5900
21,sjz,新世纪花园,红旗南大街与宫北路交汇处东南角,普通住宅,5100
22,sjz,国际总部花园,胜利北大街与翠屏东路交汇处西行300米路北,普通住宅,4600
23,sjz,永邦天汇,北二环东路与东二环北路交汇处西南角,普通住宅,6500
24,sjz,百岛绿城,植物园街与古城西路交汇处东南侧,普通住宅,6500
25,sjz,领世郡,建明中路36号,普通住宅,13000
26,sjz,金河国际公寓,107国道与华安西交口东行300米路南,普通住宅,5800
27,sjz,珑庭园中苑,翟营大街南二环以南800米路东,普通住宅,7700
28,sjz,元氏现代城,蟠龙路与嘉惠街交汇处西行50米,普通住宅,3600
