,城市,小区名,地址,住宅类型,均价
0,su,路劲主场,工业园区湖东,,26259
1,su,都市VIP,工业园区青剑湖,,13815
2,su,路劲凤凰城,工业园区湖东,,24868
3,su,香堤澜湾,工业园区青剑湖,,19743
4,su,中翔丽晶,相城元和,,9441
5,su,中海独墅岛,吴中郭巷,,26851
6,su,海尚壹品,工业园区玲珑,,35423
7,su,太阳星辰花园湖邑,工业园区白塘,,28382
8,su,维纳阳光花园北区,工业园区青剑湖,,23143
9,su,合景领峰,吴中木渎,,20352
10,su,越湖家天下,吴中城南,,21355
11,su,凯翔国际广场公寓,相城元和,,11056
12,su,合景峰汇十期,相城活力岛,,11936
13,su,白塘景苑,工业园区白塘,,31357
14,su,万达广场,姑苏平江新城,,18210
15,su,水墨三十度,工业园区湖东,,29089
16,su,湖畔天城,工业园区湖东CBD,,29655
17,su,维纳阳光花园南区,工业园区青剑湖,,23079
18,su,金锦苑,工业园区跨塘,,22141
19,su,新城金郡北区,吴中城南,,17411
20,su,金辉融侨城,工业园区湖东,,22916
21,su,雅戈尔YAKR公馆,工业园区青剑湖,,30617
22,su,康桥丽都,工业园区湖东,,18623
23,su,首开悦澜湾,工业园区青剑湖,,24971
24,su,理想家园,相城元和,,15942
25,su,水漾花城花苑,吴中郭巷,,21178
26,su,东港新村,工业园区玲珑,,22396
27,su,中央景城,工业园区白塘,,37155
28,su,中海国际社区（三区）,工业园区青剑湖,,31332
29,su,中海国际社区（一区）,吴中木渎,,32062
30,su,翰林缘,吴中城南,,24572
31,su,中环百汇商业广场,相城元和,,11857
32,su,中海御景湾,相城活力岛,,19560
33,su,石湖华城,工业园区白塘,,20708
34,su,橡树湾花园,姑苏平江新城,,20503
35,su,建屋海德公园,工业园区湖东,,29469
36,su,中海国际社区（七区）,工业园区湖东CBD,,30860
37,su,中海湖滨一号,工业园区青剑湖,,44834
38,su,新城金郡南区二期,工业园区跨塘,,20500
39,su,高尔夫花园,吴中城南,,29730
40,su,城邦花园东区,工业园区湖东,,30364
41,su,东湖林语,工业园区青剑湖,,28364
42,su,印象欧洲,工业园区湖东,,13323
43,su,自由水岸花园,工业园区青剑湖,,30607
44,su,枫情水岸,相城元和,,32187
45,su,第五元素,吴中郭巷,,28519
46,su,九龙仓繁华里,工业园区玲珑,,34457
47,su,钟南花苑,工业园区白塘,,25570
48,su,首开班芙春天花园,工业园区青剑湖,,19810
49,su,御苑家园,吴中木渎,,16583
50,su,阿卡迪亚五区,吴中城南,,25306
51,su,榭雨苑,相城元和,,26499
52,su,锦绣江南,相城活力岛,,17651
53,su,山水华庭,工业园区白塘,,20277
54,su,越湖名邸,姑苏平江新城,,19970
55,su,港龙财智国际,工业园区湖东,,14670
56,su,环球188,工业园区湖东CBD,,36232
57,su,新城红树湾,工业园区青剑湖,,16672
58,su,左岸香颂,工业园区跨塘,,26147
59,su,美乐城,吴中城南,,17694
60,su,嘉和丽园,工业园区湖东,,15705
61,su,湖岸名家北区,工业园区青剑湖,,22550
62,su,水韵花都家园,工业园区湖东,,21140
63,su,湖左岸,工业园区青剑湖,,36421
64,su,湖滨花园,相城元和,,23075
65,su,天地源七里香都,吴中郭巷,,29455
66,su,小石城6区香樟园,工业园区玲珑,,19483
67,su,阳光水榭花园,工业园区白塘,,21110
68,su,置地青湖语城,工业园区青剑湖,,24144
69,su,澜调国际,吴中木渎,,32215
70,su,绿地华尔道,吴中城南,,36037
71,su,九龙仓年华里,相城元和,,30158
72,su,君地新大陆,相城活力岛,,14186
73,su,中海星湖国际,工业园区白塘,,41361
74,su,万业湖墅金典,姑苏平江新城,,22815
75,su,香城花园一区,工业园区湖东,,18514
76,su,天地源橄榄湾,工业园区湖东CBD,,26721
77,su,合景峰汇四期,工业园区青剑湖,,21578
78,su,中海国际社区（六区）,工业园区跨塘,,31527
79,su,金沙富都广场,吴中城南,,12883
80,su,中梁香缇,工业园区湖东,,24291
81,su,合景领汇,工业园区青剑湖,,29572
82,su,澳韵花园,工业园区湖东,,29832
83,su,中旅蓝岸国际,工业园区青剑湖,,27605
84,su,金枫国际,相城元和,,13033
85,su,太阳星辰花园天邑,吴中郭巷,,31460
86,su,新尚商业广场,工业园区玲珑,,13734
87,su,新升新苑,工业园区白塘,,21035
88,su,保利观湖国际,工业园区青剑湖,,23493
89,su,莲花新村一区,吴中木渎,,20284
90,su,中海8号公馆,吴中城南,,31729
91,su,枫华紫园,相城元和,,20051
92,su,中信森林湖,相城活力岛,,26036
93,su,湖岸名家南区,工业园区白塘,,22349
94,su,伟业迎春华府,姑苏平江新城,,15382
95,su,天都花园,工业园区湖东,,26522
96,su,东港二村,工业园区湖东CBD,,25382
97,su,中茵皇冠国际,工业园区青剑湖,,41932
98,su,康桥溪岸花园,工业园区跨塘,,20458
99,su,九龙仓时代上城,吴中城南,,37025
100,su,浙建枫华广场,工业园区湖东,,13820
101,su,宝隆广场,工业园区青剑湖,,13870
102,su,汀兰家园,工业园区湖东,,20822
103,su,招商雍景湾,工业园区青剑湖,,25544
104,su,苏香名园,相城元和,,16751
105,su,中海国际社区（四区）,吴中郭巷,,31593
106,su,上君花园临湖壹号,工业园区玲珑,,24360
107,su,新城花园,工业园区白塘,,28947
108,su,朗诗未来街区（青澄路9号）,工业园区青剑湖,,27843
109,su,蝴蝶湾,吴中木渎,,30380
110,su,小石城5区紫竹园,吴中城南,,20177
111,su,世茂运河城和茂苑二期,相城元和,,26495
