,城市,小区名,地址,住宅类型,均价
0,sy,宏发·英里,于洪南阳湖街148号（浑河北岸南阳湖街与细河路交汇处）,住宅,6000
1,sy,轻飏小筑,浑南区银杏路28号（南京南街与金桔路交汇处）,住宅,4500
2,sy,汇邦·克莱枫丹,于洪怒江北街佛山路32号(老辽大北水源地旁),住宅,7500
3,sy,云泽经典,皇姑步云山路47号（珠江三校原址）,住宅,11000
4,sy,沈阳温馨港湾,浑南区浑南东路20号,住宅,4300
5,sy,中海寰宇天下,皇姑昆山西路75号（原车辆厂）,住宅,8500
6,sy,龙逸尊尚雅苑,于洪长江北街82号（长江北街与黄山路交汇处）,住宅,7888
7,sy,荣盛·紫提东郡,浑南区浑南东路59号（建筑大学东3公里）,住宅,5000
8,sy,依云温泉小镇,于洪于洪区红兴路804号 （蒲河西岸，临304国道）,住宅,4500
9,sy,香格里拉,沈北新区蒲河北路8号（皇第龙邸西侧）,住宅 别墅,5500
10,sy,富邦壹品天城,浑南区莫子山路700-7号（体育学院东北面）,住宅,5000
11,sy,旺力城,抚顺经济开发区沈抚大道南旺力大街东,住宅,6500
12,sy,伴山湖,浑南区世博东街53号（世博园东）,别墅,11000
13,sy,中铁丁香水岸,于洪赤山路135号（丁香湖附近）,住宅 商住,5600
14,sy,首创琥珀湾,浑南区东陵路120号（棋盘山鸟岛东500米，万科兰乔圣菲南侧，浑河北岸）,别墅,10000
15,sy,万科·润园,铁西肇工北街13号（肇工北街与北一路交汇处）,住宅,8500
16,sy,天缘云峰领地,铁西云峰南街24号(云峰街与南七马路交汇处),住宅 商住,9800
17,sy,龙湖·紫都城,大东东望街20-1号 （东北大马路与观泉路交汇北行300米）,住宅 商住,6500
18,sy,其仕·和裕,铁西保工北街26号（保工北街与北四中路交汇处）,住宅,15000
19,sy,步阳国际,沈河文化东路8号（南塔鞋城西北侧）,住宅 商住,8000
20,sy,中海国际社区,和平南京南街22号（大润发南）,住宅,9500
21,sy,郁金香湾,新民兴隆堡镇（304国道）,住宅 别墅 商住,4000
22,sy,海域·麓溪庄园,沈北新区天时街52号（大溪地生态休闲基地内）,别墅,4300
23,sy,华府丹郡·乾豪,苏家屯苏家屯南京南街1009号-C1号（南京南街与银杏路交汇处）,住宅,4600
24,sy,中粮·隆玺世家,皇姑黄河北大街52号（航空学院原址）,住宅,12000
25,sy,富海茗乔,铁西经济技术开发区浑河六街2号（沈辽路与浑河六街交汇处东南侧）,住宅,4750
26,sy,十三街区,铁西经济技术开发区13号路4甲3号（十一号街与十三号路交汇处）,住宅,4200
27,sy,依云首府,于洪黄海路45号（于洪广场西侧200米）,住宅,7600
28,sy,皇家御湾,沈北新区蒲河路5号（393路黄土坎站东行300米）,住宅,3680
29,sy,恒润·春天里,铁西经济技术开发区浑河七街8号（沈阳洪庆中学对面）,住宅,4300
30,sy,汇景新世界,和平南三好街7号（三好桥北走100米）,住宅,9000
31,sy,沈铁·金域尚城,银州铁岭火车站广场南侧,住宅,4900
32,sy,世代悦龙湾,于洪沈新路76号(黄海公园南),住宅,6700
33,sy,颐和城,浑南区香堤路199号（伯官大桥东南侧）,住宅,4300
34,sy,天水嘉苑,银州凡河新区泰山路与长江路交汇处,住宅,2900
35,sy,锦绣馨园,大东锦园路26号（北海街与珠林路交汇处）,住宅,7800
36,sy,沈阳旭辉御府,浑南区智慧大街31号（中央公园西行400米）,住宅,5500
37,sy,百荷湾三期,浑南区白塔东路9号（沈营路与三环交汇处东南侧）,住宅,6300
38,sy,天和人家,铁西兴顺街6号（近陶林居）,住宅,9000
39,sy,绿地·剑桥,抚顺经济开发区滨河路2号,住宅 别墅,4000
40,sy,凤凰花园,铁岭县铁岭县熊官屯镇,住宅,3200
41,sy,蓝山墅,苏家屯佳园路101号（本山传媒西侧）,住宅 别墅,8200
42,sy,中国郡,新民304国道与107省道交汇处,住宅 商住,4000
43,sy,中央学府,皇姑宁山中路35号（宁山中路与金川江街路口）,住宅 商住,12800
44,sy,梦想·天成,铁西沈新路75-2号 (沈新路与开发大道交汇处),住宅,6400
45,sy,哥本哈根二期,皇姑黄河北大街113号甲（地铁医学院站出口附近）,住宅,7000
46,sy,水晶蓝湾,沈北新区沈北路60号（国土督察局沈阳局对面）,住宅,4800
47,sy,隆河谷一期,浑南区白塔街26号（白塔公园西北侧）,别墅,11000
48,sy,保利十二橡树庄园,浑南区双园路108号 （盛京高尔夫东1500米）,别墅,15000
49,sy,唐轩首府,沈北新区沈北路16号（道义大街与沈北开发大道交汇处）,住宅,5500
50,sy,世外桃源,辽中京沈高速公路高花服务区出口西侧（京沈高速与潘乌线交汇处）,住宅,5700
51,sy,富润阳光,和平昆明南街77号（SK大厦西侧）,住宅,9000
52,sy,特变·水木融城,铁西经济技术开发区22路16号（沈阳工业大学南门旁）,住宅,5300
53,sy,城南春晓,浑南区塔南街501号（沈营大街与全运路交汇处西北侧）,住宅,4800
54,sy,富力·塞戈维拉,浑南区凤凰大街77号（机场高速桃仙出口南500米）,别墅,11000
55,sy,沈阳·五彩阳光城,于洪西江北街155号（造化街道旺牛村）,住宅,6500
56,sy,龙之梦·畅园,大东滂江街62号（原沈阳矿山机械厂）,住宅,9000
57,sy,天洁·华尔街广场,浑南区浑南东路439号（沈抚大道和三环交汇处）,住宅,4500
58,sy,佳兆业中心,沈河青年大街173号（青年大街与文萃路交汇口）,住宅,13000
59,sy,天润广场,大东津桥路7号（津桥路和大什字街交汇处）,住宅 商住,11000
60,sy,唐轩英郡三期·佳境,新民胡台新城振兴七街与102国道交汇处,住宅,3800
61,sy,丽晶公馆,于洪黄河北大街108号（乐天玛特北）,住宅,7200
62,sy,瑞家·坚果,大东东北大马路钢泉巷2号（东北大马路与观泉路交汇处南侧）,住宅,7100
