,城市,小区名,地址,住宅类型,均价
0,sz,中骏四季阳光,龙岗深汕公路与深汕高速交汇处（沈海高速龙岗出口右拐200米）,普通住宅,36000
1,sz,壹方中心玖誉,宝安区新湖路与创业一路交汇口(宝安区政府旁),普通住宅,100000
2,sz,龙城中央,龙岗大道与龙城南路交汇处,普通住宅,41000
3,sz,香格名苑,南山区月亮湾,普通住宅,75000
4,sz,满京华喜悦里,龙岗区深惠路与碧新路交汇处（距地铁龙岗线南联站南侧仅200米,普通住宅,41000
5,sz,汉金半山公馆,深圳市南山区月亮湾片区小南山山脚（月亮湾山庄旁）,普通住宅,140000
6,sz,深业东岭,罗湖区深南东路与沿河北路交汇处(近黄贝岭村牌坊),普通住宅,65000
7,sz,宝能公馆,福田红荔西路与农林路交汇处（山姆会员店及儿童公园旁）,普通住宅,100000
8,sz,德润荣君府,深圳市坂田布龙路与坂雪岗大道交汇处（地铁5号线坂田站A出口西侧50米处）,普通住宅,50000
9,sz,深业上城,皇岗路与笋岗路交汇处,普通住宅,130000
10,sz,恒裕嘉城,龙岗区赤石岗697号,普通住宅,33000
11,sz,三科麓湾,葵涌街道溪涌高速出口,别墅,1600
12,sz,世纪城,惠州市大亚湾区西区龙海三路与龙山七路交汇处（比亚迪南门对面）,普通住宅,14000
13,sz,幸福珺湾,深圳市宝安区西乡大道与兴业路交汇处,普通住宅,55000
14,sz,宇宏健康花城,龙岗南湾街道布澜路和科技园路交汇处南侧,普通住宅,46000
15,sz,山语清晖花园,福龙路与北环路交叉口西北角,普通住宅,76000
16,sz,深业泰然观澜玫瑰苑,观澜大道锦山公园北侧,普通住宅,26000
17,sz,颐安都会中央二期,地铁3号线大运站（山姆会员店西）,普通住宅,49200
18,sz,麓园,龙岗区回龙埔社区，盐龙大道北侧，黄阁路延长段的东侧,普通住宅,37000
19,sz,万科云城,南山留仙洞战略型新兴产业总部基地,商住两用,63000
20,sz,同泰时代中心,宝安区福永宝安大道与蚝业路交汇处,公寓,25000
21,sz,科技生态园,南山高新南区白石路与沙河西路交汇处,普通住宅,58000
22,sz,佳兆业城市广场三期,龙岗区坂雪岗大道坂田第二街道办对面,普通住宅,52000
23,sz,佳华领汇广场,龙岗坂田五和大道和吉华路交汇处,普通住宅,50000
24,sz,蓝郡广场,盐田区海景二路与东和路交汇处北侧,普通住宅,64000
25,sz,前海铂寓,宝安西乡街道新安六路西端（沿江高速大铲湾出口旁）,商住两用,25000
26,sz,万科广场·V寓,龙岗区龙翔大道与龙城大道交汇处，文化中心旁,公寓,38000
27,sz,光明1号,光明新区高新西区科发路西侧、十七号南侧,普通住宅,38000
28,sz,松河瑞园,宝安区松岗溪头工业四路西侧,普通住宅,36000
29,sz,宝能城,南山区深圳市南山区大学城片区，留仙大道以北，学苑路以南,普通住宅,70000
30,sz,香山美墅,南山华侨城文化创意园香山西街,普通住宅,140000
31,sz,前海丹华,南山赤湾四路与赤湾九路交汇处,普通住宅,71000
32,sz,龙岐湾1号,银滩路与滨海二路交汇处,普通住宅,70000
33,sz,中粮世家,坪山新区坑梓街道丹梓中路与兰景路交汇处东北角,别墅,30000
34,sz,龙岐湾1号,银滩路与滨海二路交汇处,别墅,200000
35,sz,仁恒峦山美地,宝荷路与宝横路交汇处东北侧,普通住宅,34000
36,sz,水湾1979,荔园路与工业五路交叉口,普通住宅,100000
37,sz,宁佳花园,龙岗中心城龙腾三路与彩霞路交汇处,普通住宅,40000
38,sz,龙光城,大亚湾西区西南大道,普通住宅,15000
39,sz,坤祥花语馨,龙岗龙岗区布吉街道吉华路阳光花园南侧,普通住宅,44000
40,sz,卓能雅苑,龙华新区布龙公路北侧,普通住宅,48000
41,sz,汉森吉祥龙,科苑南路与工业七路交汇处,普通住宅,68000
