,城市,小区名,地址,住宅类型,均价
0,tj,河东融科瀚棠,月牙河与昆仑路交口，河东文化公园旁 ,普通住宅,25000
1,tj,首创城,大沽南路延长线（津沽公路）洪泥河东路与吉泰路交汇处,普通住宅,12000
2,tj,路劲太阳城,凤山道与贺兰路交口,普通住宅,24000
3,tj,中海八里臺,平山道与卫津路交口,商住两用,28000
4,tj,天津全运村,洞庭路与渌水道交口,普通住宅,28000
5,tj,香缇花园,满江东道与祁连路交口（太阳城以北）,普通住宅,19800
6,tj,星河荣御,知景道155号,普通住宅,11000
7,tj,金泰丽湾,空港经济区弘顺路与华瑞路交口,普通住宅,13500
8,tj,首创大河宸章,天泰路与津浦北路向西400米处,普通住宅,30000
9,tj,合景御华园,双港镇津港高速辅路与景荔道交口,普通住宅,15000
10,tj,红星国际广场,津滨大道160号（河东红星美凯龙后侧）,公寓,12000
11,tj,兆恒广场院外SOHO,辛庄镇鑫怡路与平凡道交口（辛庄中学旁）,商住两用,15000
12,tj,熙汇广场,黄河道与快速路交口,商住两用,14500
13,tj,和泓四季恋城,津滨大道与跃进路交口,普通住宅,22000
14,tj,蘭园,黄河道与广开大街交口,商住两用,350
15,tj,星河时代,瑞景居住区龙泉道与外环辅路交口,别墅,12000
16,tj,中交樾公馆,张家窝镇京福支线与辛老路交口以南,普通住宅,43000
17,tj,鲁能公馆,天塔道(水上公园畔),普通住宅,470
18,tj,正荣润璟湾,中北镇中北大道北侧(南运河北岸),别墅,7200
19,tj,亿利华彩城,上北新区梅石路与广贤路交口,普通住宅,8500
20,tj,湯臣津湾一品,赤峰道8号,普通住宅,36000
21,tj,合景御华园,双港镇津港高速辅路与景荔道交口,别墅,360
22,tj,社会山2014,张家窝镇京福公路东侧（天津南站西侧600米）,普通住宅,15000
23,tj,凯德国贸,南京路39号(南京路与马场道交口),商住两用,28000
24,tj,东亚风尚国际,新开路西侧（育才中学对面）,普通住宅,16000
25,tj,华润橡树湾橡墅,东丽区华明镇弘泽大街与杨北公路交口,别墅,260
26,tj,融创中心,红旗路278号天拖原址,商住两用,24000
27,tj,正荣润璟湾,中北镇中北大道北侧(南运河北岸),普通住宅,17000
28,tj,红星国际广场,津滨大道160号（河东红星美凯龙后侧）,商住两用,12000
29,tj,中粮大道,九经路和六纬路交口,普通住宅,30000
30,tj,星河时代,瑞景居住区龙泉道与外环辅路交口,普通住宅,175
31,tj,首创暖山,双港镇津沽公路与梨双路交口,普通住宅,12000
32,tj,松江置嘉公寓,鞍山西道与白堤路交口,商住两用,18000
33,tj,旗锦苑,下伍旗镇中心幼儿园对面,普通住宅,3480
34,tj,燕云小镇,大东线与高王路交口京津高速泗村店出口西侧,别墅,60000
35,tj,成山公馆,和平西安道与成都道交口,普通住宅,4200
36,tj,锦绣佳苑,黄花店镇商贸街北侧,普通住宅,5600
37,tj,佳和雅庭,解放南路延长线,普通住宅,7000
38,tj,东疆国际,滨海新区东疆港亚洲路与郑州道交口处,普通住宅,13500
39,tj,海泰海港花园,临港工业区渤海十路以东，金沙江道以北,普通住宅,6900
40,tj,保利玫瑰湾薇公馆,昆仑路与满江道交口，临近卫国道,商住两用,11000
41,tj,澜海庄园,八里台镇天嘉湖欢乐岛旅游度假公园（津南区政府南侧）,普通住宅,6500
42,tj,津沽首府,咸水沽镇津沽公路与体育场交汇处北100米路东（月谭大厦对面）,普通住宅,7500
43,tj,英伦世家,宁河桥北新区规划三八河路蓟运河大桥旁,普通住宅,7700
44,tj,瓏府壹号,"蓟县渔阳镇东环路东侧,四中东面.",普通住宅,7000
45,tj,复地湖滨广场,空港经济区中环东路与东二道交口,普通住宅,11870
46,tj,天山城,津歧公路与盛塘路交汇处（小站练兵园东侧700米处）,普通住宅,7000
47,tj,龙泽馨园,宁河县卢台镇芦汉路与镇新路交口西北侧,普通住宅,8200
48,tj,万通新新逸墅,中新生态城中央大道和和睦路交口,别墅,6588
49,tj,恒大御景半岛,宁河桥北新区津榆公路北侧,普通住宅,8200
50,tj,万科东海岸,东疆湾旅游风景区,普通住宅,9000
51,tj,融科伍杄島,静海团泊湖东区中央大道与泽水北路交口,别墅,6288
52,tj,中交上东湾,东疆港东侧南至陕西道，北至延安道，西靠欧洲路，东为观澜路,普通住宅,7000
53,tj,天津碧桂园,八里台镇津港公路与八二路交口（八里台示范镇指示牌前行50米） ,普通住宅,24500
54,tj,北辰新天地盛景湾,津围公路与九园公路交口北侧北辰科技园新区永进道南侧,普通住宅,12000
55,tj,钱隆学府,北闸口镇津岐公路以东侧,普通住宅,5600
56,tj,美震瑞景时代,北辰西道双青新家园内,普通住宅,7500
57,tj,恒大绿洲,东丽湖温泉旅游度假区，东丽之光大道北侧，欢乐谷以西,普通住宅,8500
58,tj,中铁诺德名苑,河北西路与云山道交口,普通住宅,13500
59,tj,金地紫乐府,津塘路与昆仑路交口（一号桥轻轨站旁）,别墅,850
60,tj,保利梧桐语,下朱庄街天和路西侧,别墅,25000
61,tj,天津湾海景文苑,古海道和南北大街交口东南侧,普通住宅,17000
62,tj,金隅悦城,津滨大道南侧登州南路与惠山道交口（滨海耀华中学旁）,普通住宅,11000
63,tj,万科海港城,开发区时尚广场区域万科金域蓝湾以东,普通住宅,15000
64,tj,鼎泰精装公寓,十一经路和津塘路交口,普通住宅,12000
65,tj,富力津门湖,西青绥江道与江湾路交口,普通住宅,25000
66,tj,富力尚悦居,雍阳西道与翠通路交口（凯旋王国东侧）,普通住宅,15500
67,tj,渤海天易园,大寺镇赛达十支路与芦北路交口（玛歌庄园1848以南100米）,普通住宅,7488
68,tj,颐贤里,环湖东路与体院北道交口,普通住宅,30000
69,tj,花溪畔,京津公路与嘉河道交口,普通住宅,6200
70,tj,天津大都会,荣业大街76号（福安大街与荣业大街交口） ,普通住宅,25000
71,tj,沽上江南,咸水沽红旗路以东建国大街以北,普通住宅,10800
72,tj,鸿瑞锦园,崔黄口镇规划路北侧（津围公路与杨崔路交口）,普通住宅,4600
73,tj,渤海明珠,解放南路与中环线交口(天津骨科医院对过),普通住宅,17800
74,tj,盛世豪庭二期,武清区陈咀镇104国道西侧,普通住宅,5000
75,tj,橄榄郡,武清石各庄镇政府路东侧，石各庄北外环路南侧,普通住宅,4000
