,城市,小区名,地址,住宅类型,均价
0,ts,通德紫垣,路南新华道与车站路交叉口西南侧（原京东餐厅）,住宅,7200
1,ts,东润财智公馆,路北建华道与建设路交叉口东南角,住宅 商住,7000
2,ts,宏升君天下,丰润曹雪芹西道五中东侧,住宅,4600
3,ts,依水名园,遵化市贸易城东侧小河西岸，南距北二环150米,住宅,4000
4,ts,盛世雅居,曹妃甸新区滨海大街北侧省农科所西侧,住宅,3500
5,ts,青年城,曹妃甸新区创业大街与迎宾路交叉口购物中心东侧路南,住宅,3000
6,ts,运河水岸,丰南惠丰湖南行1000米。,别墅,10000
7,ts,馨港郦景,海港开发区3号路北、38号路西,住宅,3100
8,ts,龙泽国际,高新区龙泽路与荣华道交叉口,住宅,5500
9,ts,中南唐山湾,海港开发区唐山湾国际旅游岛滨海景观道南,住宅,6500
10,ts,唐城壹号,路北建设路与长宁道交叉口西南角,住宅,4567
11,ts,大悦新城,丰润唐丰路西侧开尔尚城小区南侧（唐丰路与站南道交汇处）,住宅 别墅,4400
12,ts,东城景苑,开平东城路219号,住宅 商住,4700
13,ts,坤拓东方嘉苑,汉沽管理区西工业区津榆支路,住宅,4500
14,ts,嘉诚华府,丰南运河唐人街运河东路和瑞景街交叉口,住宅 别墅,7000
15,ts,依水现代城,遵化市通华西街南侧，西一环南路西侧,住宅,4800
16,ts,仁恒湖滨城,路南南新道与学院路交叉口南行200米,住宅 别墅,8700
17,ts,红赫世家,曹妃甸新区建设大街南侧，迎宾路东侧,住宅,3400
18,ts,舒畅华府,玉田县北外环新工商局南侧,住宅,4000
19,ts,凤凰春城,玉田县繁荣路与桥北街交口西行300米（北大哇）,住宅,4600
20,ts,新约克小镇,开平栗园镇小佛头村,住宅,3500
21,ts,南港新城二期,曹妃甸新区南港新城小区一期,住宅,3650
22,ts,嘉美广场,路北长宁道与龙泽路交叉口西南侧,住宅 商住,5400
23,ts,凤凰湖畔,路北友谊路与龙富道交叉口西侧,住宅,6700
24,ts,林荫壹号院,丰润林荫路与公园道交汇处（原体育场对过）,住宅,7400
25,ts,明珠都市花园三期,丰南汇通路与教育街交叉口西北角,住宅,5000
26,ts,盛安金景,路北河东路25号(长宁桥北100米),住宅,5500
27,ts,凤凰世嘉,路北光明路与兴源道交汇处西南,住宅 别墅,7668
28,ts,七星印象,路北朝阳道与大理路交叉口西北角,住宅 商住,6500
29,ts,北京公馆,曹妃甸新区滨海大街北侧，县农机监理西侧,住宅,3800
30,ts,诚安友谊天地,路南友谊路与国防道交叉口东南角,住宅,6600
31,ts,美和蓝湾,曹妃甸新区生态城管委会附近美和地产,住宅,4500
32,ts,水岸荣华,路北河茵桥与河东路交叉口北行200米,住宅,6300
33,ts,新天地美域,路北站前路与南新道交叉口（常各庄原址）,住宅,6200
34,ts,香巴拉家园,迁安市燕山大路西侧、昌盛大路东侧、惠安大街北侧,住宅,4700
35,ts,凤城国贸,路北卫国路与北新道交叉口西南侧（原唐山啤酒厂址）,住宅,6500
36,ts,玫瑰园,遵化市文茂大街北侧，文萃路西,住宅 别墅 商住,4000
37,ts,嘉诚华庭,丰南建设路与胥新街交叉口东南,住宅,5000
38,ts,古镇新城,开平新苑路与西环路之间，荣盛道以北。,住宅,4500
39,ts,水韵名居,乐亭县滨河北路与金融街交汇处,住宅,3980
40,ts,唐山万达广场,路南新华道抗震纪念碑广场东面100米,住宅 商住,5700
41,ts,容和园,古冶林西唐林南路与红林道交叉口,住宅,3400
42,ts,铂悦山,路北大里路与朝阳道交叉口东南侧,住宅,6600
43,ts,曹妃甸生态城彩虹嘉园,曹妃甸新区渤海大道与滦曹公路交叉口南行1000米路东,住宅,3100
44,ts,华北家园,路北河北路与庆南道交叉口,住宅,5300
45,ts,丽都景苑二期,迁安市镇大王庄村旧址,住宅,4200
46,ts,电建地产首郡,路北长宁道与友谊路交汇处东南角,住宅,8000
47,ts,澜水郡,迁西县喜峰北路东侧，新三抚路南侧,住宅,5900
48,ts,盛唐观景,丰润团结路与公园道交叉口（曹雪芹公园西侧）,住宅,7800
49,ts,古冶金盛花苑,古冶金山开发区永安道北侧，永盛路西侧,住宅,4980
50,ts,良园新居,丰润102国道与丰津公路交汇处张良各庄,住宅,2680
51,ts,恒基荷唐悦色,路南南新道北侧荷花盛世南侧,住宅,4400
52,ts,仁恒金沙府,路南南新道与学院路交叉口南行1000米路东,别墅,11000
53,ts,盛兴新天地,玉田县北外环与繁荣路交叉口东北侧,住宅 商住,4700
54,ts,天山熙湖,路北裕华道与光明路交叉口东侧,住宅,12000
55,ts,天景美地,路北学院路与朝阳道交汇处,住宅 别墅 商住,16000
56,ts,和利水岸名都,路南学院路西侧，南湖景观大道北侧,住宅,5500
57,ts,唐山御园,路南建设路植物园南50米,别墅,12000
