,城市,小区名,地址,住宅类型,均价
0,ty,安金梧桐府,杏花岭胜利街山西会馆对面(美特好东侧),住宅,6800
1,ty,文湃苑,小店并州南路与长风街交叉口向北200米（原山西省社会科学院）,住宅,10000
2,ty,万厦康城,尖草坪胜利西街9号（晋机厂西侧）,住宅,4600
3,ty,中正·睿城,小店荣军北街与山针中路交汇处（中心街与唐槐路交界口东北角）,住宅,7300
4,ty,享堂新城,杏花岭建设路与胜利街交叉口往北300米，矿机宿舍站牌处,住宅,5000
5,ty,滨河镇,尖草坪中北大学南侧滨河东路旁,住宅 商住,2980
6,ty,十二院城,万柏林南内环西街与和平路交界口西南角100米处,住宅,7500
7,ty,晋阳湖壹号,晋源环湖东路与龙城大街交汇处南600米路东,住宅,7100
8,ty,夏威夷北岸,万柏林长风西大街南义井神堂沟同舟度假村西200米,住宅,4500
9,ty,迎西城·朝南水岸,万柏林西山虎峪河河南街四巷内150米,住宅,5200
10,ty,太原万达公馆,杏花岭旱西门街与新建路交汇口（龙潭公园南门）,住宅,16000
11,ty,龙景逸墅三期,小店坞城南路与龙城大街交汇处,住宅,7800
12,ty,学府苑,小店北格镇一中对面,住宅,2500
13,ty,富康苑新区,杏花岭迎春街北河湾站往东500米路北,住宅,4900
14,ty,新晋世家,榆次区文苑街与定阳路交叉口西北角,住宅,6200
15,ty,长风世纪广场,万柏林长风西街与和平南路交叉口西南角,住宅,11000
16,ty,华峪东区,万柏林迎泽西大街小井峪路中段,住宅,6800
17,ty,润景·园著,万柏林南内环西街78号（千峰南路与南内环西街交汇处西南角）,住宅,8300
18,ty,并州南路小区,小店并州南路与二营盘街交叉口西南角,住宅,9700
19,ty,香颂,小店小店区南中环东延和太行路交汇处300米（新南站东侧光明路14号）,住宅,7250
20,ty,金基泰和苑,杏花岭马道坡街20号，赛马场省果品公司东300米,住宅,5500
21,ty,佳欣·尚品,小店通达西街与汾东南路交汇处,住宅,7000
22,ty,时代特区,迎泽双塔东街省人民医院斜对面,住宅,8000
23,ty,盛锦国际,小店平阳路与龙城大街交汇处东南角,住宅,15000
24,ty,城南都市嘉园,小店经济技术开发区庆云街富士康南一号门对面,住宅,6800
25,ty,中泽纯境,小店经济技术开发区太原大学北侧,住宅,5500
26,ty,百德·尚景,小店长风街美特好东南600米,住宅,7700
27,ty,坤杰·拉菲香榭,小店滨河东路和龙城交汇处向南500米,住宅,14000
28,ty,鸿昇·大城小院,尖草坪兴华北街与九丰路交叉口东南角（原二手车交易中心）,住宅 别墅,7300
29,ty,信园,尖草坪北中环与解放北路交汇处往西200米路北,住宅,6200
30,ty,丽泽苑,杏花岭坝陵北街东大盛世华庭东侧,住宅,8500
31,ty,太原富力熙悦居,晋源滨河西路与晋祠路交汇处北约500米,住宅,7500
32,ty,康宁美郡二期,小店康宁街与真武路交叉口,住宅,4600
33,ty,景鸿大厦,万柏林迎泽西大街与和平北路交叉口北300米,住宅,6800
34,ty,槐桐别苑,迎泽长风美特好东南600米,住宅,8400
35,ty,保利香槟国际,小店平阳路与龙城大街交汇处往南200米路东,住宅,8800
36,ty,印象天鹅湖,榆次太榆路商务学院北门正对面,住宅,3600
37,ty,江南书香苑,榆次龙城大街与太榆路交叉口往南100米,住宅,3300
38,ty,海唐广场,万柏林迎泽大街居然之家西20米,住宅 商住,7400
39,ty,豪景·阳光里,小店北格镇工商学院北侧,住宅,3200
40,ty,东方锦绣城,杏花岭五龙口街华北广播电视学院正对面,住宅,5300
41,ty,保利百合,万柏林西中环太原科技大学正对面,住宅,6900
42,ty,万厦森邻,尖草坪大同路五十五中旁,住宅,6400
43,ty,巧克力公寓,杏花岭五龙口街华北广电学校斜对面,住宅,5500
44,ty,云水世纪明珠,小店体育路和晋阳街交汇处东南角,住宅,9500
45,ty,星光大道5米2,杏花岭建设路与胜利街交汇口,住宅,5000
46,ty,五龙湾·府东新域,杏花岭府东街与东峰路交汇处,住宅 别墅,6300
47,ty,得一剑桥城,迎泽长风东街高速口向东2公里,住宅,7000
48,ty,帝国魔码5米4,小店长风东大街、太行路交汇口,住宅,4000
49,ty,太原礼顿山,迎泽北依长风街，西接双塔南路，南侧紧邻规划坞城东街，东邻太堡路,住宅,7500
50,ty,龙湾情怀,杏花岭敦化南路100号（原太原市油脂厂旧址 ）,住宅,7300
51,ty,悠怡叠墅,晋源旧晋祠路罗城高速口向南1.5公里路东,住宅 别墅,5300
52,ty,胜利鑫城,杏花岭胜利东街与敦化北路交叉口西北角,住宅,6980
53,ty,天泰·玉泽园,万柏林迎泽西大街与前进路交叉口往北800米,住宅,6800
54,ty,黄金海岸,杏花岭解放路胜利街北大街夹段,住宅,18000
55,ty,龙城金帝园,榆次机场大道延长线太榆路东1500米处,住宅,4700
56,ty,海棠公馆,小店晋阳街与坞城路交叉口往西200米处路南,住宅,8100
57,ty,辰兴文教城五期,榆次汇通路西侧,住宅,6500
58,ty,宜佳上东城,杏花岭大东关街和太行路交接处,住宅,6800
59,ty,龙城2011,小店黄陵路口,住宅,7700
60,ty,华润·中海·幸福里,万柏林迎泽大街与滨河西路交汇往南500米,住宅,12000
61,ty,学府·未来城,小店山西大学城西1000米（省交通学院对面）,住宅,3300
62,ty,金林雅苑,杏花岭东中环与迎春街交汇处东南角,住宅,6200
63,ty,西山名筑,万柏林西铭路开城里街三岔路口,住宅,3800
64,ty,兰亭·御湖城,晋源长风西街与晋祠路交汇处往南1.8公里,住宅 别墅 商住,7400
65,ty,湖滨晋庭,迎泽迎泽大街青年路11号,住宅,14000
66,ty,宁达·钻石街区,小店唐明路与龙城街十字路口东南角,住宅,6500
67,ty,世纪家园,小店亲贤北街佳地花园高层旁,住宅,9000
68,ty,融鼎御品,小店马练营路与电子街交汇处南北两侧,住宅 商住,6300
69,ty,汇丰花苑,尖草坪兴华北街与西渠路东北角（汇丰派出所南50米）,住宅,6000
70,ty,五龙湾·府东天地,杏花岭府东街与经园路交汇处(山水庭院东面),住宅 商住,7300
71,ty,九号公馆,万柏林长风桥西丽华苑西侧丽华西路中段,住宅,8800
72,ty,龙湾写意,尖草坪胜利街359号,住宅,7500
73,ty,林语兰庭,晋源新晋祠路康庄生态园往东1000米,住宅,3000
74,ty,香檀一号,小店平阳南路红寺村对面,住宅,13000
75,ty,坤杰·拉菲公馆,小店滨河东路和龙城交汇处向南500米,住宅,8300
76,ty,太原文兴苑,万柏林迎泽桥西煤炭博物馆对面,住宅,7000
77,ty,富璟一号,迎泽双塔北路61号 (美特好北侧),住宅,7500
78,ty,帝豪国仕山,小店汾东教育园区,住宅,4500
79,ty,集祥君悦,尖草坪兴华街与文兴路交叉口往北500米,住宅,6200
80,ty,中环壹号,小店南中环街与建设路交叉口西南角,住宅,7300
81,ty,紫阳湾,阳曲首邑南路100号,住宅,3900
82,ty,盛世长风二期,小店长风大街美特好超市对面东南侧,住宅,9000
83,ty,荣兴天顺,尖草坪新兰路62号,住宅,5600
84,ty,万科金域华府,万柏林西线街与西中环交汇处（太原科技大学对面）,住宅,7700
85,ty,佳星园小区,小店坞城西路223号,住宅,8500
86,ty,德祥六院,杏花岭胜利街与金刚堰路交叉口西北角,住宅,6800
87,ty,森海湾,尖草坪滨河东路林业学院正北50米,住宅,8836
88,ty,太原恒大绿洲,小店真武路69号（太原市坞城路与龙城大街交汇处向南2000米）,住宅,8300
89,ty,太原星河湾,小店星河西路8号（滨河东路与龙城大街交界处东南200米）,住宅,15000
90,ty,龙云香堤,尖草坪恒山路小食品市场斜对面（恒山路59号）,住宅,4980
91,ty,君泰·中央公園,小店龙城大街与体育路交叉口,住宅,7500
92,ty,江南阳光,榆次太榆路蓝海汽配城东1000米。,住宅,3400
93,ty,太原万科蓝山,万柏林和平南路203号（太原市长风西街和平南路口向北300米）,住宅,9200
94,ty,东润国际新城4期院墅,小店东中环与许坦东街交汇处往东（许坦东街煤炭学校对面）,住宅,7700
95,ty,太原恒大滨河左岸,万柏林漪汾街与文兴路交叉口向北100米（滨河体育中心北侧）,住宅,11000
96,ty,恒大华府,小店晋阳街86号（晋阳街与体育路交汇处西南）,住宅,16500
97,ty,波西塔诺,晋源晋祠镇青阳河村,别墅,5000
