,城市,小区名,地址,住宅类型,均价
0,wf,宜嘉家园,高新技术开发区福寿街与富华路交汇处南300米路东,住宅,4880
1,wf,京博丽景雅园,坊子老区公安街7号（坊子区人民医院附近）,住宅,3100
2,wf,北美枫情,寒亭通亭街2999号(通亭街与百汇路交汇处西北角),住宅,4000
3,wf,名基凤凰城,朝阳街道经济开发区月潭路东，花园街北,住宅,4000
4,wf,迦拿国际,青州市花都大道与仙客来路交汇处东行500米路北,商住,4200
5,wf,双龙花苑,朝阳街道立新街与曙光路交汇处（南60米）,住宅,4400
6,wf,恒信伯爵公馆,坊子北海路与金山街交汇处东1000米白沙河东岸,住宅 别墅,5400
7,wf,正阳花园,农圣街寿光市农圣街(原南环路)与正阳路交叉口东南角,住宅,3400
8,wf,学苑花园二期,峡山经济开发区繁峡路与峡丰街交汇处西北角,住宅,3100
9,wf,金景雅苑,奎文北海路与宝通街交汇处向南100米路西,住宅,4700
10,wf,新富专家公寓,高新技术开发区蓉花路与玉清东街交汇处北100米路西,住宅,4100
11,wf,金玉华府,潍城北宫街向阳路交叉口东100米路北,住宅,5600
12,wf,滨湖绿城,峡山经济开发区潍峡路与峡寿街交汇处,住宅 别墅,7000
13,wf,胶河花园,朝阳街道高密市文体中心东 胶河东岸南行,住宅 别墅,6500
14,wf,京博丽景瑞园,坊子老区建材路7号（北海路与长宁街交叉口往南1000米路东）,住宅,3000
15,wf,北大华府,醴泉街道高密百脉湖大街与旗台路交汇处,住宅,3500
16,wf,三友玫瑰园,城关街道临朐县奇石市场龙泉路以南100米路西,住宅,4500
17,wf,欣泰世纪城,寒亭北海路与古亭街交汇处东88米,住宅,3805
18,wf,凯地城市之光,醴泉街道高密市振兴街597号(正大商务酒店东邻),住宅,4600
19,wf,水岸东方-幸福里,朝阳街道康成大街3688号（胶河东岸水岸东方会所）,住宅,4200
20,wf,东方名苑,奎文胜利东街4889号（胜利东街与虞河路交汇处东50米路北）,住宅,5600
21,wf,骏龙花园,高新技术开发区北海路宝通街交叉路口南200米路西,住宅,3900
22,wf,昌乐中心城,昌乐县方山路与昌盛街交叉口北300米路东,住宅,3800
23,wf,潍坊十笏园商业文化街区,潍城东风西街453号（东风西街与向阳路交汇处东北侧）,别墅,12000
24,wf,金科华府,潍城彩虹路与工业三街交汇处东北角（潍城区政府东侧）,住宅,3800
25,wf,朗润豪庭,寒亭通亭街与友谊路交汇处东南角,住宅,3500
26,wf,恒信首府,寒亭祥亭街与百汇路交汇处（红星美凯龙东20米）,住宅,3700
27,wf,巨能公寓,银海路圣城街中段，市中医院东临,住宅,4900
28,wf,泰晤士小镇,坊子龙山路与双羊街交汇处南200米白沙河景观区,住宅,4800
29,wf,凯润景城,坊子北海路与凤凰大街交叉口向南200米路西,住宅,3760
30,wf,碧水兰天,奎文东风街虞河路交叉路口东20米路南（东风东街266号）,住宅,5700
31,wf,将军府,昌乐县新昌路与孤山街交汇处往东200米路北,住宅,3920
32,wf,SOHO领域,潍城北宫西街与清平路交叉口东50米,商住,8000
33,wf,置地公馆,奎文胜利街与新华路交汇处西100米，中信银行西侧,住宅,5000
34,wf,德润天鹅湾,奎文玉清街与虞河交汇处东北角,住宅,4900
35,wf,潍坊万达广场,奎文东风街与鸢飞路交叉口北100米路东,住宅 商住,5700
36,wf,滨城绿洲,滨海经济开发区海川路99号(央子供电所南200米),住宅,3120
37,wf,金鸾御景城,奎文新华路与樱前街交叉路口南150米路西,住宅,6600
38,wf,佳利秀水,奎文鸢飞路1078号（东风东街与鸢飞路交叉口东50米路南）,住宅,5000
39,wf,樱海揽郡,高新技术开发区北海路与樱前街交汇处东南角,住宅,4980
40,wf,凤山晓筑,坊子凤凰大街与凤山路交叉口北180米路东,住宅,3700
41,wf,紫金园阳光海岸,滨海经济开发区长江东街与海安路交汇处西北角（欢乐海度假区南邻）,住宅,3500
42,wf,中房幸福名都,寒亭富亭街与友谊路交叉口东南角,住宅,3298
43,wf,泰华曼哈顿,安丘市商场路与206国道交汇处西100米路南,住宅,3750
44,wf,常青藤国际花园,潍城胜利西街与清平路交汇处向西50米路南,住宅,4200
45,wf,华安锦绣樱园,奎文虞河路3308号（樱前街与虞河路交汇处南200米路东）,住宅,6600
46,wf,莹俊书香漫步,醴泉街道夷安大道以西、站南街以南、健康路以东,住宅,4000
47,wf,北大锦城,高新技术开发区北宫东街与潍县中路交汇处西南角（金茂国际大酒店对面）,住宅,4700
48,wf,铭洲凡尔赛花园,东城新区北靠金光街 南邻纬四路 西邻弥河 东接尧河路,住宅,4600
49,wf,新华国际,奎文新华路与新北宫街交汇处西北角,住宅,4600
50,wf,华都凤凰山庄,高新技术开发区宝通街与潍安路交汇处西200米路南（潍坊一中斜对面）,住宅 商住,2699
51,wf,城投兰亭香苑,渤海路寿光市北环路与渤海路交叉口往西400米路北（市植物园以东）,住宅,3250
52,wf,孚日惠达公寓,姜庄镇仁和社区孚日西街88号,住宅,2900
53,wf,汶水花园,安丘市潍安路（汶河广场）向西1000米路南,住宅,3300
54,wf,三友翡翠城,潍城长松路与东风街交汇处往西100米路南,住宅,3900
55,wf,盛世家园桂花园,城关街道民主路与顺河路交汇处,住宅,4300
56,wf,隆鑫盛景,坊子新区龙泉街与凤山路交叉口向北50米路西,住宅,3550
57,wf,天同九龙湾,坊子凤凰街与龙山路交叉口西南角,住宅,3800
58,wf,东金1号,高新技术开发区东风东街与志远路交汇处东北角,住宅,4600
59,wf,柏悦澜庭,坊子崇文街以南，白沙河东岸,住宅 商住,3980
60,wf,青云瑞景园,安丘市昌安路与商场路交汇处,住宅,3550
61,wf,亿丰时代广场,高新技术开发区健康东街8888号（健康东街与惠贤路交汇东南角）,商住,14500
62,wf,中和香槟花园,高新技术开发区东方路与玉清街交叉路口东100米路南,住宅,3900
63,wf,渤景湾,潍城北宫街与长松路口交叉口西50米路北,住宅,4580
64,wf,潍京,奎文虞河路2696号（虞河路房管局对面）,住宅,6500
65,wf,图蘭朵,高新技术开发区福寿街与潍县中路交叉路口往东680米路南,住宅,4088
66,wf,学府花园,滨海(羊口)新区寿光市羊口镇学府街以南／望海路以东,住宅,2500
67,wf,富庭大第,寒亭富亭街与幸福路交汇处北200米路西,住宅,3800
68,wf,春景花园,高新技术开发区惠贤路与梨园街交叉口东南角,住宅,3800
69,wf,博鳌晶品,经济开发区月河路与泰祥街交叉路口东北角（经济开发区管委会南邻）,住宅,4500
70,wf,舜景苑,滨海经济开发区海川路与新海大街交叉口北50米路东,住宅,3200
71,wf,首玺,渤海路寿光市广场街159号（广场街与古槐路交叉口西南角）,住宅,3800
72,wf,幸福小镇,密水街道密水大街与健康路交叉口东,住宅,5000
73,wf,世佳康成大院,密水街道康成大街和古城路交汇处,住宅,3700
74,wf,鼎恒伴山,昌乐县大沂路6666号（宝通西街与大沂路交叉口北300米路东）,住宅 别墅,4000
75,wf,景泰铭城,高新技术开发区惠贤路4939号（宝通街与惠贤路交汇处西50米路南）,住宅,4100
76,wf,巴龙·国际,东城新区寿光市建桥路市委党校东首,住宅,3700
77,wf,锦道华府,坊子恒安街与行政街交汇处西南角,住宅,2998
78,wf,青云郡,安丘市青云山南麓安丘泰华城往东800米,住宅,3800
79,wf,恒信悦府,寒亭富亭街与海龙路交汇处西南角,住宅,4400
80,wf,吉祥福海豪庭,昌邑市滨海经济开发区下营镇下营港十字路口下小路西（原下营镇驻地）,住宅 商住,3000
81,wf,兰亭园小区,冶源镇浮山西路南段西侧冶源初中东侧,住宅,3100
82,wf,中央郡,滨海经济开发区北海路与幸福街交汇处西南角,住宅,2798
83,wf,大成·清华园,城关街道龙泉路交沂山路东南侧,住宅,4200
84,wf,金孚隆花园,朝阳街道凤凰大街与家纺路交叉路口南100米路西,住宅,4600
85,wf,新方新怡园,坊子凤山路与凤凰大街交叉口向南200米路东,住宅 商住,3900
86,wf,顺达金榜世家,醴泉街道夷安大道与文昌街交汇处南100米路东,住宅,3980
87,wf,金宸公馆,高新技术开发区东风东街与志远路交叉路口处南600米路东,住宅,4680
88,wf,澳博莱花园,坊子双羊街与凤山路交汇处西100米路北,住宅,4460
89,wf,德润绿城百合园,农圣街寿光市顺河路与农圣东街交叉口路西200米,住宅,4200
90,wf,中南香堤雅苑,东城新区寿光市兴安路与金光街交叉口往东200米路北（潍坊科技学院以东）,住宅,3800
91,wf,潍坊文化创意产业园,寒亭霞飞路与泰祥街交叉口北200米路西,商住,3580
92,wf,水韵华府,安丘市一马路北首与汶河广场交汇处（汶河广场南侧）,住宅,3400
93,wf,金御皇廷,奎文健康街与潍州路交汇处北50米路东,住宅,5000
94,wf,金都时代新城,奎文北宫街东街与鸢飞路交叉口西300米路北(原华丰机械厂),住宅,4500
95,wf,高新城市广场,高新技术开发区健康街与潍安路交叉口西南角,住宅,5800
96,wf,慧馨园小区,寒亭祥亭街2800号（潍县中路与祥亭街交叉路口东南角）,住宅,4078
97,wf,君悦美地,经济开发区文化路与玄武街交汇处北首东行50米路南,住宅,4700
98,wf,书香蔓城,密水街道高密市康成大街（原五中）转盘西行300米路南,住宅,4300
99,wf,青云御景园,安丘市青云山路与建安路交汇处东100米路南,住宅,4800
100,wf,赛洛公馆,高新技术开发区金马路与梨园街交叉口西南角,住宅,6700
101,wf,帝景国际,经济开发区月河路与民主街交叉路口北300米路西,住宅,3000
102,wf,城建顺达花园,潍城福寿街与永安路交叉口东南角,住宅,4258
103,wf,世贸中心,高新技术开发区胜利东街与潍县中路交汇处东50米路南,住宅 商住,4400
104,wf,柏丽花园,坊子崇文街与龙山路交汇处东南角,住宅,4150
105,wf,奥韵华庭,潍城福寿街与友爱路交叉口向北30米路西,住宅,3800
106,wf,东晨阳光,奎文新华路与樱前街交汇处南200米路东,住宅,5500
107,wf,永润城市花园,潍城北宫街与清平路交叉口东南角,住宅,4000
108,wf,水岸华府,高新技术开发区金马路梨园街交汇处东南角,住宅 商住,3980
109,wf,双裕世纪城,奎文文化南路236号（宝通街与文化南路交叉口南200米路东）,住宅,4200
110,wf,益新苑,寒亭海龙路与益新街交叉口西100米路南,住宅,3100
111,wf,东浦花园,夏庄镇夏庄镇政府南500米处，毛家庵驻地,住宅,2800
112,wf,和扬万悦城,奎文潍州路与宝通街交叉口南50米路东,住宅,3800
113,wf,泰华城大益华府,青州市范公亭路与昭德路交汇处东50米路南,住宅 商住,4200
114,wf,阳光美苑,奎文虞河路与北宫街交汇处北280米路东,住宅,4700
115,wf,泰华金泰广场,潍城东风西街与长松路交汇处西60米路北,住宅,5000
116,wf,清华园,密水街道昌安大道以西、密水大街以南,住宅,4400
117,wf,庆鹏国际,寒亭幸福路与益新街交叉口东北角,住宅,3900
118,wf,晏都秀府,柏城镇长盛泰街与市场路交汇处,住宅,2950
119,wf,豪丰江山一品,安丘市四马路与金融街交汇处北100米路西,住宅,3200
120,wf,领峰贵宾首府二期,密水街道高密市人民大街凤凰宾馆对面,住宅,4900
121,wf,紫瑞园,高新技术开发区健康东街与东方路交汇处南约100米，东方路两侧,住宅,3898
122,wf,恒信阳光新城,坊子崇文街与兴国路交汇处西南角,住宅,4360
123,wf,水岸阳光,安丘市潍徐北路1号（桥北头汶河北侧）,住宅 别墅,3900
124,wf,学府·东郡,东城新区金光街与尧河路交叉路口,住宅,2980
125,wf,金色嘉园,经济开发区民主街与清平路交叉路口东南角,住宅,3400
126,wf,盛世虞河湾,坊子北海路与凤凰大街交汇处西南角（虞河东岸）,住宅,4650
127,wf,维园·金海湾花园,东城新区文庙东街以北、兴尚路以东,住宅,4000
128,wf,金禾馨苑,坊子双羊街与朝凤路交汇处向东300米路南,住宅,4500
129,wf,万基宝通家园,奎文宝通街与鸢飞路交汇处南150米路东,住宅,3950
130,wf,久盛聚福苑,奎文健康街与文化路交汇处西300米路北,住宅,4600
131,wf,鼎基国际城市广场,城关街道山旺路交骈邑路西北侧,住宅,6000
132,wf,康河锦苑,醴泉街道高密市顺河路与振兴街（文化桥）北158米路东,住宅,4800
133,wf,城嘉梓童家园,朝阳街道凤凰大街南，康成大街北，夷安大道东佳乐家东200米路南,住宅,4500
134,wf,润地凤凰城,高新技术开发区东方路1177号（东方路与卧龙街交汇处西南角）,住宅,5700
135,wf,祥和世家,寒亭丰华路与益新街交汇处东500米路北,住宅,3660
136,wf,峡山中央华府,峡山经济开发区繁峡路与峡宁街交汇处东南角,住宅,3200
137,wf,盛世御景,密水街道杏坛西街南，青岛科技大学东，南湖植物园西,住宅,4200
138,wf,世纪阳光城市广场,朝阳街道夷安大道与立新街交汇处以东360米路南,住宅,4500
139,wf,新贵坊商业街,醴泉街道高密市利群路与振兴街交汇处,住宅,15000
140,wf,盛鸿国际,滨海经济开发区北海路与观海路交叉路口（蓝色畅想雕塑）北1000米路西,住宅,3500
141,wf,莹俊状元府,醴泉街道夷安大道与文昌街交汇处东行200米,住宅,4200
142,wf,龙溪水岸,滨海经济开发区海川路2号（海港路与海川路交汇处东南角）,住宅,2800
143,wf,城西秀园,密水街道凤凰大街与昌安大道交汇处梨园入口西200米北,住宅,4900
144,wf,西苑华府,潍城福寿西街与怡园路交叉口向西150米路北,住宅 商住,4300
145,wf,科润顺河帝景,潍城北宫西街与银河路交叉路口北200米路东（潍城区政府西邻）,住宅,3200
146,wf,凤凰永安居,密水街道高密市凤凰大街与顺河路交汇处烟草公司西临,住宅,4600
147,wf,北海公馆,高新技术开发区北海路与北宫东街交叉口东南角,住宅,4800
148,wf,浩然上海城,寒亭民主街与渤海路交叉口西南角政府西邻,住宅,3800
149,wf,龙居甲苑,坊子北海路与凤凰街交叉口往西200米路北(凤凰山庄对面),住宅,3800
150,wf,孚日福润花园,密水街道立新街与夷安大道交叉口西北角,住宅,4600
151,wf,恒信三合春城,安丘市潍徐路与永安路交汇处东北角（新佳乐家对面）,住宅,3000
152,wf,巨能华府,农圣街寿光市南环路与建桥路交汇处南100米,住宅,5500
153,wf,中央生活城,奎文胜利东街4778号（胜利东街与文化路交汇处东50米路南）,住宅,6500
154,wf,奥文国际城,潍城东风街与清平路交汇处东南侧,住宅,4300
155,wf,纳福馨城,寒亭幸福路与小学街交汇处东北角（小学街377号）,住宅,3300
156,wf,宜辉现代城,经济开发区新华路与乐川街交叉口东北角,住宅,4200
157,wf,金都世家,潍城胜利西街与长松路交叉口东北角,住宅 商住,4188
158,wf,英伦花园,高新技术开发区东风街和惠贤路交叉口西行20米路南,住宅,4400
159,wf,恒信双玺台,潍城青年路与高前街交汇处西南角,住宅,4300
160,wf,康成福地,密水街道高密康成大街与古城路路口西行300米,住宅,4000
