,城市,小区名,地址,住宅类型,均价
0,wh,越秀星汇君泊,塔子湖东路与健美路交汇处（塔子湖体育中心旁）,普通住宅,14000
1,wh,联投金色港湾,博学路6号,普通住宅,9000
2,wh,卧龙原墅,东方马城正对面,别墅,443
3,wh,华中国际广场,竹叶山转盘黄孝河路与黄埔大街交汇处,商住两用,16000
4,wh,都会轩,循礼门地铁站上盖(江汉路与京汉大道交汇处循礼门站C出口),普通住宅,30000
5,wh,远洋心里,杨汊湖常青五路与姑嫂树路交汇处,普通住宅,12700
6,wh,顶琇国际城,江汉红旗渠路中段（靠近二环线）,普通住宅,15800
7,wh,听涛观海龙台,后官湖大道与枫树一路交汇处（丝宝工业园）,普通住宅,6700
8,wh,幸福时代四期,后湖大道与百步亭花园路交汇处,普通住宅,11500
9,wh,汉口城市广场SOHO,后湖大道与建设大道延长线交汇处,商住两用,13500
10,wh,丝宝第三街,后官湖大道与枫树一路交汇处,普通住宅,6500
11,wh,美联奥林匹克花园五期,汉口北大道特9号,普通住宅,8900
12,wh,美联城仕,兴业路与文博路交汇处,普通住宅,12500
13,wh,F天下,巨龙大道196号,别墅,441
14,wh,ZAMA PARK,金桥大道与井南路交汇处（市民之家100米处）,商住两用,14000
15,wh,世纪江尚,沿江大道武汉关旁,普通住宅,25500
16,wh,海赋江城天韵,建设大道延长线与兴业路交汇处,普通住宅,13000
17,wh,鼎盛华城,兴业路167号,普通住宅,14000
18,wh,联投金色港湾铂睿,博学路6号(江大5号门斜对面),普通住宅,9000
19,wh,海伦春天三期,龙阳大道与芳草一路交汇处,普通住宅,10000
20,wh,顶琇西北湖,西北湖路北段顶琇西北湖,普通住宅,24000
21,wh,海伦小镇,军山街小军村,普通住宅,4500
22,wh,汉水岸,古田一路轻轨站旁,普通住宅,11000
23,wh,花样年幸福万象,地铁4号线仁和路站D出口,商住两用,10000
24,wh,中国健康谷,蔡甸王家湾以西汉阳大道与五贤路交汇处,普通住宅,6200
