,城市,小区名,地址,住宅类型,均价
0,wx,东宝康园,南长区清扬路与滨水路交汇处（原叶片厂地块，人民医院南侧）,住宅,9000
1,wx,塞纳公馆,惠山区玉祁平湖新城(锡玉路与湖西路的交汇口),住宅 别墅,4300
2,wx,宝能城,滨湖区吴都路和观顺道交汇处,住宅,9000
3,wx,金域蓝湾,滨湖区湖滨路11号（原无锡机床厂）,住宅,16000
4,wx,祥育苑,惠山区堰桥镇（长安社区内）,住宅,5500
5,wx,太湖锦园,滨湖区渔港路111号（望湖路与渔港路交界处）,住宅 别墅,11000
6,wx,沁春园,惠山区西漳天一新街8号（天一实验小学旁）,住宅,6200
7,wx,世茂国际广场,崇安区锡沪路通江大道交叉口（中央枢纽）,住宅,8000
8,wx,荣宏富家,锡山区东港大道与东廊路交界处（国茂钢材市场对面）,住宅 别墅,5000
9,wx,洛城·悦湖国际,惠山区洛社镇洛城大道102号,住宅 商住,9000
10,wx,米娅公馆,惠山区堰桥镇西漳天一新街1号,住宅,6500
11,wx,复地源墅,南长区新光路与南长街交叉口南侧,别墅,11000
12,wx,美新玫瑰大道,新区春华路18号（锡兴路与春华路交叉口）,住宅,7500
13,wx,长江国际二期晶源,新区机场路西侧、伯渎河北侧、金城路南侧,住宅,9000
14,wx,花样年花郡,新区太湖大道南侧（春阳路与太湖大道交汇处）,住宅,20000
15,wx,御景名仕苑,惠山区前洲镇兴业路北、西新路南（前洲中心小学西）,住宅,7600
16,wx,梦享城,惠山区政和大道北、源生路西,住宅,6000
17,wx,香槟花园,滨湖区锡宜公路与振胡路交叉口东南角,住宅,5200
18,wx,吉祥国际花园,新区通祥路19号（硕放中学对面）,住宅,6100
19,wx,富城湾,北塘区广石路与凤翔路交汇处西侧（旅游商贸学校正对面）,住宅 商住,6800
20,wx,蓝光五彩城,锡山区锡沪路与资景南路东南侧景苑公园对面,住宅,9000
21,wx,万泽太湖庄园,武进太湖湾旅游度假区环湖路1号（环球动漫嬉戏谷往南5公里）,别墅,9000
22,wx,康诗丹郡,锡山区广源路1号（靠近学前东路）,住宅,8000
23,wx,御景华庭,锡山区羊尖镇育才路与新羊大道交汇处,住宅,4800
24,wx,嘉利华府庄园,惠山区惠山大道1525号（金惠路与惠山大道交汇处）,别墅,12000
25,wx,灵山元一天邑,滨湖区太湖国家旅游度假区七里风光堤99号（灵山胜境旁）,住宅 别墅,13000
26,wx,海天·紫郡,新区新锦路和金城东路交汇处（新韵北路以西、锡贤路以北）,住宅,5500
27,wx,富安华庭,滨湖区梁溪路6号（梁溪路与蠡溪路口西南侧）,住宅,9600
28,wx,正祥梧桐水岸,北塘区凤翔路与青石西路交叉口北侧（欧风街西行500米）,住宅,7700
29,wx,溪畔橡园,惠山区石塘湾石狮路与福邸路交汇处,住宅,5500
30,wx,清扬康臣,南长区南长街上（人民医院东面）,住宅 别墅,10000
31,wx,金丰·观湖铂庭,滨湖区观湖路88号（渔港路口）,住宅 别墅,12000
32,wx,鹅湖一号,锡山区鹅湖镇锡甘公路西、新桥路南、新杨路东，市民广场南,住宅,5800
33,wx,洛城·中央御景,惠山区洛社新城洛城大道与星河路交汇处,住宅 别墅,7500
34,wx,融科·玖御半岛,锡山区东亭北路与春塘路交汇处,住宅,8000
35,wx,东方天郡,锡山区东亭北路与芙蓉六路交汇处,住宅 别墅,7000
36,wx,中建溪岸观邸,滨湖区湖滨路与住友路交汇处（梁溪河仙蠡墩北侧）,住宅,11500
37,wx,香格梅里公馆,新区锡义路西梅花园15-18(泰伯大道与新韵路交汇),住宅 商住,6000
38,wx,鼎牌五爱人家,南长区五爱路和蓉湖路交叉口的西北侧（建设银行旁）,住宅,8500
39,wx,嘉德·水韵金阁,滨湖区运河西路西侧（航运大厦南侧）,住宅,8500
40,wx,天奇·馨城,惠山区洛社人民南路128号（312国道与人民路交接处）,住宅,5500
41,wx,阳光100国际新城,惠山区堰桥镇西漳天一新街1号（旅游商贸学校旁）,住宅,10000
42,wx,九龙仓玺园,南长区南长街与金城路交汇处（古运河文化街的延伸段）,住宅,13000
43,wx,世纪明珠,锡山区羊尖高级中学西、育才西路南（羊尖高中西侧）,住宅 别墅,4700
44,wx,空港一号花园,新区硕放镇通祥路与南河路交界处（上海华联旁）,住宅,4500
45,wx,中邦城市花园,新区太湖大道2008号（春阳路与太湖大道交汇处）,住宅,6300
46,wx,金茂杨墅园,惠山区杨市园大街与钢铁路交汇处,住宅,5000
47,wx,宝盛钻石半岛,新区长江北路265-10号(百安居北侧),住宅,8000
48,wx,复地·悦城,南长区通扬路与新光路交叉口南侧,住宅,12000
49,wx,恒盛第一国际,新区旺庄东路与锡兴路交汇处东北侧,住宅,5800
50,wx,无锡港龙财智国际,惠山区盛岸西路南侧、乐多花园西侧,住宅,5700
51,wx,四季公寓,新区纺城大道288号（往前100米，新世界国际纺织服装城）,住宅 商住,4500
52,wx,洛城·英伦郡,惠山区无锡洛社新城雅中路与校园路交叉口东南侧,别墅,5700
