,城市,小区名,地址,住宅类型,均价
0,wz,国际华城三期,"永嘉县永嘉县瓯北镇104国道北侧,王家坞路西侧",住宅,16000
1,wz,万城·御珑湾,平阳县鳌江镇昆鳌大道六号地块（毗邻鳌江国税大楼）,住宅,9300
2,wz,交运城市客厅,鹿城鹿城区滨江街道机场大道5052号诚远大厦,住宅,14679
3,wz,绿翠豪庭,乐清市新中心区三环路（南虹广场对面）,住宅,18500
4,wz,瑞和家园,苍南县铁路站前区沿站前大道东侧，站南路以南,住宅,11188
5,wz,华龙海景1号,瑞安市瑞安市飞云中心区E-36、E-39地块,住宅,6888
6,wz,绿城·璟园,瑞安市瑞安市瑞祥新区安阳路与院士路交汇处,住宅,31500
7,wz,世纪嘉园,文成县凤溪花园9-1号地块,住宅,10000
8,wz,瑞鸿·中央华府,瑞安市瑞安市塘下镇广场西路新都大酒店对面,住宅,13880
9,wz,香江公馆,瑞安市瑞安经济开发区起步区—开发区主干道罗阳大道与滨江大道交叉口,住宅,19500
10,wz,华臣一品苑,苍南县灵溪镇沪山路以北、车站大道以西,住宅,13000
11,wz,大自然滨江花园,永嘉县永嘉县瓯北镇五星路附近,住宅,15000
12,wz,时代御峰,乐清市四环路与旭阳路交叉口,住宅,13000
13,wz,江滨豪庭,苍南县龙港镇江滨路与方岩街路口,住宅,16355
14,wz,港瑞金墅湾,瑞安市塘下中心区塘下东路与广场路交界处,住宅 别墅,18968
15,wz,人民一品花园,乐清市柳市镇三里村三里一路南、柳青路东,住宅,19733
16,wz,中梁外滩首府,鹿城温州市鹿城区瓯江路（香格里拉酒店往东2分钟路程）,住宅,24410
17,wz,利德·瑞景园,平阳县鳌江镇海关路东河转盘西侧,住宅,12000
18,wz,萧江·长宁大厦,平阳县萧江镇长宁路与桑田南路交叉口,住宅,10535
19,wz,外滩嘉园,苍南县龙港镇大桥以东，沿江路以南，沿湖路以北,住宅,12280
20,wz,豪城水岸,平阳县萧江镇世纪大道和河滨路交叉地段,住宅,8858
21,wz,晨光·尚品,"苍南县灵溪镇体育场路以西,仁英路以北,建兴路以南",住宅,14328
22,wz,嘉恒·悦荣府,乐清市滨海新区体育场南路与银溪路交汇处(维多利亚幼儿园对面),住宅 别墅,16300
23,wz,世豪绿洲花苑,平阳县良种场东垟一号地块,住宅 商住,9600
24,wz,红日檀香园,平阳县鳌江镇胜利路,住宅,11000
25,wz,绿城瑞安玉园,瑞安市瑞安市塘下镇国泰路,住宅 商住,18000
26,wz,玉桂阁,瑞安市温州瑞安市塘下镇双桥村罗厂路交叉路口,住宅,12175
27,wz,乐清·中央公馆,乐清市清远路与四环路交汇处，中央公园西侧,住宅,19000
28,wz,东禾紫荆花园,乐清市旭阳路与规划六环路交汇处交叉口,住宅,18700
29,wz,温州龙湾万达广场,龙湾龙湾中心区龙祥路,商住,16538
30,wz,宏地·钻石公馆,瓯海汤家桥南路与黄屿大道交汇处向东200米,住宅,15774
31,wz,仙岩华府,瓯海仙岩街道繁荣中路251号,住宅 别墅,16800
32,wz,华城首府,瑞安市瑞安市汀田镇,住宅,9500
33,wz,天瑞·臻品,瑞安市温州瑞安瑞祥新区安阳路与文庄路交汇处,住宅,22000
34,wz,龙祥嘉园,鹿城鹿城商贸城北,住宅,17110
35,wz,曼顿商业中心,平阳县水头镇江山东路,住宅,7999
36,wz,胜华嘉园,乐清市中心区滨海新区G-a11部分地块,住宅,15000
37,wz,皇廷国际花园,平阳县水头镇朝阳北路和环城北路交汇处,住宅,9500
38,wz,华庭锦绣苑,平阳县鳌江镇府前路交曙东路西北侧,住宅,12000
39,wz,文成华侨大厦,文成县玉壶镇中村东山南,住宅,7300
40,wz,现代·锦华城,鹿城温州鹿城区牛山北路与蛟凤路交汇东南面（牛山片区E-03地块）,住宅,17037
41,wz,中楠·御府,"乐清市柳市镇城南,毗邻柳市镇政府",住宅,21700
42,wz,汀田大厦,瑞安市瑞安市汀田街道镇中路（靠近人民路）,住宅,7888
43,wz,远洲·铂金湾,平阳县鳌江镇蓝田、东河、下埕村(海关后地块),住宅,12000
44,wz,润地九墅,平阳县鳌江镇昆鳌大道靠近火车站大道,住宅 商住,11157
45,wz,中梁·香缇公馆,瓯海梧田西单元HX25-E10地块（瓯海中学对面）,住宅,19500
46,wz,桐岭小镇,瓯海潘桥街道高桐路96-2号,住宅 别墅,7000
47,wz,东塔大厦,瑞安市瑞安市玉海街道,住宅,17000
48,wz,万豪·臻品丽苑,平阳县昆阳镇童桥花苑北侧地块,住宅,12000
49,wz,壹品广场,瓯海汤家桥南路与黄屿大道交汇处向东200米,住宅,15000
50,wz,乐清·绿城玫瑰园,乐清市城南街道千帆东路188号,住宅,17450
51,wz,同盛·皇佳华府,平阳县水头镇泾川东路南侧B01地块,住宅,8760
52,wz,苍南绿城·玉兰花园,苍南县灵溪体育场路与惠达路交汇处,住宅,15328
53,wz,城西·御景园,永嘉县永嘉县上塘镇下堡村永嘉中学东面,住宅,11700
54,wz,置信御庭湾,乐清市黄华兴华西路华山路口,住宅,8500
55,wz,城市之星花园,乐清市城南街道旭阳路城市之星展示中心(工地中间),住宅,11600
56,wz,中嘉·尚品,平阳县万全镇校前路65号,住宅,9309
57,wz,中瓯·金色海岸,永嘉县江北街道新桥路,住宅,26000
58,wz,鸿鑫公馆,永嘉县上塘镇勤奋路（永嘉县城关中学北面）,住宅,9000
59,wz,中宇·御景湾,文成县文成县珊溪镇区李井片区,住宅,5471
60,wz,嘉弘花苑,平阳县平阳县鳌江胜利路,住宅,7388
61,wz,鳌江昆仑公馆,平阳县昆鳌大道、火车站大道交叉处,住宅 别墅,9394
62,wz,萧江名园,平阳县萧江长宁路与晨光路交叉口,住宅,8010
63,wz,中投绿园,乐清市天成街道万泽后村,住宅,9050
64,wz,星海公馆,瑞安市瑞安市 安阳镇瑞祥新区,住宅,14794
65,wz,绿洲豪庭,瑞安市塘下中心区西二大街和新中路交叉口,住宅,14800
66,wz,华鑫·尚品,乐清市柳市镇柳青路（西仁宕村的两条规划道路交叉口处）,住宅,15200
67,wz,绿城·玉园,瑞安市温州瑞安塘下镇罗凤片区,住宅,17500
68,wz,神力嘉南美地,文成县文成县大峃镇百丈漈天顶湖畔,住宅 别墅 商住,6500
69,wz,江山邑,鹿城温州市鹿城区七都镇樟里·上沙村,住宅 别墅,21828
70,wz,桃园·名仕官邸,泰顺县罗阳镇西外村桃花园南侧TN-03地块,住宅,8848
71,wz,楠湾嘉园,永嘉县瓯北桑塔路和张堡东路交叉口,住宅,16000
72,wz,大诚·外滩香颂,瑞安市瑞安市滨江大道以北,住宅,17676
73,wz,京都红墅湾,平阳县昆阳镇城东良种场东洋二号地块,住宅,12800
74,wz,杰城中央公馆,洞头县温州市洞头新城区新城大道与复兴路交汇处,住宅,8500
75,wz,大象城国际商贸中心,瓯海动车站一排一号,住宅,5858
76,wz,岩头金墅湾,永嘉县永嘉县岩头镇岩头村,住宅,9000
77,wz,立体城,永嘉县三江国际商务区（鹿城广场对岸/瓯越大桥东侧104国道旁）,住宅,15500
78,wz,金海湾家园,洞头县温州市洞头县新城区四期02、04号地块,住宅,7100
79,wz,中梁·玉海首府,瑞安市瑞安瑞枫大道广电大学瑞安分校以西,住宅,21210
80,wz,红日蔚蓝海岸,洞头县温州洞头县东沙港西侧,住宅,4500
81,wz,置信·翡翠湾,乐清市新津县瑞通路（新津国土局斜对面，金马河畔）,住宅,20000
82,wz,滨江华府,乐清市翁垟街道北街村,住宅,8400
83,wz,新湖广场,瑞安市滨海新区万松东路与港口大道交叉口,住宅,14500
84,wz,瑞仕豪庭,瑞安市瑞安市马屿镇56省道南侧（马屿镇镇政府斜对面）,住宅,9500
85,wz,中瓯·金色嘉园,永嘉县黄田动车永嘉站旁,住宅,15000
86,wz,学府印象,瓯海茶山高教园区大学城中心东路和中心南路交汇处,住宅 商住,11000
87,wz,港瑞·金汇城,瑞安市瑞安市塘下中心西路（大自然对面）,住宅,13970
88,wz,财富城市广场,平阳县水头镇径川东路南侧B04-1地块,住宅,6500
89,wz,中楠时代花园,永嘉县上塘功能区南城街道上桥头村、西后村,住宅,13800
90,wz,天瑞香水美寓,瑞安市瑞安经济开发区发展区上东路以东、集贤路以南,住宅,18185
91,wz,悦景豪园,平阳县郑楼镇纬二路陈交大生态公园对面,住宅 别墅,7700
92,wz,华鸿安阳城,瑞安市罗阳大道与瑞祥大道交汇处,住宅,18996
93,wz,乐清中梁·首府,乐清市乐成镇晨曦路与霖霄路交汇处,住宅 别墅,16000
94,wz,假日港湾,洞头县洞头县新城区D-02地块,住宅,7930
95,wz,宏地·中央华府,永嘉县永嘉县桥下镇镇前街地税所旁,住宅,8700
96,wz,上丰·滨海花园,乐清市中心区滨海新区G-a9地块,住宅,14800
