,城市,小区名,地址,住宅类型,均价
0,xa,海亮新英里,西沣路与雁环路交汇处东南角（西安高新国际学校对面）,普通住宅,7900
1,xa,荣华宝格丽小镇,迎宾大道与天工一路交汇处向东300米处,别墅,160
2,xa,双威理想城,未央路178号（未央大道与凤城七路交汇处西南角）,普通住宅,7500
3,xa,融创天朗珑府,西沣路与西部大道十字东北角,普通住宅,8500
4,xa,中铁缤纷南郡,科技八路与丈八四路交汇处西南角,普通住宅,7500
5,xa,三迪枫丹,南三环与五典坡路交汇处向东200米,普通住宅,5800
6,xa,曲江龙邸,雁翔路与南三环交汇处向西50米,普通住宅,7000
7,xa,荣禾云图中心,太白南路与电子二路交汇处东北角,商住两用,8600
8,xa,荣禾曲池东岸,新开门南路东侧,普通住宅,12000
9,xa,香榭兰岛,科技六路与木塔一路交汇处向南200米,普通住宅,16000
10,xa,满堂悦MOMA,锦业路与西三环交汇处西南角,普通住宅,6600
11,xa,太奥广场,丰禾路西口与二环交接处,商住两用,6500
12,xa,合能朱阙,朱雀大街72号,普通住宅,7200
13,xa,山水悦庭,神舟五路与飞天路交汇处西南角,普通住宅,5700
14,xa,鼎正大都城,凤城八路与朱宏路十字东南角,普通住宅,6200
15,xa,裕昌太阳城,丈八东路与太白南路十字东北角,普通住宅,7800
16,xa,合能十里锦绣,东三环与半引路南端交汇处,普通住宅,4880
17,xa,渭南万达广场,渭南高新区新区东路与东兴街交汇处,商住两用,4000
18,xa,万达公馆,北二环与太华北路交汇处向北200米,普通住宅,12500
19,xa,中航华府,丈八路与大寨路十字向西800米,普通住宅,7100
20,xa,雅居乐御宾府,新开门南路与曲江池南路十字西南角,普通住宅,11000
21,xa,大兴新悦城,西二环与大兴西路交汇处向西1000米,普通住宅,5300
22,xa,铜雀台,西二环与丰镐东路十字向东200米,普通住宅,7500
23,xa,永和璞玉,丈八北路与科技四路十字向南50米路东,普通住宅,12000
24,xa,华洲城熙悦都,大寨路西口向西100米,普通住宅,6800
25,xa,贰号大院,凤城七路与永徽路十字西北角（未央路以东）,普通住宅,6800
26,xa,太奥广场,丰禾路西口与二环交接处,普通住宅,6800
27,xa,中铁琉森水岸,东城大道灞桥湿地公园里,普通住宅,7500
28,xa,海伦春天,大庆路延伸段阿房一路东段,普通住宅,5800
29,xa,莱安逸珲,大寨路6号,普通住宅,10000
30,xa,春晓华苑,团结西路36号,普通住宅,5700
31,xa,紫薇曲江意境,芙蓉东路与寒窑路十字北400米,普通住宅,7800
32,xa,名京九合院,未央路公交六公司对面未央大道西侧100米,普通住宅,7300
33,xa,逸翠园,锦业二路10号,普通住宅,8500
34,xa,华洲城天峰,大寨路与丈八北路向西500米,普通住宅,7000
35,xa,国色天香,韦郭路989号陕师大长安校区正对面,普通住宅,8500
36,xa,建邦华庭,科技六路与太白南路交汇处西南角,普通住宅,11000
37,xa,万象国际公寓,长安西路与电子正街交汇处向东200米,普通住宅,6800
38,xa,海伦国际,西影路铁设院向东200米,普通住宅,6500
39,xa,新福兴纽约城,北二环与朱宏路十字向南500米路东,普通住宅,6200
40,xa,天地源香都东岸,南三环与曲池东路（南段）交汇处向东,普通住宅,7500
41,xa,合能公馆,西部大道与子午大道交汇处向南500米,普通住宅,6500
42,xa,天琴湾,创汇路34号,普通住宅,5600
43,xa,鑫苑大都汇,西二环与丰禾路交汇处向东300米,普通住宅,7800
44,xa,中海凯旋门,南三环与芙蓉西路十字东南角,普通住宅,9500
45,xa,荣民宫园中央,未央路与玄武路十字东南角200米,普通住宅,7500
46,xa,国润城,上林路与世纪大道交汇处十字西南角,普通住宅,5500
47,xa,恒大帝景,凤城五路与太华路十字东500米,普通住宅,8500
