,城市,小区名,地址,住宅类型,均价
0,xm,云顶至尊,思明区文兴东路95号,住宅,45000
1,xm,正元新都汇,海沧兴港路与滨湖南路交叉口东南侧,住宅,21000
2,xm,招商雍华府,翔安区政府西南侧,住宅,21000
3,xm,五华偶寓,翔安祥福路南侧（汇景商业广场斜对面）,住宅 商住,15000
4,xm,特房黎安小镇四期,翔安马巷翔安一中初中部南侧,住宅,16500
5,xm,厦门华润橡树湾,集美杏北三里（橡树湾）1号,住宅 商住,24000
6,xm,同城四季,同安环城西路与同莲路交汇,住宅,14000
7,xm,角美万达广场,漳州角美台商投资区角江路中段,住宅,8300
8,xm,宝龙一城,湖里厦门市吕岭路与金山路交汇处,住宅,31000
9,xm,大名唐,漳州漳州港南滨大道和招银高速交汇处,住宅,7800
10,xm,海翼0592,翔安马巷巷西路与厅口路交叉口处,住宅,13700
11,xm,富雅国际,漳州角美台商投资区洪岱路与仁和西路交汇处,住宅,7500
12,xm,新城海世界,漳州开发区成功大道与静湖路交汇处（ 漳州开发区客运码头对面）,住宅 商住,8500
13,xm,中交和美新城,集美新城软件园三期旁（地铁一号线，诚毅广场站附近）,住宅,18000
14,xm,永鸿·厦门湾南岸,漳州招商开发区厦大附中正对面,住宅,6233
15,xm,新景·华府国际,湖里成功大道与仙岳路交叉路口东,住宅,35000
16,xm,龙湖嘉誉,集美区324国道与规划三南路交叉口南侧,住宅 别墅,24000
17,xm,首开领翔上郡,翔安区政府东南面,住宅 别墅,17500
18,xm,凤凰花城,集美杏前路与锦园西路交叉口东侧（夏商大学康城旁）,住宅,16000
19,xm,天湖城天源,海沧新城南区兴港路与滨湖南路交叉口东南侧,住宅,24000
20,xm,云顶庄园,思明云顶南路东侧,别墅,53270
21,xm,当代凤凰谷,漳州长泰马洋溪旅游度假区,住宅 别墅 商住,10000
22,xm,水岸·新城,漳州台投区角美324国道与洪岱路交汇处,住宅,7300
23,xm,新景舜弘现代城,同安同安工业集中区梧侣路与同集路交叉口西（BRT2号线旁）,住宅,18500
24,xm,新城际广场,集美圣果院与圣岩路交叉口东南,住宅,17000
25,xm,禹洲澜山墅,海沧马青路马銮湾南侧,别墅,30000
26,xm,静海湾,漳州开发区南滨大道厦大附中对面。,住宅 别墅,7000
27,xm,建发众创空间,湖里五缘湾片区仙湖路与枋湖南路交叉口东南侧,住宅,34000
28,xm,南太武高尔夫澎湖湾,漳州开发区南滨大道289号(南太武高尔夫球场西侧),住宅,8500
29,xm,御龙海湾,东山县金銮大道,住宅 商住,5700
30,xm,住宅莲花新世界,集美海翔大道南侧，杏林湾路以北,住宅,17000
31,xm,泰地海西中心,海沧海沧大道西侧（对望鼓浪屿）,商住,24000
32,xm,云玺,湖里两岸金融中心（仙岳路与环岛干道交汇处）,商住,27000
33,xm,万益广场,漳州台商投资区（角美）洪岱路厦门双十中学漳州分校门口,住宅 别墅 商住,8600
34,xm,恒禾七尚,湖里五缘湾内湖东岸,住宅 别墅,45000
35,xm,海投青春海岸,海沧新阳工业区新阳中学西侧,住宅,21000
