,城市,小区名,地址,住宅类型,均价
0,xz,万福世家,新城区汉源大道与镜泊东路交汇处,住宅 别墅,4200
1,xz,泰康红郡,铜山区华山路与长江路交叉口,别墅,5000
2,xz,宁江新北城,睢宁县天虹大道与中央大街交汇处南50米路东,住宅,2280
3,xz,三胞广场,泉山区金山东路与解放南路交叉口，徐州老矿大卜蜂莲花对面,商住,8000
4,xz,君廷湖畔,金山桥开发区徐海路与新城区一号路交界处,住宅,6000
5,xz,宏利达金水湾,邳州市世纪大道锦江广场北侧（富贵第一城原址）,住宅,5150
6,xz,雍福上城,邳州市实验幼儿园东侧,住宅,4000
7,xz,名仕·秀水华庭,中阳里街道丰县中阳大道与东城路交汇处,别墅 住宅,7000
8,xz,金钻国际广场,新安街道大桥路与沭河景观带交叉位置,住宅,3800
9,xz,龙廷润园,泉山区和平路与苏堤路交汇处,住宅 别墅,20000
10,xz,楚河花园,铜山区北京路东侧（二堡信用社南隔壁）,住宅,5400
11,xz,阳光佳苑,凤城街道南环路与工农路交汇处,住宅,3900
12,xz,锦绣江南,运河街道办事处运河5号桥东首泰山路北侧,住宅,3850
13,xz,领秀城,凤城街道解放大道与栖凤路交汇处以东（修远学校大门口正对面）,住宅,3750
14,xz,新苏中心商业广场,邳州市世纪大道与瑞兴路交汇处,住宅,4700
15,xz,天景名城,睢宁县红叶南路与青年路交汇处往北20米,住宅,4300
16,xz,融耀新城,凤城街道向阳路与北苑路交汇处,住宅,3600
17,xz,科倍尚城,新安街道城南新区马陵山路与公园路交汇处,住宅 商住,4200
18,xz,国鸿·香樟苑,沛城街道正阳大道东侧、樊哙路与韩信路之间,住宅,4300
19,xz,上信十里花溪,贾汪区鸿福路北侧,住宅 别墅,3650
20,xz,东方明都,金山桥开发区蟠桃山路16号,住宅,4800
21,xz,富安·平果郡,中阳里街道中阳大道金都装饰城南,住宅,3800
22,xz,正德秋实园,泉山区风华园隔壁,住宅,7000
23,xz,巴塞罗那,新安街道钟吾路新戴河南侧（莱茵名菌）北侧,住宅 商住,4700
24,xz,苏商御景湾,泉山区御景路1号（612路公交车终点站，徐州工程学院东600米）,住宅 别墅,6200
25,xz,开元云龙谷,泉山区三环西路，杏山工业园区,住宅,6300
26,xz,汉邦景城,沛城街道张良路与汉邦路交汇处（县委办公大楼西侧）,住宅,4200
27,xz,康城雅居,新安街道新沂市黄沭北路与市府路交界处,住宅 商住,4500
28,xz,一品名郡,铜山区郑集镇郑马路西侧,住宅,2800
29,xz,润阳泓福壹号,贾汪区泓福路1号（206国道东侧100米）,住宅 别墅,3500
30,xz,爱伦堡小区,朱寨镇汉兴路与韩信路交叉口南,住宅,3800
31,xz,文华美景,铜山区同昌街与南京路交汇处（徐州师范大学南隔壁）,住宅 商住,5300
32,xz,华西格林春天,汉源街道汉源大道东侧汉城国际中学对面,住宅 别墅,4600
33,xz,东方帝景城,邳州市明德学校东北侧200米（世纪大道北、东泰路东）,住宅 别墅,4900
34,xz,安隆御景湾,新安街道市区临沭南路与花厅路交汇处,住宅,4500
35,xz,东都华府,云龙区郭庄路以北，和平路以南,住宅,6600
36,xz,龙城国际小区,汉源街道东风路与汉源大道交汇处,住宅,4500
37,xz,银地农机汽车大市场,金山桥开发区徐海路88号,商住,7500
38,xz,北景园,睢宁县人民西路28号（卫生局西侧）,住宅,4600
39,xz,御景华庭,贾汪区新城世纪路（行政中心对面）,住宅 别墅,3900
40,xz,月星·星湖湾,金山桥开发区东至环湖西路绿化带、南至环湖大道西支路绿化带,住宅,6700
41,xz,协鑫·鑫尚,泉山区泉山森林公园东侧200米,住宅,8400
42,xz,丰惠华丽家族,新沂市城南新区人民路98号,住宅,4100
43,xz,锦绣东城,中阳里街道南环路与东城路交汇处东北角,住宅,3800
44,xz,水杉御景,邳州市建设北路原车辆检测中心，通成广场北区,住宅,4200
45,xz,金桥国际花园,新安街道建邺路与公园路交汇处,住宅 别墅,4500
46,xz,御山雅苑,鼓楼区响山南路与响山路交叉口,住宅,7600
47,xz,华泰豪庭,新安街道建业路和利民路交汇处,住宅 别墅,4400
48,xz,康城府邸,新安街道市府东路与黄沭路交汇处,住宅,4500
49,xz,汉源国际华城,新城区汉源大道与钱塘路交汇处,住宅 别墅 商住,5800
50,xz,侨城·中央公园,沛城街道正阳大道西侧,住宅,4000
51,xz,咏泉山庄,运河街道办事处世纪大道西首（世纪大道与天山路交叉口）,住宅,3900
52,xz,龙源观邸,沛城街道南环路与徐沛路的交汇处,住宅,4500
53,xz,汇景国际,沛城街道滨河路滨河公园南（正阳桥东约300米）,住宅,4700
54,xz,祥云紫金嘉苑,龙固镇圆球南88米徐沛路东孔庄路口,住宅,4300
55,xz,香榭里,凤城街道工农南路与南方路交汇处,住宅,4200
56,xz,华府天地,鼓楼区二环北路以南、惠工路以西、煤港路以西,住宅,7500
57,xz,汇龙国际花园,邳州市解放东路六保河东岸汇龙国际花园南门,住宅 别墅,4900
58,xz,银座·东城丽景,云龙区和平大桥以东，和平路与德政路交叉口（黄山垄假山向南200米）,住宅,8600
59,xz,香缇美墅,墨河街道新城区（物流中心向西1.8公里）,住宅 别墅,5200
60,xz,嘉华世纪城,沛城街道新沛路9号附近,住宅,3400
61,xz,华美·风景园,泉山区三环西火花派出所南200米,住宅,5500
62,xz,融汇·领御,中阳里街道中阳大道南，复新河东,住宅,4500
63,xz,市府花苑,新安街道新一中东侧、人民医院新址北侧,住宅 商住,4350
64,xz,湖光山色,泉山区明珠路与二环西路交叉口东南角,住宅,25000
65,xz,国金时代,鼓楼区黄河西路3号（大马路小学北侧）,住宅,9500
66,xz,罗马名城三期,新安街道新东北路18,住宅,3980
67,xz,宝龙广场,云龙区和平大道与庆丰路交汇处(万达广场东侧）,商住,7380
68,xz,御林华府,鼓楼区机场路110号,住宅,6500
69,xz,德客城,"贾汪区山水大道北侧,永福路东侧",住宅,4200
70,xz,金地花园,汉源街道歌风东路9号,住宅,4000
71,xz,城投·御园,沛县新城区正阳路樊哙路交叉口（开元中学南）,住宅,5400
72,xz,易龙新汉城,沛县正阳大道与韩信路交叉口,住宅 别墅,4000
73,xz,紫金·奥玲花园,新城区汉源大道旁奥体中心南隔壁,住宅,7500
74,xz,宏利达·银河湾,邳州市运河中学往南300米（阳光别墅以东）,住宅,5030
75,xz,欢乐城一期,中阳里街道中阳大道与东城路交汇处,住宅,4400
76,xz,国华天玺,鼓楼区中山北路九龙湖公园东隔壁,住宅,10000
77,xz,汉城国际花苑二期,魏庙镇汉城路西侧滨河路南侧,住宅,5000
78,xz,金顶世贸城,睢宁县东升街金顶世贸城,住宅,4100
79,xz,太湖东郡,新沂市市府东路与黄沭路交界处,住宅,4200
80,xz,徐州月星环球港,金山桥开发区徐海路和1号路交叉处,住宅,4800
81,xz,名仕紫金花园,凤城街道丰黄路东、南环路南,住宅,5000
82,xz,金色雅筑,云龙区郭庄路与经二路交汇处,住宅,6800
83,xz,九龙湖·福地阁,鼓楼区中山北路与二环北路交叉口向西100米,住宅,6298
84,xz,恒邦·花半里,金山桥开发区蟠桃山路与金桥路交汇处,住宅,5800
85,xz,康桥花园,贾汪区新夏路夏桥公园东隔壁,住宅,3980
86,xz,御龙山水,贾汪区新城区鸿福路（鸿福桥东100米）,住宅,3600
87,xz,万泰广场,铜山区北京南路285号,住宅 商住,4700
88,xz,欢乐买农贸批发市场,邳州市新城区左西村（323省道与南京路交汇处）,住宅 商住,6888
89,xz,天虹世纪城,睢宁县中央大街与天虹大道交汇处东北侧,住宅,12000
90,xz,华润置地·云龙湖悦府,铜山区大学路9号(中国矿业大学南湖校区南侧),住宅 别墅,11000
91,xz,东方春城,中阳里街道丰县解放东路（修远学校对面）,住宅,3980
92,xz,高盛国际花园城,中阳里街道中阳大道与东城路交汇处（大圆球东侧路北）,住宅,5800
93,xz,凤鸣城,凤城街道丰县人民路与工农路交汇处,住宅,4000
94,xz,国泰·品山名邸,云龙区响山路与三环路交汇处,住宅,7500
95,xz,合和百富城,新沂市沭东大道黄沭路交汇处，东为国信花园，南临中央湖公园及新市政府,住宅 商住,3800
96,xz,香溪左岸,云龙区东三环与和平路交叉口（云龙区政府东侧）,住宅,7000
