,城市,小区名,地址,住宅类型,均价
0,yt,源泰沁河苑,牟平师范路333号（邵家塂村南，新区大街南，师范路西）,住宅,4600
1,yt,金地首府洋房,莱山观海路与轸大路交汇处（市政府东南向3000米）,住宅,7000
2,yt,宏锦万花城,福山福海路与蒲湾街交汇处西北侧（永弘小学北100米）,住宅,5500
3,yt,滨海华庭,龙口东海旅游度假区,住宅,4580
4,yt,蓬莱碧桂园,蓬莱海滨东路99号（沙河路与海滨路交汇处）,住宅 别墅,6000
5,yt,福润华府,蓬莱南河路和南关路交汇处东南向（红木家具城附近）,住宅,5500
6,yt,铂悦戴斯,莱山山海南路烟台总部经济基地中铁逸都南侧（中铁逸都南200米）,住宅 商住,9100
7,yt,巴黎春天,福山永达街891号（福海路西，永达街北）,住宅,5800
8,yt,旭瑞海澜湾,牟平滨海东路海洋经济总部基地东侧（滨海东路南侧20米）,住宅,4600
9,yt,磁山温泉小镇,开发区长江路西首磁山温泉公园内,住宅 别墅,7000
10,yt,振华海滨假日,开发区海滨路86号（秦山路与海滨路交汇处）,住宅 商住,8500
11,yt,高尔夫观邸,龙口东海旅游度假区内（高尔夫球场环抱）,住宅,5200
12,yt,福临家园,牟平新建大街与通海路交汇处（祝家庄新建街小学西38米路南）,住宅,4600
13,yt,亚泰兰海公馆,蓬莱上海路与天津路交汇处（麦加里昂酒店北，同步骨科医院西）,住宅 商住,4200
14,yt,广源天际,开发区天山路1号（天山路与黄河路交汇处）,住宅,7450
15,yt,益丰御祥大厦,莱山港城东大街与迎春大街交汇处西南50米(莱山区实验小学南30米),住宅,7600
16,yt,天成花苑,牟平通海路602号（通海路与新建大街交汇处东北方向）,住宅,5000
17,yt,佛光山景温泉花园,龙口南山南路与商业南街交汇处以南（怡乐小区南侧）,住宅 别墅,5500
18,yt,御澜观邸,文峰路街道南苑路与东环路交汇处,住宅,6100
19,yt,凤凰上城,莱山桐林路188号（桐林路以东，新苑路以南）,住宅,8000
20,yt,皮革小公寓,市中心山东省招远市温泉路,住宅,4300
21,yt,鸿景山庄,文昌路街道新人民医院北200米,住宅,3800
22,yt,银都新城市广场,芝罘大海阳路96号（南大街与大海阳路交汇处东北角）,住宅,11700
23,yt,海景苑,蓬莱海市路5号（海市西路与市府路交汇处）,住宅 别墅,6500
24,yt,万兴凤凰花园,蓬莱北关路与东关路交汇处南100米（蓬莱市人民医院西邻）,住宅,6500
25,yt,小城怡景,蓬莱黄海路与富民路交汇处北100米,住宅,5000
26,yt,仙岛印象,长岛县连城村（长园路18号）,别墅,10000
27,yt,原生海,牟平垛山433号（北关大街与垛山路交汇处南400米）,住宅 别墅,4500
28,yt,天翔茗苑,牟平滨海东路养马岛大桥东100米路南(伟成食品东南200米）,住宅,5300
29,yt,东海城,牟平滨海东路586号（养马岛大桥西南方向）,住宅 商住,6900
30,yt,怡馨华庭,福山福海路南首（原阀门厂驻地）,住宅,5600
31,yt,山海阳光名苑阁,海阳海鑫中路66号（凤城农贸市场西临）,住宅,5200
32,yt,建盛福海城,福山福海路133号（福海路与永安街交汇处，湘商大厦对面）,住宅,5800
33,yt,金象泰紫薇花园,福山英特尔大道与福桃路交叉口西南200米（福山宾馆南300米）,住宅,4100
34,yt,山海名苑,海阳黄海大道中段（南山公园南500米，青威高速北400米）,住宅 别墅,3700
35,yt,嵛景华城,开发区秦淮河路188号（长江路与秦淮河路交汇处动力总成对面）,住宅,5900
36,yt,天马中心广场,开发区长江路与香山路交汇处东北角（原天马大厦旧址）,住宅 商住,10500
37,yt,凯诗维拉,牟平大窑镇高尔夫路9号（养马岛以东，滨海路北侧）,住宅 别墅,11800
38,yt,紫微台,开发区衡山路与淮河路交汇处东100米,住宅,7000
39,yt,长岛瀛洲,长岛县长山路与青年路交汇处西北向（新隆源大酒店以东）,住宅,6800
40,yt,建城西府,芝罘凤凰台路与楚凤一街交汇处路北（烟台机床附件研究所西100米）,住宅,7200
41,yt,海蓝金岸,海阳东凤大道南路与滨海中路交汇处（旭宝高尔夫球场东500米）,住宅,5900
42,yt,日昇山水苑,海阳海兴路5号（新兴街和海兴路的交叉路口北100米）,住宅,3900
43,yt,润鼎家园,芝罘通世路与大东夼路交汇处西50米（世回尧中学对面）,住宅,8500
44,yt,同德花园,莱山龙珠路10号（迎春大街与盛泉东路交汇处以东200米）,住宅,6500
45,yt,张华山通海苑,市中心招远市金城路与国大路交汇处,住宅 别墅,3000
46,yt,天伦嘉园柠檬派,芝罘青年南路和魁玉路交汇处向南100米（鲁玉街南50米）,住宅,6900
47,yt,欧城锦三角,海阳旅游区黄海大道与凤阳路交汇东北处（海阳汽车站西北向1公里）,住宅,5600
48,yt,宝龙海上仙街,蓬莱海滨路6号（原老山汽改）,住宅,7000
49,yt,玺萌长河印象,芝罘德汇路99号（原烟台农业学校）,住宅,5900
50,yt,健成UN未来城,福山汇福街和聚福路交汇处东北侧200米（汇福街农贸市场西50米）,住宅,5400
51,yt,富苑新城,牟平宁海大街与西关路交汇处以西200米（实验中学附近）,住宅,5300
52,yt,领海世界岛一期,龙口东海开发区封家村南2000米,住宅,5800
53,yt,中建洋房壹号,开发区出口加工区西200米,住宅,6500
54,yt,国苑小区,福山门楼镇门楼村玉门路211号,住宅,4800
55,yt,万豪伊顿,龙口黄城新区港城大道（龙口一中正对面）,住宅,5400
56,yt,金潮金奥国际,开发区招远市金晖路与温泉路交汇处西南（招远体育公园旁）,住宅,4800
57,yt,翡翠明珠,芝罘通世路与红旗路交汇处（老市政府南200米）,住宅,11700
58,yt,海琴湾,开发区黄河路180号（开发区黄河路与昆仑山路交汇处）,住宅,7900
59,yt,万泰花园,芝罘幸福东路69号（原幸福六村，海港医院东200米）,住宅,6600
60,yt,中南山海湾,开发区长江路西段与三亚路交汇以南1000米路西,住宅 别墅,8200
61,yt,滨海国际新城,海阳烟凤路与凤政路交汇处以北（凤城旅游渡假区内）,住宅,5200
62,yt,金长城数码大厦,芝罘芝罘屯路14号（鸿泰宾馆北200米）,商住,14000
63,yt,澳城苑,福山西山路299号（振华广场西200米）,住宅,5400
64,yt,天福新城,牟平金埠大街与西关路交汇处西南角（牟平区国土资源局北）,住宅,5100
65,yt,北方月光兰庭,开发区昆仑山路62号（金沙路与昆仑山路交汇处）,住宅,6700
66,yt,丽湖国际城书香剑桥,城东招远市城东区初山路,住宅,5000
67,yt,现代国际新城,芝罘机场路276号（黄务立交桥南100米 姜家小学附近）,住宅 商住,8000
68,yt,金泉世家,开发区招远市河东路与初山路交汇处,住宅,6197
69,yt,福禄山庄,文昌路街道市区西南，福禄山的南麓，南阳河西畔,住宅,4500
70,yt,朗郡,芝罘通世南路与港城西大街交汇处北600米路东（黄务中学附近）,住宅,6300
71,yt,松隽阳光城,龙口东城区松岚花园临北大街东首,住宅,4600
72,yt,天业·盛世景苑,福山永达街与松霞路交汇处东北方向（荏原空调北100米 ）,住宅,5600
73,yt,塔埠栋盛苑,文昌路街道莱州市云峰北路与光州东街交汇处（塔埠村,住宅,6300
74,yt,阳光首院,福山汇福街9号（汇福街与松霞路交汇处）,住宅 别墅,5700
75,yt,渤海尚都,蓬莱海市路与南关路交汇处东北角约300米（西山医院东200米）,住宅,5000
76,yt,锦富里,城港路街道莱州市城港路（开发区管委西侧）,住宅,4180
77,yt,蓝天城市广场,牟平北关大街与通海路交汇处东南角（新牟集团附近）,住宅,4300
78,yt,爱汀堡,芝罘机场路以西青年南路以东（绕城高速路北侧）,住宅,5500
79,yt,通世华府,芝罘通世路与大东夼路交界处（二中南校北200米）,住宅,9980
80,yt,天地一品,开发区金沙江路与万寿山路交汇处北100米(天地广场南200米),住宅,7100
81,yt,华茂雅居,芝罘菜市街30号（桃花街与华茂街交汇处西南方向）,住宅,9000
82,yt,百年华府,福山天府街东首（松霞路东300米）,住宅,6100
83,yt,盛龙国际,海阳滨海大道与阳瑞路交汇处以北100米（凤城旅游度假区内）,住宅 别墅,7000
84,yt,安联三山逸海,三山岛街道三山岛工业园区（三山岛街道永和路南）,住宅,4200
85,yt,开泰华府,莱阳市汉水路18号(开发区管委北50米),住宅,3600
86,yt,雲上II熟地当归,福山河滨路77号（南苑街与河滨路交汇处）,住宅,6300
87,yt,御景观城,莱山红旗东路15号（魁星楼隧道东入口东北侧，台湾村对面）,住宅 别墅,11000
88,yt,桦林彩雲城,芝罘桦林颐和苑西600米（青年南路与魁玉路交叉口西行1500米）,住宅,4900
89,yt,逍遥途家斯维登酒店,蓬莱登州路与裕民路交汇处(国宾酒庄北200米）,住宅 商住,6500
90,yt,富丽紫玉花园,牟平崔山大街558号（牟平新一中对面）,住宅,4700
91,yt,盛世双帆,海阳海景路与东凤大道交汇处西北方向（凤城旅游度假区内）,住宅 商住,11000
92,yt,碧桂园十里金滩,海阳海滨西路1111号（丁字湾滨海公路旁）,住宅 别墅,5500
93,yt,十里洋房,高新区滨海路与农大路交汇处向南300米（中国农业大学附近）,住宅,8500
