,城市,小区名,地址,住宅类型,均价
0,yz,建联学府景园,仙女镇黄山路与利民北路交汇处,住宅,8200
1,yz,万豪西花苑,邗江区京华城路302号,住宅,12500
2,yz,阳光水岸花园,邗江区史可法路与漕河路交汇处,住宅 别墅,17500
3,yz,嘉怡丽景花园,邗江区友谊路扬溧高速收费口北侧,住宅,6800
4,yz,揽月豪庭,邗江区新城河路与兴城西路交汇处,住宅,12300
5,yz,江扬天乐湖,仪征市西郊月塘镇马集出口,住宅 别墅,8300
6,yz,心怡春江花都,仙女镇仙女镇龙川二桥北,住宅 别墅,8500
7,yz,依云城邦,开发区扬子江南路369号,住宅 别墅,7200
8,yz,光辉岁月,邗江区扬子江北路与蜀冈东路交汇处东侧100米,住宅,6700
9,yz,香缇花园,邗江区扬冶路南、西北绕城西（扬州会议中心西杨庙镇东）,别墅,8400
10,yz,运河一品,广陵区安康路南侧、凯运天地北侧,住宅,25000
11,yz,新月花园,仙女镇江都三元桥南路41号,住宅,7900
12,yz,瘦西湖悦园,邗江区友谊路388号,住宅,12500
13,yz,尚品华庭,马棚街道高邮文游路与凌波路交叉口,住宅,4400
14,yz,文鑫●金砖花苑,车逻镇高邮市车逻镇和润路东侧,住宅 别墅,4200
15,yz,天俊悦府,广陵区观潮路与安康路交汇处,住宅,9500
16,yz,金源世纪名郡,仙女镇舜天路与新都路交汇处,住宅,8300
17,yz,怡人城市花园,仪征市真州东路22号,住宅,6200
18,yz,朗悦华府,邗江区扬子江北路（铁路桥北）江阳商贸城对面,住宅 商住,7500
19,yz,星汇名邸,开发区华扬路经六路交汇处,住宅,7000
20,yz,江广智慧城,广陵区信息大道1号（新城大厦西侧）,住宅,8000
21,yz,德才园,高邮街道海潮东路150号（市政府向西300米）,住宅,5500
22,yz,汇元颐景,仪征市前进西路南侧、西园南路东侧,住宅,5500
23,yz,莱茵城邦,大桥镇江都区 江都市大桥镇新城路99号,住宅,6300
24,yz,瑞和·北宸阳光,高邮街道秦邮路南，珠光路以西,住宅,5000
25,yz,金汇118,邗江区银河大道与祥园路交叉口,商住,10000
26,yz,中信泰富锦苑,邗江区邗江北路88号,住宅,9500
27,yz,四季金辉,邗江区润扬北路与台扬路交汇处东北侧（扬州梅苑双语学校对面）,住宅,7500
28,yz,香格里拉花园,仙女镇江都区新区舜天路（1号楼）中段,住宅,8559
29,yz,华利珑庭,开发区扬子江南路369号,别墅,14000
30,yz,恒大帝景,邗江区竹西路与三星路交汇处（北区大润发向东500米）,住宅,9500
31,yz,新港名仕花园,邗江区文汇西路266号,住宅,9000
32,yz,玫瑰园,仪征市解放东路与天宁大道交会处东南角,住宅,6700
33,yz,世纪新城祥和苑,开发区管委会白田南路西侧，宝射路南侧,住宅,6100
34,yz,明发商业广场,广陵区运河东路金盛国际家居西侧,住宅,25000
35,yz,昌建广场,邗江区京华城路与博物馆路交汇处西北角,住宅,9500
36,yz,中海九玺,广陵区观潮路和解放北路交汇处西北角,住宅 商住,11000
37,yz,碧水栖庭,邗江区邗江北路与西湖路交汇处,住宅 别墅,8500
38,yz,莱茵东郡,高邮街道通湖路与珠光路交汇处,住宅,5500
39,yz,三盛国际广场,邗江区文汇西路与邗江中路交汇处西北角,住宅 商住,8800
40,yz,盛世嘉园,安宜镇白田南路西侧，邗沟路东侧,住宅,2050
41,yz,政荷苑,广陵区西贝大道东侧,住宅,3900
42,yz,鑫桥康郡,广陵区丰裕路28号,住宅,4200
43,yz,金水湾,仪征市宁通公路北侧，石桥河西侧,住宅,5000
44,yz,金轮星城,开发区扬子江中路228号,住宅,8500
45,yz,雨润星雨华府,广陵区运河东路北侧（金盛国际家居对面）,住宅,9500
46,yz,中宸御龙湾,仙女镇新都南路1号（职教大厦旁）,住宅,6800
47,yz,陆宇中央郡,高邮街道屏淮中路和陆宇路交叉口,住宅,5800
48,yz,世纪新城—瑞景苑,开发区管委会白田南路西侧，莲花路北侧,住宅,6300
49,yz,揽月国际广场,邵伯镇区政府向西400米,住宅 商住,7500
50,yz,幸福魔方,邗江区润扬路与翠岗路交汇处,住宅,8700
51,yz,沁芳园,邗江区方巷镇四通北路东侧,别墅,5700
52,yz,五洲国际,开发区管委会白田中路白田广场北侧五洲国际展示中心,住宅,6341
53,yz,豪普思卡,邗江区京华城路与国展路交汇处,住宅,8700
54,yz,万科金域华府,邗江区站南路与同泰路交汇处,住宅 别墅 商住,15000
55,yz,碧桂园,开发区管委会白田南路宝射桥以南100米，邻里中心东侧,住宅,5600
56,yz,开元世家,高邮街道高邮市健民路（新公安局北侧）；乐购超市东南角,住宅,5200
57,yz,中海玺园,广陵区观潮路和解放北路交汇处东北角,住宅,9000
58,yz,英华丽园,邗江区维扬路与杨柳青路交叉口,住宅,7000
59,yz,蜀景花园,邗江区扬子江北路与双塘路交汇处向东200米（江阳商贸城对面）,别墅,20000
60,yz,雨润桂府,广陵区五台山路与运河北路交汇处,住宅,9500
61,yz,熙园,高邮街道通湖大桥东新供电局东侧,住宅,5400
62,yz,力宝颐景国际大酒店公寓,邗江区邗江中路306号,住宅,11000
63,yz,上城国际,仙女镇引江路41号（江都小车站）,住宅,4000
64,yz,扬子万象都汇,开发区江阳中路与维扬路交汇处西北角,住宅,10000
65,yz,水木南庭,仙女镇江都区新区新都路东侧,住宅 别墅,7600
66,yz,明发江湾城,广陵区板桥路88号（板桥路与海沃路交汇处）,住宅,6300
67,yz,汇金谷,开发区润扬南路18号,住宅 商住,7300
68,yz,华建A.R.T上院,广陵区玉人路与黄金坝路交汇处西北角,住宅,7900
69,yz,菲尼克斯,邗江区百祥路177号,住宅,7500
70,yz,金源世纪城,开发区管委会东阳路（县政府南、开发区国际学校西侧）,住宅,5300
71,yz,香格里拉,安宜镇安宜北路原纺织厂,住宅,5200
72,yz,扬州国际公馆,江都区舜天路999号,住宅,8400
73,yz,深物业湖畔御景,邗江区邗沟路与瘦西湖路交汇处东北角,住宅,11800
74,yz,大上海御龙湾,邗江区黄金坝北路5号,住宅,9000
75,yz,西贝广场,广陵区西贝大道东,住宅,4400
76,yz,新加坡花园,仙女镇江都区龙川南路与文昌东路交汇处,住宅,8400
77,yz,和昌森林湖,邗江区兴城西路与博物馆路交会处（距京华城1.5公里）,别墅,15000
78,yz,旺角公馆,仙女镇江都区 江都区新都路与浦江路东南侧,住宅,7800
79,yz,天宝物华家园,开发区维扬路西新城河北,住宅,10000
80,yz,东方名城和园,广陵区京杭南路128号,住宅,6800
81,yz,第二江南,仪征市沿江高等级公路与国裕大道交汇处往西4公里,别墅,8500
82,yz,星耀天地,邗江区文昌西路与润扬路交汇处（奥都花城北面）,商住,8800
83,yz,仪征帝景蓝湾,仪征市新解放路9号（解放东路与东园路交汇处）,住宅,7100
84,yz,江南一品,广陵区文昌东路曲江公园南侧10米,住宅,8500
85,yz,御景园香溪里,邗江区史可法路59号,住宅 别墅,20000
86,yz,蓝海现代城,广陵区解放南路与运河西路交叉口,住宅,9800
87,yz,鸿舜御峰,开发区江阳中路401号（江阳中路与维扬路交汇处西南角）,住宅,9900
88,yz,美锦云天,开发区扬子江路与吴州西路交汇处西北角,别墅,13500
