,城市,小区名,地址,住宅类型,均价
0,zh,格力广场4期CICI,香洲九洲大道中2123号,住宅,37000
1,zh,神州华府二期,中山市坦洲镇界狮南路与南坦路交汇处.,住宅 商住,8800
2,zh,海逸雍雅堡,香洲兰埔路（圆明新园东侧）,别墅,36000
3,zh,恒虹世纪广场,香洲迎宾南路与粤华路交汇处（珠海银都酒店对面）,住宅,29000
4,zh,世荣作品壹号,斗门珠峰大道1399号,住宅,13000
5,zh,敏捷·锦绣明珠,中山市坦洲镇康明路1号（轻轨珠海明珠站西侧600米处）,住宅,13000
6,zh,双水湾,香洲情侣中路385号.,住宅,36000
7,zh,中邦城市美墅,斗门白蕉路3118号,别墅,12000
8,zh,凤凰海域,香洲情侣北路西侧神前路19号（美丽湾巴士站正对面）,住宅,26000
9,zh,小琅环壹号,三乡镇小琅环公园,别墅,15000
10,zh,中铁·凤凰谷,香洲拱北联安路30号,住宅,35000
11,zh,丹田广场二期·牛津公馆,香洲朝阳路和凤凰路的交叉路口,住宅,36000
12,zh,钰海帝景,香洲情侣南路50号(全球通大厦侧),住宅,47000
13,zh,时代倾城,斗门白蕉路东侧22号（鳄鱼岛往白蕉方向一公里左右）,住宅,13500
14,zh,南湾豪庭,神湾镇光辉路10号（即中心小学对面）,住宅,3800
15,zh,保利西海岸,香洲唐家湾情侣北路2000号,住宅,20000
16,zh,鸿泰海半山,金湾珠海大道西湖城区湖心路口西侧,住宅,25000
17,zh,御景首府,斗门骑龙山（斗门大道，御温泉方向，初诚超市对面）,住宅,5500
18,zh,天朗海峰,香洲前山桥西、珠海大道和南屏次干道交叉东南角,住宅 商住,22000
19,zh,岭南世家·瑞府,香洲迎宾北路西（女子中学对面）,住宅,28000
20,zh,惠景文园,香洲唐家湾镇白埔路222号（中山大学北门对面）,住宅,11000
21,zh,远大美域新城5期,香洲唐家湾唐淇路1288号(往淇澳岛方向岔路旁),住宅,16000
22,zh,傲城花园,新会区大鳌镇新鳌大道北侧,住宅,3950
23,zh,世邦佰亚·燕都,香洲三台石路东侧与翠微东路北侧交汇处（世邦家居四号厅正对面）,住宅 商住,28000
24,zh,仁恒滨海中心,香洲情侣南路(过境澳门关口对面),住宅,55000
25,zh,愉翠龙湖,金湾红旗镇金荷路372号,住宅,11100
26,zh,德雅湾阳光海,中山市神湾镇神湾大道157号（斗门大桥旁）.,住宅,6000
27,zh,二城丽苑,斗门白藤二路西8号,住宅,9000
28,zh,五洲东方墅,斗门珠峰大道1286号,住宅 别墅,12700
29,zh,俪宝龙马,中山市三乡镇沙坦路1号.,住宅,7100
30,zh,佳兆业御金山,斗门金台寺及王保水库南侧，黄杨大道北侧（斗门一中西侧）,住宅,8000
31,zh,中信红树湾,香洲前山河西路333号(珠海大道澳门回归纪念公园南侧),住宅,40000
32,zh,顺发豪庭,高栏港经济区平沙镇美平六号区,住宅,5980
33,zh,大翼龙苑,三乡镇文昌东路与城桂路交汇处北侧,住宅,6800
34,zh,欣锠雅苑,中山市坦洲镇振兴中路20号.,住宅,5670
