,城市,小区名,地址,住宅类型,均价
0,zs,保利国际广场,港口镇中江高速港口出口，港口大道与世纪大道交汇处,住宅,10000
1,zs,裕龙君汇,火炬开发区东阳南路10号（东一路与东阳南路交汇处）,住宅,7500
2,zs,汇泰锦城,大涌镇汇泰商业街,住宅 商住,4700
3,zs,纯棉时代,东升镇东成路31号,住宅,5200
4,zs,汇景东方,火炬开发区濠江西路与濠江南道交界处（轻轨中山站旁）,别墅,13000
5,zs,万科金色家园,东凤镇政府北侧,住宅,6100
6,zs,璐易豪庭,石岐区民科西路(城轨中山北站正对面),住宅 商住,7900
7,zs,东方骏园,港口镇东明北路与木河迳东路交汇处,住宅 商住,7500
8,zs,天熹阳光,神湾镇天熹路8号（外沙大道）,住宅 别墅,7000
9,zs,领御名苑2期,东区起湾道与康华路交汇处,住宅,8500
10,zs,雅芙花园,板芙镇湖洲村板芙北路146号之二,住宅,4300
11,zs,誉东名苑,东升镇东成路新胜小学旁,住宅,3780
12,zs,璟逸湾,南头镇兴业北路39号,别墅,8000
13,zs,南湾豪庭,神湾镇光辉路10号（即中心小学对面）,住宅,3800
14,zs,奥城花园,黄圃镇南三公路新沙路段（客运北站侧）,住宅,4800
15,zs,广联蓝爵花园,沙溪镇石门村新濠路48号,住宅,6000
16,zs,远洋·锦上,东凤镇厚德路23号（新东凤医院旁）,住宅,5500
17,zs,尚誉名筑,东升镇中山市东升镇丽城三路23号（东升中心幼儿园旁）,住宅,4800
18,zs,金穗·悦景台,黄圃镇新丰北路,住宅,5500
19,zs,星耀广场,火炬开发区世纪大道科技新城营销中心,住宅,8300
20,zs,星汇云锦,南区日华路36号（红星美凯龙南侧）,住宅,18000
21,zs,南桂园江临世家,南头镇建设路（广济医院侧）,住宅,6800
22,zs,小琅环壹号,三乡镇小琅环公园,别墅,15000
23,zs,江南红,三角镇孝福路15号（原和谐路15号）,住宅,4600
24,zs,雅居乐·万象郡,三乡镇金涌大道与沙坦路交汇处（鸦岗村）,住宅,6800
25,zs,汉基花园,沙溪镇岐江公路云汉路段 （沙溪布匹市场附近）,住宅,5500
26,zs,天悦城,西区富华道32号（富华道与翠景道交汇处东北侧）,住宅,13000
27,zs,凝星名都,神湾镇神湾大道中238号,住宅,4800
28,zs,利信花园,横栏镇臻龙路8号（工商局旁）,住宅,5800
29,zs,万鑫花园,五桂山镇南桥村33号,别墅,26600
30,zs,巨龙文博园,三乡镇前陇巨龙古玩城三期项目,别墅,9800
